complexity,loss,equation,score,sympy_format,lambda_format
1,0.13329796,2.6882355,0.0,2.68823550000000,PySRFunction(X=>2.68823550000000)
5,0.0010376873,-201.84697 / (x1 + -88.12248),1.2138981090730012,-201.84697/(x1 - 88.12248),PySRFunction(X=>-201.84697/(x1 - 88.12248))
7,0.00051489164,-201.50313 / ((x1 - x2) + -87.46041),0.3503966475869039,-201.50313/(x1 - x2 - 87.46041),PySRFunction(X=>-201.50313/(x1 - x2 - 87.46041))
9,9.022359e-05,-201.84453 / ((x1 - (x2 * 3.027158)) + -86.5038),0.8708327739744293,-201.84453/(x1 - 3.027158*x2 - 86.5038),PySRFunction(X=>-201.84453/(x1 - 3.027158*x2 - 86.5038))
11,4.6851907e-05,(((x2 / 0.12955876) + -168.9158) / (x1 + -81.26564)) - -0.2683445,0.327649605288685,-1*(-0.2683445) + (x2/0.12955876 - 168.9158)/(x1 - 81.26564),PySRFunction(X=>-1*(-0.2683445) + (x2/0.12955876 - 168.9158)/(x1 - 81.26564))
13,8.896825e-06,(((x1 * 0.0023357728) + 0.08583683) * ((x1 / 3.8717573) - x2)) + 2.3495123,0.8306486203570248,(x1*0.0023357728 + 0.08583683)*(x1/3.8717573 - x2) + 2.3495123,PySRFunction(X=>(x1*0.0023357728 + 0.08583683)*(x1/3.8717573 - x2) + 2.3495123)
15,8.769036e-06,(((x1 / 4.1432014) + (0.8172663 - x2)) * ((x1 * 0.0024941482) - -0.083898656)) + 2.279822,0.0072337956788311305,(x1*0.0024941482 - 1*(-0.083898656))*(x1/4.1432014 - x2 + 0.8172663) + 2.279822,PySRFunction(X=>(x1*0.0024941482 - 1*(-0.083898656))*(x1/4.1432014 - x2 + 0.8172663) + 2.279822)
17,7.4917834e-06,((((x1 + sqrt(x1)) * 0.002077422) - -0.08254895) * ((x1 / 3.8817801) - x2)) + 2.348482,0.07871000341714864,(0.257613768487298*x1 - x2)*(0.002077422*sqrt(x1) + 0.002077422*x1 + 0.08254895) + 2.348482,PySRFunction(X=>(0.257613768487298*x1 - x2)*(0.002077422*sqrt(x1) + 0.002077422*x1 + 0.08254895) + 2.348482)
19,5.013397e-06,(((sqrt(x1) * ((x1 * 0.00019929101) + 0.0082485415)) - -0.07876196) * ((x1 / 3.879002) - x2)) + 2.3466403,0.20084657204232828,(0.257798268729947*x1 - x2)*(sqrt(x1)*(0.00019929101*x1 + 0.0082485415) + 0.07876196) + 2.3466403,PySRFunction(X=>(0.257798268729947*x1 - x2)*(sqrt(x1)*(0.00019929101*x1 + 0.0082485415) + 0.07876196) + 2.3466403)
21,3.870749e-06,(((x1 / 3.8790622) - x2) * ((sqrt(x1) * (((x1 * x1) * 3.8998787e-6) + 0.011639823)) - -0.07456102)) + 2.3447652,0.12933285043706064,(0.257794267903206*x1 - x2)*(sqrt(x1)*(3.8998787e-6*x1**2 + 0.011639823) + 0.07456102) + 2.3447652,PySRFunction(X=>(0.257794267903206*x1 - x2)*(sqrt(x1)*(3.8998787e-6*x1**2 + 0.011639823) + 0.07456102) + 2.3447652)
