complexity,loss,equation,score,sympy_format,lambda_format
1,0.13329798,2.688237,0.0,2.68823700000000,PySRFunction(X=>2.68823700000000)
4,0.07467875,log(x1 + 7.445629),0.19313049761014764,log(x1 + 7.445629),PySRFunction(X=>log(x1 + 7.445629))
5,0.0031956616,(x1 * 0.03726916) + 2.2509727,3.1514014405057984,x1*0.03726916 + 2.2509727,PySRFunction(X=>x1*0.03726916 + 2.2509727)
6,0.0010640752,(1.0262288 ^ x1) + 1.28855,1.0996880748314528,1.0262288**x1 + 1.28855,PySRFunction(X=>1.0262288**x1 + 1.28855)
7,0.001052559,exp((1.0134777 ^ x1) * 0.83114153),0.010881723103312166,exp(1.0134777**x1*0.83114153),PySRFunction(X=>exp(1.0134777**x1*0.83114153))
8,0.0009807443,((1.0322301 ^ x1) + 2.0944712) * 0.7432679,0.07066784779841835,(1.0322301**x1 + 2.0944712)*0.7432679,PySRFunction(X=>(1.0322301**x1 + 2.0944712)*0.7432679)
9,0.00097457686,log((1.0577551 ^ x1) + 3.1507237) * 1.6190958,0.0063083861406557674,1.6190958*log(1.0577551**x1 + 3.1507237),PySRFunction(X=>1.6190958*log(1.0577551**x1 + 3.1507237))
10,0.00014847353,((1.0262288 ^ x1) + 1.3470421) - (x2 * 0.108826615),1.881596693857217,1.0262288**x1 - 0.108826615*x2 + 1.3470421,PySRFunction(X=>1.0262288**x1 - 0.108826615*x2 + 1.3470421)
11,9.716208e-05,((1.0269501 ^ x1) * (0.92144173 ^ x2)) + 1.3343309,0.42402618130458614,0.92144173**x2*1.0269501**x1 + 1.3343309,PySRFunction(X=>0.92144173**x2*1.0269501**x1 + 1.3343309)
13,3.2483484e-05,(0.9591174 ^ x2) * (((1.0313176 ^ x1) + 1.9616444) / 1.2603203),0.5478243681704538,0.9591174**x2*(1.0313176**x1 + 1.9616444)/1.2603203,PySRFunction(X=>0.9591174**x2*(1.0313176**x1 + 1.9616444)/1.2603203)
15,3.247928e-05,((0.9591174 ^ x2) * (((1.0313176 ^ x1) + 1.9720173) / 1.2603203)) - 0.00795762,6.471399532610935e-05,0.9591174**x2*(1.0313176**x1 + 1.9720173)/1.2603203 - 1*0.00795762,PySRFunction(X=>0.9591174**x2*(1.0313176**x1 + 1.9720173)/1.2603203 - 1*0.00795762)
18,1.4386475e-05,log((x2 / (x1 - -1.6676781)) + exp((x2 * -0.13340585) + ((1.0266472 ^ x1) + 1.3427491))),0.27143793948262135,log(x2/(x1 + 1.6676781) + 3.82955688240807*exp(1.0266472**x1 - 0.13340585*x2)),PySRFunction(X=>log(x2/(x1 + 1.6676781) + 3.82955688240807*exp(1.0266472**x1 - 0.13340585*x2)))
20,9.371396e-06,log((x2 / sqrt(square(x1) + 2.876284)) + exp((1.3426663 + (x2 * -0.13443375)) + (1.0266485 ^ x1))),0.214313228916646,log(x2/sqrt(x1**2 + 2.876284) + 3.82923980822526*exp(1.0266485**x1 - 0.13443375*x2)),PySRFunction(X=>log(x2/sqrt(x1**2 + 2.876284) + 3.82923980822526*exp(1.0266485**x1 - 0.13443375*x2)))
