complexity,loss,equation,score,sympy_format,lambda_format
1,0.13329796,2.6882355,0.0,2.68823550000000,PySRFunction(X=>2.68823550000000)
4,0.07467854,log(x1 + 7.4520884),0.1931313849465093,log(x1 + 7.4520884),PySRFunction(X=>log(x1 + 7.4520884))
5,0.003195667,(x1 * 0.03728228) - -2.25074,3.1513969386674123,x1*0.03728228 - 1*(-2.25074),PySRFunction(X=>x1*0.03728228 - 1*(-2.25074))
6,0.0010637922,(1.0262196 ^ x1) + 1.2892199,1.0999557586407636,1.0262196**x1 + 1.2892199,PySRFunction(X=>1.0262196**x1 + 1.2892199)
8,0.0009803523,((1.0329385 ^ x1) + 2.1979485) * 0.7193925,0.040841676608236864,(1.0329385**x1 + 2.1979485)*0.7193925,PySRFunction(X=>(1.0329385**x1 + 2.1979485)*0.7193925)
9,0.0009734565,log(((1.0734398 ^ x1) + 2.3384032) * 2.997733),0.007058857175102028,log(2.997733*1.0734398**x1 + 7.0099084399456),PySRFunction(X=>log(2.997733*1.0734398**x1 + 7.0099084399456))
10,0.00014713187,((1.0262196 ^ x1) + 1.349769) + (x2 * -0.11269906),1.8895238802069396,1.0262196**x1 + x2*(-0.11269906) + 1.349769,PySRFunction(X=>1.0262196**x1 + x2*(-0.11269906) + 1.349769)
11,9.195951e-05,((0.9200431 ^ x2) * (1.02705 ^ x1)) + 1.3347703,0.46998088800038845,0.9200431**x2*1.02705**x1 + 1.3347703,PySRFunction(X=>0.9200431**x2*1.02705**x1 + 1.3347703)
12,9.175279e-05,((0.9203497 ^ x2) * sqrt(1.0548475 ^ x1)) + 1.3342905,0.0022504762854411225,0.9203497**x2*sqrt(1.0548475**x1) + 1.3342905,PySRFunction(X=>0.9203497**x2*sqrt(1.0548475**x1) + 1.3342905)
13,3.3166212e-05,((0.9698987 ^ x2) + -0.25106487) * ((1.0324441 ^ x1) + 2.1415052),1.017566248331929,(0.9698987**x2 - 0.25106487)*(1.0324441**x1 + 2.1415052),PySRFunction(X=>(0.9698987**x2 - 0.25106487)*(1.0324441**x1 + 2.1415052))
14,2.5381249e-05,sqrt((x2 * -0.56888354) + sqrt(x2 + (1.1106018 ^ x1))) - -1.3370303,0.26752097380645357,sqrt(-0.56888354*x2 + sqrt(1.1106018**x1 + x2)) + 1.3370303,PySRFunction(X=>sqrt(-0.56888354*x2 + sqrt(1.1106018**x1 + x2)) + 1.3370303)
15,1.805998e-05,((x2 * -0.14503942) - -1.3322849) + sqrt(sqrt(sqrt((1.2378372 ^ x1) + x2))),0.3403122324847933,-0.14503942*x2 + (1.2378372**x1 + x2)**(1/8) + 1.3322849,PySRFunction(X=>-0.14503942*x2 + (1.2378372**x1 + x2)**(1/8) + 1.3322849)
16,1.3674987e-05,sqrt(sqrt((1.1127236 ^ x1) + (x2 * 0.46726602))) + ((x2 * -0.16593292) + 1.3322216),0.2781300429007747,-0.16593292*x2 + (1.1127236**x1 + 0.46726602*x2)**(1/4) + 1.3322216,PySRFunction(X=>-0.16593292*x2 + (1.1127236**x1 + 0.46726602*x2)**(1/4) + 1.3322216)
17,4.5563447e-06,(sqrt(sqrt(sqrt((1.235928 ^ x1) + (x2 * 0.71318257)))) - -1.3368936) + (x2 * -0.13738772),1.0990476964724174,-0.13738772*x2 + (1.235928**x1 + 0.71318257*x2)**(1/8) + 1.3368936,PySRFunction(X=>-0.13738772*x2 + (1.235928**x1 + 0.71318257*x2)**(1/8) + 1.3368936)
19,4.3869313e-06,(sqrt(sqrt(sqrt((1.2360599 ^ x1) + ((x2 * 0.68367016) + 0.024713416)))) - -1.3357134) + (x2 * -0.13629085),0.01894536951906262,-0.13629085*x2 + (1.2360599**x1 + 0.68367016*x2 + 0.024713416)**(1/8) + 1.3357134,PySRFunction(X=>-0.13629085*x2 + (1.2360599**x1 + 0.68367016*x2 + 0.024713416)**(1/8) + 1.3357134)
