complexity,loss,equation,score,sympy_format,lambda_format
1,0.11682984,2.8031685,0.0,2.80316850000000,PySRFunction(X=>2.80316850000000)
3,0.0053649605,d + 2.3021178,1.540414751848127,d + 2.3021178,PySRFunction(X=>d + 2.3021178)
4,0.004927956,square(d) + 2.4693575,0.08496471590067935,d**2 + 2.4693575,PySRFunction(X=>d**2 + 2.4693575)
5,0.0013040259,-6.665759 / (d + -2.9137268),1.3294679723495249,-6.665759/(d - 2.9137268),PySRFunction(X=>-6.665759/(d - 2.9137268))
7,0.001288965,(exp(d) + 1.6850536) ^ 0.8424481,0.005808377256826078,(exp(d) + 1.6850536)**0.8424481,PySRFunction(X=>(exp(d) + 1.6850536)**0.8424481)
9,4.3406122e-05,-6.6680202 / ((-2.8646936 - (soc * 0.10033453)) + d),1.6954971793363551,-6.6680202/(d - 0.10033453*soc - 2.8646936),PySRFunction(X=>-6.6680202/(d - 0.10033453*soc - 2.8646936))
10,2.5656227e-05,(0.7079214 - (soc * 0.030461444)) * (exp(d) + 2.3271322),0.5258141808816025,(0.7079214 - 0.030461444*soc)*(exp(d) + 2.3271322),PySRFunction(X=>(0.7079214 - 0.030461444*soc)*(exp(d) + 2.3271322))
12,1.2718669e-05,(0.9569731 ^ soc) * ((exp(d) + 1.7247703) ^ 0.8521781),0.35085769805617856,0.9569731**soc*(exp(d) + 1.7247703)**0.8521781,PySRFunction(X=>0.9569731**soc*(exp(d) + 1.7247703)**0.8521781)
13,1.22952515e-05,((exp(d) + 1.6532278) * ((soc * -0.053887766) + 1.0482221)) ^ 0.8345756,0.033857783143571754,((1.0482221 + soc*(-0.053887766))*(exp(d) + 1.6532278))**0.8345756,PySRFunction(X=>((1.0482221 + soc*(-0.053887766))*(exp(d) + 1.6532278))**0.8345756)
14,1.2294474e-05,(((exp(d) + 1.3891749) ^ 0.84665394) * (0.95281106 ^ soc)) + 0.2568977,6.323779419649262e-05,0.95281106**soc*(exp(d) + 1.3891749)**0.84665394 + 0.2568977,PySRFunction(X=>0.95281106**soc*(exp(d) + 1.3891749)**0.84665394 + 0.2568977)
15,8.545583e-06,(exp(exp((d ^ 1.0984677) / 3.1978579)) + -0.362033) * (0.95699483 ^ soc),0.3637353518609033,0.95699483**soc*(exp(exp(d**1.0984677/3.1978579)) - 0.362033),PySRFunction(X=>0.95699483**soc*(exp(exp(d**1.0984677/3.1978579)) - 0.362033))
16,7.905114e-06,sqrt(((soc * -0.02330268) + 0.27654025) * cube(exp(exp((d ^ 1.1092931) * 0.24298385)))),0.07790464946372688,sqrt((0.27654025 - 0.02330268*soc)*exp(3*exp(0.24298385*d**1.1092931))),PySRFunction(X=>sqrt((0.27654025 - 0.02330268*soc)*exp(3*exp(0.24298385*d**1.1092931))))
17,7.849396e-06,(exp(exp((d ^ 1.1337137) / 3.606926)) + -0.7081951) * ((0.9570129 ^ soc) * 1.1736934),0.007073305650903539,(exp(exp(d**1.1337137/3.606926)) - 0.7081951)*0.9570129**soc*1.1736934,PySRFunction(X=>(exp(exp(d**1.1337137/3.606926)) - 0.7081951)*0.9570129**soc*1.1736934)
18,7.4975874e-06,sqrt(((soc * -0.026271287) + 0.3117747) * (cube(exp(exp((d ^ 1.1443784) * 0.22521704))) + -2.2305288)),0.04585529736676317,sqrt((0.3117747 - 0.026271287*soc)*(exp(3*exp(0.22521704*d**1.1443784)) - 2.2305288)),PySRFunction(X=>sqrt((0.3117747 - 0.026271287*soc)*(exp(3*exp(0.22521704*d**1.1443784)) - 2.2305288)))
20,7.093327e-06,sqrt((((soc * -0.027709609) + 0.3054375) * (cube(exp(exp((d ^ 1.1366783) * 0.22870289))) + -3.8659766)) + 0.5996643),0.027713402922181385,sqrt((0.3054375 - 0.027709609*soc)*(exp(3*exp(0.22870289*d**1.1366783)) - 3.8659766) + 0.5996643),PySRFunction(X=>sqrt((0.3054375 - 0.027709609*soc)*(exp(3*exp(0.22870289*d**1.1366783)) - 3.8659766) + 0.5996643))
22,7.0923293e-06,sqrt(((cube(exp(exp((d ^ 1.136677) * 0.22871345))) + -3.8659286) * (((soc + 0.66392237) * -0.027718704) + 0.32382745)) + 0.5996137),7.033160683902109e-05,sqrt((0.305424382346992 - 0.027718704*soc)*(exp(3*exp(0.22871345*d**1.136677)) - 3.8659286) + 0.5996137),PySRFunction(X=>sqrt((0.305424382346992 - 0.027718704*soc)*(exp(3*exp(0.22871345*d**1.136677)) - 3.8659286) + 0.5996137))
23,5.5036135e-06,((((d * 0.09225458) + 1.141589) ^ soc) * -0.6550418) + sqrt(cube(exp(exp((d ^ 1.1229055) / 3.7509866) * 0.7343359))),0.2536089432257046,-0.6550418*(0.09225458*d + 1.141589)**soc + sqrt(exp(2.2030077*exp(0.26659652689775*d**1.1229055))),PySRFunction(X=>-0.6550418*(0.09225458*d + 1.141589)**soc + sqrt(exp(2.2030077*exp(0.26659652689775*d**1.1229055))))
24,3.4272423e-06,((((sqrt(d) * 0.118677706) + 1.1115587) ^ soc) * -0.6442334) + sqrt(cube(exp(exp((d ^ 1.104098) / 3.7177835) * 0.73081654))),0.47364893287630966,-0.6442334*(0.118677706*sqrt(d) + 1.1115587)**soc + sqrt(exp(2.19244962*exp(0.268977470043643*d**1.104098))),PySRFunction(X=>-0.6442334*(0.118677706*sqrt(d) + 1.1115587)**soc + sqrt(exp(2.19244962*exp(0.268977470043643*d**1.104098))))
26,3.4156428e-06,sqrt(cube(exp(exp((d ^ 1.104098) / 3.717848) * 0.7308172))) + ((((sqrt(d + 0.001974101) * 0.118677706) + 1.111359) ^ soc) * -0.64423347),0.0016951199589952542,-0.64423347*(0.118677706*sqrt(d + 0.001974101) + 1.111359)**soc + sqrt(exp(2.1924516*exp(0.26897280362188*d**1.104098))),PySRFunction(X=>-0.64423347*(0.118677706*sqrt(d + 0.001974101) + 1.111359)**soc + sqrt(exp(2.1924516*exp(0.26897280362188*d**1.104098))))
27,3.3990982e-06,cube(sqrt(exp(exp((d ^ 1.1036998) / 3.7176719) * 0.73064315))) + (((sqrt(sqrt(d * 0.027056549) + 0.39333922) + 0.48234048) ^ soc) * -0.6432816),0.004855542567213136,-0.6432816*(sqrt(0.164488750375216*sqrt(d) + 0.39333922) + 0.48234048)**soc + exp(0.73064315*exp(0.268985544420959*d**1.1036998))**(3/2),PySRFunction(X=>-0.6432816*(sqrt(0.164488750375216*sqrt(d) + 0.39333922) + 0.48234048)**soc + exp(0.73064315*exp(0.268985544420959*d**1.1036998))**(3/2))
28,3.3735362e-06,(((1.1115569 ^ soc) + ((soc + -0.026503734) * (0.11867243 * sqrt(d)))) * -0.64421105) + cube(sqrt(exp(exp((d ^ 1.1040953) / 3.7177753) * 0.73078287))),0.00754864942400318,-0.64421105*1.1115569**soc - 0.0764500907363515*sqrt(d)*(soc - 0.026503734) + exp(0.73078287*exp(0.268978063305762*d**1.1040953))**(3/2),PySRFunction(X=>-0.64421105*1.1115569**soc - 0.0764500907363515*sqrt(d)*(soc - 0.026503734) + exp(0.73078287*exp(0.268978063305762*d**1.1040953))**(3/2))
29,3.3291033e-06,(((sqrt((sqrt(d + 0.009661251) * 0.16845827) + 0.3865662) + 0.48434776) ^ soc) * -0.64305353) + cube(sqrt(exp(exp((d ^ 1.1039691) / 3.7163942) * 0.7305846))),0.013258523271995103,-0.64305353*(sqrt(0.16845827*sqrt(d + 0.009661251) + 0.3865662) + 0.48434776)**soc + exp(0.7305846*exp(0.269078021917051*d**1.1039691))**(3/2),PySRFunction(X=>-0.64305353*(sqrt(0.16845827*sqrt(d + 0.009661251) + 0.3865662) + 0.48434776)**soc + exp(0.7305846*exp(0.269078021917051*d**1.1039691))**(3/2))
