complexity,loss,equation,score,sympy_format,lambda_format
1,0.117559284,2.8024826,0.0,2.80248260000000,PySRFunction(X=>2.80248260000000)
3,0.0053808778,d + 2.3022692,1.5420456151546604,d + 2.3022692,PySRFunction(X=>d + 2.3022692)
4,0.00490551,square(d) + 2.468769,0.09249245756846002,d**2 + 2.468769,PySRFunction(X=>d**2 + 2.468769)
5,0.002915443,(d + 1.8913933) * 1.1718063,0.5203372823358704,(d + 1.8913933)*1.1718063,PySRFunction(X=>(d + 1.8913933)*1.1718063)
6,0.0012945326,(exp(d) * 0.6922617) + 1.6126392,0.8118720774506653,exp(d)*0.6922617 + 1.6126392,PySRFunction(X=>exp(d)*0.6922617 + 1.6126392)
7,0.0012835683,(exp(d) + 1.6856265) ^ 0.8423079,0.008505769579298505,(exp(d) + 1.6856265)**0.8423079,PySRFunction(X=>(exp(d) + 1.6856265)**0.8423079)
8,0.0012825534,cube((d * 0.44426277) + 0.7095302) + 1.9477571,0.000790999158704665,(d*0.44426277 + 0.7095302)**3 + 1.9477571,PySRFunction(X=>(d*0.44426277 + 0.7095302)**3 + 1.9477571)
9,0.001281477,square(square((d * -0.35413268) + -0.31549302) + 1.4178394),0.0008396156794664344,((d*(-0.35413268) - 0.31549302)**2 + 1.4178394)**2,PySRFunction(X=>((d*(-0.35413268) - 0.31549302)**2 + 1.4178394)**2)
10,2.6522765e-05,(exp(d) + 2.327633) * ((soc * -0.030320486) + 0.7077575),3.8777651771075337,(0.7077575 + soc*(-0.030320486))*(exp(d) + 2.327633),PySRFunction(X=>(0.7077575 + soc*(-0.030320486))*(exp(d) + 2.327633))
12,1.3117207e-05,(exp(d * 0.9130431) + 1.8834949) * ((soc * -0.034867857) + 0.8140765),0.35203927053101336,(0.8140765 + soc*(-0.034867857))*(exp(d*0.9130431) + 1.8834949),PySRFunction(X=>(0.8140765 + soc*(-0.034867857))*(exp(d*0.9130431) + 1.8834949))
13,1.0963972e-05,square(square((d * -0.2999009) + -0.84837896) + (soc * -0.062543854)) + 1.8254125,0.17931025513118362,(soc*(-0.062543854) + (d*(-0.2999009) - 0.84837896)**2)**2 + 1.8254125,PySRFunction(X=>(soc*(-0.062543854) + (d*(-0.2999009) - 0.84837896)**2)**2 + 1.8254125)
14,8.231517e-06,((2.225904 ^ d) + 1.330889) + (soc * (-0.15185018 * sqrt(sqrt(d)))),0.28664430128379575,2.225904**d - 0.15185018*d**(1/4)*soc + 1.330889,PySRFunction(X=>2.225904**d - 0.15185018*d**(1/4)*soc + 1.330889)
15,6.539536e-06,((soc * ((d ^ 0.20467502) * -0.14768095)) + (2.2198372 ^ d)) + 1.3337926,0.23010410840105974,2.2198372**d + soc*d**0.20467502*(-0.14768095) + 1.3337926,PySRFunction(X=>2.2198372**d + soc*d**0.20467502*(-0.14768095) + 1.3337926)
16,6.5180698e-06,(((soc * (sqrt(sqrt(d)) + 0.13580932)) * -0.13109998) + 1.3335072) + (2.2206895 ^ d),0.0032879257755323845,2.2206895**d - 0.13109998*soc*(d**(1/4) + 0.13580932) + 1.3335072,PySRFunction(X=>2.2206895**d - 0.13109998*soc*(d**(1/4) + 0.13580932) + 1.3335072)
17,3.799846e-06,((exp(sqrt(sqrt(d))) * ((soc + 0.36675844) * -0.05441801)) + (2.2392683 ^ d)) + 1.3712416,0.5396177495690759,2.2392683**d + (-0.05441801*soc - 0.0199582644555044)*exp(d**(1/4)) + 1.3712416,PySRFunction(X=>2.2392683**d + (-0.05441801*soc - 0.0199582644555044)*exp(d**(1/4)) + 1.3712416)
18,3.7996015e-06,((exp(sqrt(sqrt(d))) * -0.05439564) * (soc + 0.3658096)) + (cube(1.3082659 ^ d) + 1.3711164),6.434678312723114e-05,1.3082659**(3*d) - 0.05439564*(soc + 0.3658096)*exp(d**(1/4)) + 1.3711164,PySRFunction(X=>1.3082659**(3*d) - 0.05439564*(soc + 0.3658096)*exp(d**(1/4)) + 1.3711164)
19,3.5773614e-06,(((exp(sqrt(sqrt(d + 0.0065940674))) * -0.054224532) * (soc + 0.42903015)) + (2.2419171 ^ d)) + 1.3779577,0.06027070325260194,2.2419171**d - 0.054224532*(soc + 0.42903015)*exp((d + 0.0065940674)**(1/4)) + 1.3779577,PySRFunction(X=>2.2419171**d - 0.054224532*(soc + 0.42903015)*exp((d + 0.0065940674)**(1/4)) + 1.3779577)
20,3.5498374e-06,(2.2393374 ^ d) + (((((soc + 0.45733425) ^ 1.1112926) * exp(sqrt(sqrt(d)))) * -0.049314376) + 1.3714067),0.007723689938166183,2.2393374**d - 0.049314376*(soc + 0.45733425)**1.1112926*exp(d**(1/4)) + 1.3714067,PySRFunction(X=>2.2393374**d - 0.049314376*(soc + 0.45733425)**1.1112926*exp(d**(1/4)) + 1.3714067)
22,3.341168e-06,((exp(sqrt(sqrt(d + 0.005935412))) * -0.05390618) * ((soc ^ 1.0384036) + 0.4336985)) + ((2.2412767 ^ d) + 1.3768802),0.030290676582516836,2.2412767**d - 0.05390618*(soc**1.0384036 + 0.4336985)*exp((d + 0.005935412)**(1/4)) + 1.3768802,PySRFunction(X=>2.2412767**d - 0.05390618*(soc**1.0384036 + 0.4336985)*exp((d + 0.005935412)**(1/4)) + 1.3768802)
24,3.2302241e-06,(exp(sqrt(sqrt(d))) * ((((0.0012734127 ^ d) * d) + soc) * -0.05435978)) + (((2.3456466 ^ d) + 1.6030123) / 1.1100688),0.016884465411813095,0.90084506473833*2.3456466**d + (-0.05435978*0.0012734127**d*d - 0.05435978*soc)*exp(d**(1/4)) + 1.44406571916984,PySRFunction(X=>0.90084506473833*2.3456466**d + (-0.05435978*0.0012734127**d*d - 0.05435978*soc)*exp(d**(1/4)) + 1.44406571916984)
25,2.9751793e-06,(((soc * -0.054373536) * exp(sqrt(sqrt(d)))) - square(d * (0.005551734 ^ d))) + (((2.351948 ^ d) + 1.6127199) / 1.1145538),0.08224720954372351,-0.005551734**(2*d)*d**2 + 0.897220035497614*2.351948**d - 0.054373536*soc*exp(d**(1/4)) + 1.44696460592571,PySRFunction(X=>-0.005551734**(2*d)*d**2 + 0.897220035497614*2.351948**d - 0.054373536*soc*exp(d**(1/4)) + 1.44696460592571)
27,2.770622e-06,((soc + cube(((0.00568438 ^ d) * d) * 5.138344)) * (exp(sqrt(sqrt(d))) * -0.054372646)) + (((2.3464625 ^ d) + 1.6005819) / 1.109689),0.0356162311803217,0.901153386219022*2.3464625**d - 0.054372646*(135.66553370948*0.00568438**(3*d)*d**3 + soc)*exp(d**(1/4)) + 1.44236979910588,PySRFunction(X=>0.901153386219022*2.3464625**d - 0.054372646*(135.66553370948*0.00568438**(3*d)*d**3 + soc)*exp(d**(1/4)) + 1.44236979910588)
28,2.6940988e-06,(((2.3542469 ^ d) + (((soc + (square(square((0.005696295 ^ d) * d)) * 1899.1046)) * exp(sqrt(sqrt(d)))) * -0.06064321)) + 1.6146082) / 1.1157148,0.02800809232214919,0.896286398638792*2.3542469**d - 0.054353684292796*(1899.1046*0.005696295**(4*d)*d**4 + soc)*exp(d**(1/4)) + 1.44715136879066,PySRFunction(X=>0.896286398638792*2.3542469**d - 0.054353684292796*(1899.1046*0.005696295**(4*d)*d**4 + soc)*exp(d**(1/4)) + 1.44715136879066)
29,2.5883903e-06,((((exp(sqrt(sqrt(d))) * (soc + cube(d * (((soc * 0.011436417) ^ d) * 5.0913024)))) * -0.05925548) + (2.3469942 ^ d)) + 1.6010512) / 1.1103812,0.04002757470110994,0.900591616644806*2.3469942**d - 0.053364988528264*(131.973483032202*d**3*(0.011436417*soc)**(3*d) + soc)*exp(d**(1/4)) + 1.44189328853911,PySRFunction(X=>0.900591616644806*2.3469942**d - 0.053364988528264*(131.973483032202*d**3*(0.011436417*soc)**(3*d) + soc)*exp(d**(1/4)) + 1.44189328853911)
