complexity,loss,equation,score,sympy_format,lambda_format
1,0.14242895,2.8874736,0.0,2.88747360000000,PySRFunction(X=>2.88747360000000)
3,0.015178809,d + 2.387419,1.1194714842427416,d + 2.387419,PySRFunction(X=>d + 2.387419)
4,0.01498468,square(d) + 2.5540168,0.012871964538840583,d**2 + 2.5540168,PySRFunction(X=>d**2 + 2.5540168)
5,0.007930156,6.5900126 / (2.8187299 - d),0.6363556382681803,6.5900126/(2.8187299 - d),PySRFunction(X=>6.5900126/(2.8187299 - d))
6,0.007911483,(2.2779224 ^ d) + 1.3350477,0.0023574591805948083,2.2779224**d + 1.3350477,PySRFunction(X=>2.2779224**d + 1.3350477)
7,0.0015060091,(7.2816586 - soc) / (2.88264 - d),1.6588520765476895,(7.2816586 - soc)/(2.88264 - d),PySRFunction(X=>(7.2816586 - soc)/(2.88264 - d))
8,0.0006708763,(7.3122253 - sqrt(soc)) / (2.8370485 - d),0.8086336825753071,(7.3122253 - sqrt(soc))/(2.8370485 - d),PySRFunction(X=>(7.3122253 - sqrt(soc))/(2.8370485 - d))
9,8.2227394e-05,6.5791454 / (((soc * 0.23025405) + 2.7015586) - d),2.0990962613790822,6.5791454/(-d + soc*0.23025405 + 2.7015586),PySRFunction(X=>6.5791454/(-d + soc*0.23025405 + 2.7015586))
10,7.5322656e-05,(10.02157 - soc) / ((3.2452033 - d) ^ 1.1961082),0.08770754083825731,(10.02157 - soc)/((3.2452033 - d)**1.1961082),PySRFunction(X=>(10.02157 - soc)/((3.2452033 - d)**1.1961082))
11,4.7016034e-05,(8.493054 / ((soc * 0.23251861) + (3.0020673 - d))) + -0.39861524,0.47129227357745496,-0.39861524 + 8.493054/(-d + soc*0.23251861 + 3.0020673),PySRFunction(X=>-0.39861524 + 8.493054/(-d + soc*0.23251861 + 3.0020673))
12,4.1436924e-05,square(6.095922 / (((soc * 0.23289427) + 4.294957) - d)) + 0.41614494,0.12631632507118123,0.41614494 + 37.160265030084/(-d + soc*0.23289427 + 4.294957)**2,PySRFunction(X=>0.41614494 + 37.160265030084/(-d + soc*0.23289427 + 4.294957)**2)
14,3.4286677e-05,(2.418633 - ((exp(sqrt(d)) * 0.14810085) * (soc - square(d)))) + d,0.09470775716892406,d - 0.14810085*(-d**2 + soc)*exp(sqrt(d)) + 2.418633,PySRFunction(X=>d - 0.14810085*(-d**2 + soc)*exp(sqrt(d)) + 2.418633)
15,2.143532e-05,((d + ((-0.7889698 - d) * ((soc * 0.46927604) - d))) * 0.49705786) + 2.4277806,0.4697168242659492,(d + (-d - 0.7889698)*(-d + soc*0.46927604))*0.49705786 + 2.4277806,PySRFunction(X=>(d + (-d - 0.7889698)*(-d + soc*0.46927604))*0.49705786 + 2.4277806)
16,1.548565e-05,((soc - ((d ^ 0.85456496) * 3.4086254)) * ((-0.9299646 - d) * 0.21082905)) + 2.4263155,0.3251262401430801,(-3.4086254*d**0.85456496 + soc)*(-d - 0.9299646)*0.21082905 + 2.4263155,PySRFunction(X=>(-3.4086254*d**0.85456496 + soc)*(-d - 0.9299646)*0.21082905 + 2.4263155)
20,1.54266e-05,((d * 0.37074512) + (((-0.94260883 - d) * ((soc ^ 0.97362155) - (d * 2.4649458))) * 0.20972985)) + 2.4396386,0.0009551241308125475,d*0.37074512 + (-d - 0.94260883)*(-2.4649458*d + soc**0.97362155)*0.20972985 + 2.4396386,PySRFunction(X=>d*0.37074512 + (-d - 0.94260883)*(-2.4649458*d + soc**0.97362155)*0.20972985 + 2.4396386)
22,1.2573903e-05,((d * 0.50271237) + (((soc - exp(d)) * ((cube(square(d)) * 0.14579222) - (d + 0.83621264))) / 4.368752)) + 2.2405791,0.1022349082634493,d*0.50271237 + (soc - exp(d))*(d**6*0.14579222 - (d + 0.83621264))/4.368752 + 2.2405791,PySRFunction(X=>d*0.50271237 + (soc - exp(d))*(d**6*0.14579222 - (d + 0.83621264))/4.368752 + 2.2405791)
24,1.2086706e-05,(((cube(cube(d) * 0.48091975) - (d + 0.82998765)) * ((soc - exp(d / 1.0382873)) / 4.381523)) + (d * 0.5273251)) + 2.2398026,0.019758652335985602,d*0.5273251 + (0.111228950131743*d**9 - (d + 0.82998765))*(soc - exp(d/1.0382873))/4.381523 + 2.2398026,PySRFunction(X=>d*0.5273251 + (0.111228950131743*d**9 - (d + 0.82998765))*(soc - exp(d/1.0382873))/4.381523 + 2.2398026)
25,1.1245609e-05,((((soc - exp(d / 1.0657667)) * (cube((d - 0.5041481) * 0.91264844) - (d + 0.8139361))) / 4.3584156) + (d * 0.5616063)) + 2.2315674,0.07212842957987288,d*0.5616063 + (soc - exp(d/1.0657667))*(-(d + 0.8139361) + 0.760169686928783*(d - 1*0.5041481)**3)/4.3584156 + 2.2315674,PySRFunction(X=>d*0.5616063 + (soc - exp(d/1.0657667))*(-(d + 0.8139361) + 0.760169686928783*(d - 1*0.5041481)**3)/4.3584156 + 2.2315674)
26,1.0530655e-05,((d * 0.51977456) + ((soc - exp(d)) * ((cube(d - ((d ^ soc) * 0.47701338)) - (d + 0.8167274)) / 4.3861403))) + 2.2403579,0.06568721390789682,d*0.51977456 + (soc - exp(d))*(-(d + 0.8167274) + (d - 0.47701338*d**soc)**3)/4.3861403 + 2.2403579,PySRFunction(X=>d*0.51977456 + (soc - exp(d))*(-(d + 0.8167274) + (d - 0.47701338*d**soc)**3)/4.3861403 + 2.2403579)
27,9.662394e-06,((((soc - exp(d)) * (cube(d - (sqrt(d ^ soc) * 0.47844127)) - (d + 0.82118297))) / 4.3840885) + 2.2398722) + (d * 0.51455265),0.08604908383264226,0.51455265*d + 0.22809758516508*(soc - exp(d))*(-d + (d - 0.47844127*sqrt(d**soc))**3 - 0.82118297) + 2.2398722,PySRFunction(X=>0.51455265*d + 0.22809758516508*(soc - exp(d))*(-d + (d - 0.47844127*sqrt(d**soc))**3 - 0.82118297) + 2.2398722)
28,9.556334e-06,((d * 0.55886686) + (((((soc ^ soc) * cube(d - 0.4994965)) - (d + 0.81663096)) / 4.3808284) * (soc - exp(d / 1.0582434)))) + 2.232353,0.011037262892106048,d*0.55886686 + (soc - exp(d/1.0582434))*(soc**soc*(d - 1*0.4994965)**3 - (d + 0.81663096))/4.3808284 + 2.232353,PySRFunction(X=>d*0.55886686 + (soc - exp(d/1.0582434))*(soc**soc*(d - 1*0.4994965)**3 - (d + 0.81663096))/4.3808284 + 2.232353)
29,8.917535e-06,((soc - exp(d)) * ((cube(d - (((d ^ soc) ^ soc) * 0.47468236)) - (d + 0.80666924)) / 4.381619)) + ((d * 0.5231381) + 2.2398498),0.06918461760542298,d*0.5231381 + (soc - exp(d))*(-(d + 0.80666924) + (d - 0.47468236*(d**soc)**soc)**3)/4.381619 + 2.2398498,PySRFunction(X=>d*0.5231381 + (soc - exp(d))*(-(d + 0.80666924) + (d - 0.47468236*(d**soc)**soc)**3)/4.381619 + 2.2398498)
30,8.120605e-06,((d * 0.5045464) + ((((soc ^ 0.9353952) - exp(d)) / 4.407675) * ((cube(square(d)) * ((soc ^ soc) * 0.19117777)) - (d + 0.8601193)))) + 2.2418108,0.09361490432283062,d*0.5045464 + (soc**0.9353952 - exp(d))*(d**6*soc**soc*0.19117777 - (d + 0.8601193))/4.407675 + 2.2418108,PySRFunction(X=>d*0.5045464 + (soc**0.9353952 - exp(d))*(d**6*soc**soc*0.19117777 - (d + 0.8601193))/4.407675 + 2.2418108)
