complexity,loss,equation,score,sympy_format,lambda_format
1,0.14250626,2.8872778,0.0,2.88727780000000,PySRFunction(X=>2.88727780000000)
3,0.015206263,d - -2.3873675,1.1188392730537091,d - 1*(-2.3873675),PySRFunction(X=>d - 1*(-2.3873675))
4,0.015005647,square(d) + 2.5540314,0.013280785537880568,d**2 + 2.5540314,PySRFunction(X=>d**2 + 2.5540314)
5,0.009409124,(d * 1.2639358) + 2.2554994,0.46674674011399997,d*1.2639358 + 2.2554994,PySRFunction(X=>d*1.2639358 + 2.2554994)
6,0.007923241,(2.27767 ^ d) + 1.3352233,0.17187951751754138,2.27767**d + 1.3352233,PySRFunction(X=>2.27767**d + 1.3352233)
7,0.0076289647,sqrt(exp(d - -1.6531473) - soc),0.037848191275028406,sqrt(-soc + 5.22339357072861*exp(d)),PySRFunction(X=>sqrt(-soc + 5.22339357072861*exp(d)))
8,0.0019695603,exp((d / (soc + 1.8723447)) + 0.8387574),1.3541418281485316,exp(d/(soc + 1.8723447) + 0.8387574),PySRFunction(X=>exp(d/(soc + 1.8723447) + 0.8387574))
9,0.000436072,sqrt(3.0798848 - soc) + exp(d - 0.29167396),1.507758231520119,sqrt(3.0798848 - soc) + 0.747012052082665*exp(d),PySRFunction(X=>sqrt(3.0798848 - soc) + 0.747012052082665*exp(d))
10,5.919552e-05,exp((soc * -0.20422944) - (d * -0.8828794)) + 1.4351885,1.9969615039792623,exp(-(-0.8828794)*d + soc*(-0.20422944)) + 1.4351885,PySRFunction(X=>exp(-(-0.8828794)*d + soc*(-0.20422944)) + 1.4351885)
11,2.6760283e-05,sqrt(cube(1.1745753 - ((soc * 0.23609732) - d)) + 4.300689),0.7939270526608286,sqrt((d - 0.23609732*soc + 1.1745753)**3 + 4.300689),PySRFunction(X=>sqrt((d - 0.23609732*soc + 1.1745753)**3 + 4.300689))
12,2.2007369e-05,square(((soc * -0.16472161) + 0.6402657) - (d * -0.69931453)) - -2.0210948,0.19554145887088703,(-(-0.69931453)*d + soc*(-0.16472161) + 0.6402657)**2 - 1*(-2.0210948),PySRFunction(X=>(-(-0.69931453)*d + soc*(-0.16472161) + 0.6402657)**2 - 1*(-2.0210948))
14,2.0855783e-05,square((soc * 0.16703716) + ((-0.6265556 - (d * -0.29248604)) - d)) - -2.0394433,0.026873039960828553,(-d - (-0.29248604)*d + soc*0.16703716 - 0.6265556)**2 - 1*(-2.0394433),PySRFunction(X=>(-d - (-0.29248604)*d + soc*0.16703716 - 0.6265556)**2 - 1*(-2.0394433))
15,1.8494587e-05,sqrt((exp(1.5526013 - ((soc * 0.23107842) - (d * 1.1113354))) - d) + 1.2460343),0.12015317722182875,sqrt(-d + 4.72374208450586*exp(1.1113354*d - 0.23107842*soc) + 1.2460343),PySRFunction(X=>sqrt(-d + 4.72374208450586*exp(1.1113354*d - 0.23107842*soc) + 1.2460343))
17,1.789109e-05,exp((exp(d - (0.63304883 * soc)) * -0.058165744) - ((soc * 0.2665865) - d)) + 1.4965695,0.016587635559128837,exp(-(-d + soc*0.2665865) + exp(d - 0.63304883*soc)*(-0.058165744)) + 1.4965695,PySRFunction(X=>exp(-(-d + soc*0.2665865) + exp(d - 0.63304883*soc)*(-0.058165744)) + 1.4965695)
18,9.166452e-06,exp(((-0.045740057 / exp(soc - square(d))) - ((soc * 0.26752433) - d)) - 0.059853442) + 1.5326937,0.6687525260088888,exp(-(-d + soc*0.26752433) - 1*0.059853442 - 0.045740057*exp(d**2 - soc)) + 1.5326937,PySRFunction(X=>exp(-(-d + soc*0.26752433) - 1*0.059853442 - 0.045740057*exp(d**2 - soc)) + 1.5326937)
19,8.649568e-06,exp((exp((d * 2.4097974) - soc) * -0.008716573) - (((soc * 0.24832663) + 0.0817108) - d)) - -1.5241427,0.058040920048284664,exp(-(-d + soc*0.24832663 + 0.0817108) + exp(d*2.4097974 - soc)*(-0.008716573)) - 1*(-1.5241427),PySRFunction(X=>exp(-(-d + soc*0.24832663 + 0.0817108) + exp(d*2.4097974 - soc)*(-0.008716573)) - 1*(-1.5241427))
20,6.1416467e-06,exp((-0.039982427 / exp((d * soc) - cube(d))) - ((soc * 0.25450754) + (0.09302935 - d))) + 1.5643395,0.3424164791157362,exp(-(-d + soc*0.25450754 + 0.09302935) - 0.039982427*exp(d**3 - d*soc)) + 1.5643395,PySRFunction(X=>exp(-(-d + soc*0.25450754 + 0.09302935) - 0.039982427*exp(d**3 - d*soc)) + 1.5643395)
22,5.5542127e-06,exp((exp(d * ((cube(d) * 0.7014056) - soc)) * -0.061504114) - (((soc * 0.26477805) + 0.08733736) - d)) + 1.5817511,0.05026810675498878,exp(-(-d + soc*0.26477805 + 0.08733736) + exp(d*(d**3*0.7014056 - soc))*(-0.061504114)) + 1.5817511,PySRFunction(X=>exp(-(-d + soc*0.26477805 + 0.08733736) + exp(d*(d**3*0.7014056 - soc))*(-0.061504114)) + 1.5817511)
23,5.1884413e-06,exp((-0.040246915 / exp((soc * sqrt(d * 1.5631334)) - cube(d))) - (((soc * 0.26348254) - d) + 0.09536836)) + 1.5662794,0.06812336035692984,0.909038019542509*exp(d - 0.26348254*soc - 0.040246915*exp(-1.25025333432869*sqrt(d)*soc + d**3)) + 1.5662794,PySRFunction(X=>0.909038019542509*exp(d - 0.26348254*soc - 0.040246915*exp(-1.25025333432869*sqrt(d)*soc + d**3)) + 1.5662794)
24,4.7388235e-06,exp((exp(d * ((cube(d) * 0.62308323) - (soc + 0.40285644))) * -0.11679511) - (((soc * 0.28593352) + 0.085814595) - d)) + 1.627573,0.09064442636992288,exp(-(-d + soc*0.28593352 + 0.085814595) + exp(d*(d**3*0.62308323 - (soc + 0.40285644)))*(-0.11679511)) + 1.627573,PySRFunction(X=>exp(-(-d + soc*0.28593352 + 0.085814595) + exp(d*(d**3*0.62308323 - (soc + 0.40285644)))*(-0.11679511)) + 1.627573)
26,4.4823573e-06,exp((exp(d * (((cube(d) * 0.6529521) - (soc + 0.3534017)) / 0.8125078)) * -0.087360375) - (((soc * 0.2789534) + 0.10314377) - d)) + 1.616413,0.02781990353534008,exp(-(-d + soc*0.2789534 + 0.10314377) + exp(d*(d**3*0.6529521 - (soc + 0.3534017))/0.8125078)*(-0.087360375)) + 1.616413,PySRFunction(X=>exp(-(-d + soc*0.2789534 + 0.10314377) + exp(d*(d**3*0.6529521 - (soc + 0.3534017))/0.8125078)*(-0.087360375)) + 1.616413)
