complexity,loss,equation,score,sympy_format,lambda_format
1,0.034671232,0.99943036,0.0,0.999430360000000,PySRFunction(X=>0.999430360000000)
4,0.024349878,exp(0.32418284 / x1),0.11779448495372595,exp(0.32418284/x1),PySRFunction(X=>exp(0.32418284/x1))
5,0.019859245,exp(exp(0.14332488 - x1)),0.2038571974675005,exp(exp(0.14332488 - x1)),PySRFunction(X=>exp(exp(0.14332488 - x1)))
6,0.01260527,exp((0.8320702 - x2) / x1),0.4545546612997294,exp((0.8320702 - x2)/x1),PySRFunction(X=>exp((0.8320702 - x2)/x1))
7,0.011330337,((1.0503212 - x2) / x1) + 0.92809576,0.10663116184194193,0.92809576 + (1.0503212 - x2)/x1,PySRFunction(X=>0.92809576 + (1.0503212 - x2)/x1)
8,0.009504786,(cube(1.2667251 - x2) / x1) + 0.9255115,0.17568835741906744,0.9255115 + (1.2667251 - x2)**3/x1,PySRFunction(X=>0.9255115 + (1.2667251 - x2)**3/x1)
9,0.009344038,sqrt(cube(0.954996 - ((x2 - 0.8503019) / x1))),0.01705696836244358,sqrt((0.954996 - (x2 - 0.8503019)/x1)**3),PySRFunction(X=>sqrt((0.954996 - (x2 - 0.8503019)/x1)**3))
10,0.008783923,exp(((0.8880195 - x2) / x1) - (x2 * 0.11291696)),0.061815374067739286,exp(-0.11291696*x2 + (0.8880195 - x2)/x1),PySRFunction(X=>exp(-0.11291696*x2 + (0.8880195 - x2)/x1))
12,0.0084279,sqrt(square(square(x2 - (8.0756855 / (x1 + 3.9550054)))) - -0.90232515),0.020687744065167473,sqrt((x2 - 8.0756855/(x1 + 3.9550054))**4 + 0.90232515),PySRFunction(X=>sqrt((x2 - 8.0756855/(x1 + 3.9550054))**4 + 0.90232515))
13,0.005490084,sqrt((square(x2 - (4.2947497 / (x1 + 1.3345342))) - -1.3625157) - x2),0.4286040747095145,sqrt(-x2 + (x2 - 4.2947497/(x1 + 1.3345342))**2 + 1.3625157),PySRFunction(X=>sqrt(-x2 + (x2 - 4.2947497/(x1 + 1.3345342))**2 + 1.3625157))
16,0.0011614023,sqrt(sqrt(square(square(1.1280926 - (3.6000335 / (sqrt(x1) + x2))) - -1.0921537) - x2)),0.517771800542821,(-x2 + ((1.1280926 - 3.6000335/(sqrt(x1) + x2))**2 + 1.0921537)**2)**(1/4),PySRFunction(X=>(-x2 + ((1.1280926 - 3.6000335/(sqrt(x1) + x2))**2 + 1.0921537)**2)**(1/4))
18,0.0006997534,sqrt(sqrt(square(square((3.9852576 / ((x2 * 1.3422029) + sqrt(x1))) - 1.1672984) - -1.0935016) - x2)),0.25332772302129,(-x2 + ((-1.1672984 + 3.9852576/(sqrt(x1) + 1.3422029*x2))**2 + 1.0935016)**2)**(1/4),PySRFunction(X=>(-x2 + ((-1.1672984 + 3.9852576/(sqrt(x1) + 1.3422029*x2))**2 + 1.0935016)**2)**(1/4))
