complexity,loss,equation,score,sympy_format,lambda_format
1,0.11682984,2.8031244,0.0,2.80312440000000,PySRFunction(X=>2.80312440000000)
3,0.0053649605,d - -2.3021443,1.540414751848127,d - 1*(-2.3021443),PySRFunction(X=>d - 1*(-2.3021443))
4,0.0049279565,square(d) + 2.469357,0.08496461443873964,d**2 + 2.469357,PySRFunction(X=>d**2 + 2.469357)
5,0.0013040269,-6.6659074 / (d + -2.9137924),1.3294673069558243,-6.6659074/(d - 2.9137924),PySRFunction(X=>-6.6659074/(d - 2.9137924))
7,0.0012889949,(exp(d) + 1.684606) ^ 0.8424951,0.005797162366145927,(exp(d) + 1.684606)**0.8424951,PySRFunction(X=>(exp(d) + 1.684606)**0.8424951)
9,4.3404543e-05,-6.6676865 / (d + (-2.8645375 - (soc * 0.1004011))),1.6955269666642379,-6.6676865/(d - 0.1004011*soc - 2.8645375),PySRFunction(X=>-6.6676865/(d - 0.1004011*soc - 2.8645375))
10,2.5655407e-05,((soc * -0.03048601) + 0.7078161) * (exp(d) + 2.3277967),0.5258097644253976,(0.7078161 + soc*(-0.03048601))*(exp(d) + 2.3277967),PySRFunction(X=>(0.7078161 + soc*(-0.03048601))*(exp(d) + 2.3277967))
12,1.2800503e-05,((soc * -0.034799017) + 0.80888355) * ((2.5019202 ^ d) + 1.9027135),0.3476349407967741,(0.80888355 + soc*(-0.034799017))*(2.5019202**d + 1.9027135),PySRFunction(X=>(0.80888355 + soc*(-0.034799017))*(2.5019202**d + 1.9027135))
13,1.18498265e-05,exp((((d ^ 1.2168244) * 0.40705717) + (soc * -0.043840613)) - -0.8613519),0.07717124090472584,exp(d**1.2168244*0.40705717 + soc*(-0.043840613) - 1*(-0.8613519)),PySRFunction(X=>exp(d**1.2168244*0.40705717 + soc*(-0.043840613) - 1*(-0.8613519)))
15,9.7856855e-06,exp((((soc * 0.057631057) - (d + 0.12006991)) - (0.54273677 ^ d)) * -0.7637647),0.09569628576052161,exp((-0.54273677**d + soc*0.057631057 - (d + 0.12006991))*(-0.7637647)),PySRFunction(X=>exp((-0.54273677**d + soc*0.057631057 - (d + 0.12006991))*(-0.7637647)))
16,7.829872e-06,(((soc - (-0.14839476 - sqrt(d))) * -0.036144216) + 0.8753281) * exp(1.4523822 ^ d),0.22297449211547332,(-0.036144216*sqrt(d) - 0.036144216*soc + 0.869964487741292)*exp(1.4523822**d),PySRFunction(X=>(-0.036144216*sqrt(d) - 0.036144216*soc + 0.869964487741292)*exp(1.4523822**d))
17,5.7903894e-06,exp(((1.4963088 ^ d) + (soc * (square(cube(d - 0.54854214)) + -0.054028876))) * 0.848383),0.3017466192777541,exp((1.4963088**d + soc*((d - 1*0.54854214)**6 - 0.054028876))*0.848383),PySRFunction(X=>exp((1.4963088**d + soc*((d - 1*0.54854214)**6 - 0.054028876))*0.848383))
18,5.5297733e-06,exp(((1.4991643 ^ d) + ((-0.05343142 - (-0.026600445 / (84551.59 ^ d))) * soc)) * 0.84739983),0.046052723090575336,exp((1.4991643**d + soc*(-0.05343142 - (-1)*0.026600445/(84551.59**d)))*0.84739983),PySRFunction(X=>exp((1.4991643**d + soc*(-0.05343142 - (-1)*0.026600445/(84551.59**d)))*0.84739983))
19,4.349474e-06,exp((((cube(cube(0.666403 - d)) + -0.058017872) * soc) + (1.5452352 ^ d)) * 0.7731181) / 0.92668355,0.24009190186989185,exp((1.5452352**d + soc*((0.666403 - d)**9 - 0.058017872))*0.7731181)/0.92668355,PySRFunction(X=>exp((1.5452352**d + soc*((0.666403 - d)**9 - 0.058017872))*0.7731181)/0.92668355)
20,3.7896104e-06,exp((((-0.4230343 - soc) * (-0.052000705 - (-0.016825275 / exp(d * 9.77744)))) - (1.4905796 ^ d)) * -0.8650625),0.13779170127240056,exp((-1.4905796**d + (-0.052000705 - (-1)*0.016825275/exp(d*9.77744))*(-soc - 0.4230343))*(-0.8650625)),PySRFunction(X=>exp((-1.4905796**d + (-0.052000705 - (-1)*0.016825275/exp(d*9.77744))*(-soc - 0.4230343))*(-0.8650625)))
22,3.1627262e-06,exp(((soc * (0.04860592 - ((0.017433938 - square(d)) / cube(cube(d + 1.0059934))))) - (1.4953315 ^ d)) * -0.8487138),0.09041441989455372,exp((-1.4953315**d + soc*(0.04860592 - (0.017433938 - d**2)/((d + 1.0059934)**9)))*(-0.8487138)),PySRFunction(X=>exp((-1.4953315**d + soc*(0.04860592 - (0.017433938 - d**2)/((d + 1.0059934)**9)))*(-0.8487138)))
23,2.835613e-06,exp(((((0.056295145 - ((0.018684857 - square(d)) / cube(cube(exp(d))))) * soc) - (1.5458789 ^ d)) * -0.76849556) + 0.081834085),0.10917623763164151,exp(0.081834085 + (-1.5458789**d + soc*(0.056295145 - (0.018684857 - d**2)/exp(9*d)))*(-0.76849556)),PySRFunction(X=>exp(0.081834085 + (-1.5458789**d + soc*(0.056295145 - (0.018684857 - d**2)/exp(9*d)))*(-0.76849556)))
25,2.714682e-06,exp(((((0.05593305 - ((0.023540417 - square(d)) / (0.3315486 + cube(cube(exp(d)))))) * soc) - (1.5408517 ^ d)) * -0.77639014) + 0.07361961),0.021791660050846,exp(0.07361961 + (-1.5408517**d + soc*(0.05593305 - (0.023540417 - d**2)/(exp(9*d) + 0.3315486)))*(-0.77639014)),PySRFunction(X=>exp(0.07361961 + (-1.5408517**d + soc*(0.05593305 - (0.023540417 - d**2)/(exp(9*d) + 0.3315486)))*(-0.77639014)))
26,2.325458e-06,exp((((soc * (0.05668528 - (cube((soc * 0.06758265) ^ d) * (0.018456865 - square(d))))) - (1.5559522 ^ d)) * -0.7545556) + 0.09571997),0.15475781056736695,exp(0.09571997 + (-1.5559522**d + soc*(0.05668528 - (soc*0.06758265)**(3*d)*(0.018456865 - d**2)))*(-0.7545556)),PySRFunction(X=>exp(0.09571997 + (-1.5559522**d + soc*(0.05668528 - (soc*0.06758265)**(3*d)*(0.018456865 - d**2)))*(-0.7545556)))
28,2.2108145e-06,exp((((soc * (0.05673367 - ((0.017972559 - square(d / -1.0930159)) * cube((soc * 0.07772408) ^ d)))) - (1.5561136 ^ d)) * -0.7546674) + 0.095495924),0.025278004609778082,exp(0.095495924 + (-1.5561136**d + soc*(0.05673367 - (soc*0.07772408)**(3*d)*(0.017972559 - 0.837041596652068*d**2)))*(-0.7546674)),PySRFunction(X=>exp(0.095495924 + (-1.5561136**d + soc*(0.05673367 - (soc*0.07772408)**(3*d)*(0.017972559 - 0.837041596652068*d**2)))*(-0.7546674)))
