complexity,loss,equation,score,sympy_format,lambda_format
1,0.13329796,2.688197,0.0,2.68819700000000,PySRFunction(X=>2.68819700000000)
5,0.0031956674,(x1 * 0.037280962) + 2.250747,0.9326977420843652,x1*0.037280962 + 2.250747,PySRFunction(X=>x1*0.037280962 + 2.250747)
7,0.0010641061,(1.026191 ^ x1) + 1.28968,0.5498304254555446,1.026191**x1 + 1.28968,PySRFunction(X=>1.026191**x1 + 1.28968)
8,0.0010640599,exp(x1 * 0.025908096) + 1.2886919,4.341766573394784e-05,exp(x1*0.025908096) + 1.2886919,PySRFunction(X=>exp(x1*0.025908096) + 1.2886919)
9,0.0009848111,((1.031387 ^ x1) / 1.2892258) + 1.5210199,0.07739711917860524,1.031387**x1/1.2892258 + 1.5210199,PySRFunction(X=>1.031387**x1/1.2892258 + 1.5210199)
10,0.00053966494,1.3047136 + exp(0.026095029 * (x1 - x2)),0.6015013806323104,exp(0.026095029*(x1 - x2)) + 1.3047136,PySRFunction(X=>exp(0.026095029*(x1 - x2)) + 1.3047136)
11,0.00015789684,(1.0260661 ^ x1) + (1.3556062 - (x2 * 0.11754723)),1.2290065571034432,1.0260661**x1 - 0.11754723*x2 + 1.3556062,PySRFunction(X=>1.0260661**x1 - 0.11754723*x2 + 1.3556062)
12,9.702753e-05,exp((x1 - (x2 / 0.31865954)) * 0.026609879) + 1.3373516,0.48694715572642083,exp((x1 - x2/0.31865954)*0.026609879) + 1.3373516,PySRFunction(X=>exp((x1 - x2/0.31865954)*0.026609879) + 1.3373516)
14,4.4343236e-05,exp((((x2 * 2.972337) - x1) * -0.030919347) - 0.2149262) + 1.5324242,0.391517284818495,exp((-x1 + x2*2.972337)*(-0.030919347) - 1*0.2149262) + 1.5324242,PySRFunction(X=>exp((-x1 + x2*2.972337)*(-0.030919347) - 1*0.2149262) + 1.5324242)
16,3.7770173e-05,sqrt(exp(((x2 * 2.9468856) - (x1 + -7.551717)) * -0.06307291)) + 1.5492676,0.08022023298151525,0.788081015119786*sqrt(exp(0.06307291*x1 - 0.185868650229096*x2)) + 1.5492676,PySRFunction(X=>0.788081015119786*sqrt(exp(0.06307291*x1 - 0.185868650229096*x2)) + 1.5492676)
18,1.9173078e-05,exp((((x2 * 2.8506448) - x1) - (0.65485257 ^ x1)) * -0.02696727) + 1.318432,0.33900630475986976,exp((-0.65485257**x1 - x1 + x2*2.8506448)*(-0.02696727)) + 1.318432,PySRFunction(X=>exp((-0.65485257**x1 - x1 + x2*2.8506448)*(-0.02696727)) + 1.318432)
20,1.6174401e-05,1.3185372 + sqrt(exp(-0.05401509 * (((x2 * 2.9485648) - x1) - (0.6976116 ^ x1)))),0.08503865015258254,sqrt(exp(0.05401509*0.6976116**x1 + 0.05401509*x1 - 0.159266993042832*x2)) + 1.3185372,PySRFunction(X=>sqrt(exp(0.05401509*0.6976116**x1 + 0.05401509*x1 - 0.159266993042832*x2)) + 1.3185372)
21,1.583463e-05,sqrt(exp(((2.9708943 * x2) - (x1 + exp(x1 * -0.36005276))) * -0.054065187)) + 1.3187151,0.021230493487612714,sqrt(exp(0.054065187*x1 - 0.160621955886734*x2 + 0.054065187*exp(-0.36005276*x1))) + 1.3187151,PySRFunction(X=>sqrt(exp(0.054065187*x1 - 0.160621955886734*x2 + 0.054065187*exp(-0.36005276*x1))) + 1.3187151)
23,1.4842007e-05,sqrt(exp((((x2 * 3.0488555) - x1) - exp((x1 + -0.4281864) * -0.29775026)) * -0.054182913)) + 1.3175976,0.03236892128687798,sqrt(exp(0.054182913*x1 - 0.165195872306071*x2 + 0.061550514543943*exp(-0.29775026*x1))) + 1.3175976,PySRFunction(X=>sqrt(exp(0.054182913*x1 - 0.165195872306071*x2 + 0.061550514543943*exp(-0.29775026*x1))) + 1.3175976)
25,1.2577924e-05,sqrt(exp((((x2 * 2.9458215) - x1) - exp((x1 * -0.39013854) * (x2 + 0.35179582))) * -0.05401509)) + 1.3184322,0.08275912868769843,sqrt(exp(0.05401509*x1 - 0.159118813446435*x2 + 0.05401509*exp(-0.39013854*x1*(x2 + 0.35179582)))) + 1.3184322,PySRFunction(X=>sqrt(exp(0.05401509*x1 - 0.159118813446435*x2 + 0.05401509*exp(-0.39013854*x1*(x2 + 0.35179582)))) + 1.3184322)
27,8.496308e-06,sqrt(exp((exp((x1 * ((x2 + 0.34020853) * -0.2564476)) - -0.2564476) - ((x2 * 2.784209) - x1)) * 0.05419318)) + 1.3089749,0.19615574880522646,sqrt(exp(0.05419318*x1 - 0.15088513949462*x2 + 0.0700355289888888*exp(x1*(-0.2564476*x2 - 0.087245661018028)))) + 1.3089749,PySRFunction(X=>sqrt(exp(0.05419318*x1 - 0.15088513949462*x2 + 0.0700355289888888*exp(x1*(-0.2564476*x2 - 0.087245661018028)))) + 1.3089749)
29,7.575947e-06,sqrt(exp((exp((x1 * ((square(x2) + 0.49734768) * -0.2564476)) - -0.2564476) - ((x2 * 2.784209) - x1)) * 0.05419318)) + 1.3089749,0.05732667805667998,sqrt(exp(0.05419318*x1 - 0.15088513949462*x2 + 0.0700355289888888*exp(x1*(-0.2564476*x2**2 - 0.127543618901568)))) + 1.3089749,PySRFunction(X=>sqrt(exp(0.05419318*x1 - 0.15088513949462*x2 + 0.0700355289888888*exp(x1*(-0.2564476*x2**2 - 0.127543618901568)))) + 1.3089749)
