complexity,loss,equation,score,sympy_format,lambda_format
1,0.009704461,0.1660344,0.0,0.166034400000000,PySRFunction(X=>0.166034400000000)
3,0.00012289156,x0 * 0.099672616,2.1845193075915748,x0*0.099672616,PySRFunction(X=>x0*0.099672616)
5,0.00012288877,0.00010752671 - (x0 * -0.09962366),1.1351600024890564e-05,0.00010752671 - (-0.09962366)*x0,PySRFunction(X=>0.00010752671 - (-0.09962366)*x0)
7,2.5439302e-05,((x1 * -0.0005105857) - -0.10581388) * x0,0.7874921681533613,x0*(x1*(-0.0005105857) - 1*(-0.10581388)),PySRFunction(X=>x0*(x1*(-0.0005105857) - 1*(-0.10581388)))
9,1.0289605e-05,x0 * (((x1 * -0.0007961319) * x2) - -0.105062924),0.4525805693313585,x0*(x1*(-0.0007961319)*x2 - 1*(-0.105062924)),PySRFunction(X=>x0*(x1*(-0.0007961319)*x2 - 1*(-0.105062924)))
11,5.4353545e-06,(((x1 * -0.00050981104) + (x2 * -0.009074272)) - -0.110902876) * x0,0.31910470924440404,x0*(x1*(-0.00050981104) + x2*(-0.009074272) - 1*(-0.110902876)),PySRFunction(X=>x0*(x1*(-0.00050981104) + x2*(-0.009074272) - 1*(-0.110902876)))
13,3.1408892e-06,x0 * (((x1 + 17.347813) * (-0.00033482345 - (x2 * 0.00030992346))) - -0.11462649),0.2742093996463793,x0*((x1 + 17.347813)*(-0.00030992346*x2 - 0.00033482345) - 1*(-0.11462649)),PySRFunction(X=>x0*((x1 + 17.347813)*(-0.00030992346*x2 - 0.00033482345) - 1*(-0.11462649)))
15,1.599825e-06,((sqrt(x1 + 3.4377973) * ((x3 * 7.0483666e-6) + -0.00471769)) - -0.11313797) * x0,0.33730584814023057,x0*(sqrt(x1 + 3.4377973)*(7.0483666e-6*x3 - 0.00471769) + 0.11313797),PySRFunction(X=>x0*(sqrt(x1 + 3.4377973)*(7.0483666e-6*x3 - 0.00471769) + 0.11313797))
17,1.3066157e-06,((((x2 * -0.002380944) + -0.0027203732) * sqrt(x1 + 4.9069)) - -0.11606736) * (x0 + -0.011375533),0.10122694449617614,(x0 - 0.011375533)*(sqrt(x1 + 4.9069)*(-0.002380944*x2 - 0.0027203732) + 0.11606736),PySRFunction(X=>(x0 - 0.011375533)*(sqrt(x1 + 4.9069)*(-0.002380944*x2 - 0.0027203732) + 0.11606736))
19,1.1775071e-06,x0 * ((((x2 * -0.002462895) + -0.0027602864) * ((x0 * -0.093902305) + sqrt(x1 + 5.5382023))) - -0.115196645),0.05202039132862662,x0*((-0.093902305*x0 + sqrt(x1 + 5.5382023))*(-0.002462895*x2 - 0.0027602864) + 0.115196645),PySRFunction(X=>x0*((-0.093902305*x0 + sqrt(x1 + 5.5382023))*(-0.002462895*x2 - 0.0027602864) + 0.115196645))
20,1.1760629e-06,x0 * ((((x2 * -0.0023460998) + -0.0027388008) * sqrt((x1 + 5.9577312) - log(x0))) - -0.11562436),0.0012272421736019279,x0*((-0.0023460998*x2 - 0.0027388008)*sqrt(x1 - log(x0) + 5.9577312) + 0.11562436),PySRFunction(X=>x0*((-0.0023460998*x2 - 0.0027388008)*sqrt(x1 - log(x0) + 5.9577312) + 0.11562436))
21,1.1174783e-06,x0 * ((((x2 * -0.002355339) + -0.0027132803) * sqrt((x1 + cos(x0)) + 5.5295253)) - -0.115485564),0.05109770546811751,x0*((-0.002355339*x2 - 0.0027132803)*sqrt(x1 + cos(x0) + 5.5295253) + 0.115485564),PySRFunction(X=>x0*((-0.002355339*x2 - 0.0027132803)*sqrt(x1 + cos(x0) + 5.5295253) + 0.115485564))
23,1.0761979e-06,((sqrt((x1 + cos(x0 + 738186.0)) + 5.731763) * ((x2 * -0.0023345486) + -0.0027715794)) - -0.1158351) * x0,0.01882013110570817,x0*((-0.0023345486*x2 - 0.0027715794)*sqrt(x1 + cos(x0 + 738186.0) + 5.731763) + 0.1158351),PySRFunction(X=>x0*((-0.0023345486*x2 - 0.0027715794)*sqrt(x1 + cos(x0 + 738186.0) + 5.731763) + 0.1158351))
25,1.0328531e-06,((sqrt((cos(x0 + (x1 * -0.06694172)) + x1) + 5.532612) * ((x2 * -0.0023310767) + -0.0026329327)) - -0.11526951) * x0,0.020554696949805034,x0*((-0.0023310767*x2 - 0.0026329327)*sqrt(x1 + cos(x0 - 0.06694172*x1) + 5.532612) + 0.11526951),PySRFunction(X=>x0*((-0.0023310767*x2 - 0.0026329327)*sqrt(x1 + cos(x0 - 0.06694172*x1) + 5.532612) + 0.11526951))
27,9.447446e-07,((((x2 * -0.0023857388) - 0.0026300428) * sqrt(cos((x1 * (-0.03568638 / x2)) + x0) + (x1 + 5.5951543))) - -0.11540882) * x0,0.044582812714103505,x0*((-0.0023857388*x2 - 0.0026300428)*sqrt(x1 + cos(x0 - 0.03568638*x1/x2) + 5.5951543) + 0.11540882),PySRFunction(X=>x0*((-0.0023857388*x2 - 0.0026300428)*sqrt(x1 + cos(x0 - 0.03568638*x1/x2) + 5.5951543) + 0.11540882))
29,9.0036366e-07,((((x2 * -0.0023776183) - 0.002657661) * sqrt(x1 + ((cos((x1 * (-0.035018843 / x2)) + x0) + 4.545591) * 1.3541644))) - -0.115737475) * x0,0.024057939018703612,x0*((-0.0023776183*x2 - 0.002657661)*sqrt(x1 + 1.3541644*cos(x0 - 0.035018843*x1/x2) + 6.1554775091604) + 0.115737475),PySRFunction(X=>x0*((-0.0023776183*x2 - 0.002657661)*sqrt(x1 + 1.3541644*cos(x0 - 0.035018843*x1/x2) + 6.1554775091604) + 0.115737475))
