complexity,loss,equation,score,sympy_format,lambda_format
1,0.009704461,0.16603793,0.0,0.166037930000000,PySRFunction(X=>0.166037930000000)
3,0.00012289156,x0 * 0.0996704,2.1845193075915748,x0*0.0996704,PySRFunction(X=>x0*0.0996704)
5,0.00012288881,(x0 + 0.0011832902) * 0.099618435,1.1188851250109834e-05,(x0 + 0.0011832902)*0.099618435,PySRFunction(X=>(x0 + 0.0011832902)*0.099618435)
6,0.0001228735,(x0 * 0.09949253) ^ 0.99868274,0.00012459192802834093,(x0*0.09949253)**0.99868274,PySRFunction(X=>(x0*0.09949253)**0.99868274)
7,2.5439285e-05,x0 * ((x1 * -0.00051100866) + 0.105818294),1.5748607381337958,x0*(0.105818294 + x1*(-0.00051100866)),PySRFunction(X=>x0*(0.105818294 + x1*(-0.00051100866)))
9,1.0289682e-05,(((x2 * x1) * -0.00079547096) + 0.10506321) * x0,0.45257649357635404,x0*(x2*x1*(-0.00079547096) + 0.10506321),PySRFunction(X=>x0*(x2*x1*(-0.00079547096) + 0.10506321))
10,6.3612406e-06,x0 * ((sqrt(x2 * x1) * -0.0037045083) + 0.10752539),0.4809182243555187,x0*(0.10752539 - 0.0037045083*sqrt(x1*x2)),PySRFunction(X=>x0*(0.10752539 - 0.0037045083*sqrt(x1*x2)))
11,5.435515e-06,x0 * ((x1 * -0.0005104871) + ((x2 * -0.009085184) + 0.11091619)),0.15726914892898172,x0*(x1*(-0.0005104871) + x2*(-0.009085184) + 0.11091619),PySRFunction(X=>x0*(x1*(-0.0005104871) + x2*(-0.009085184) + 0.11091619))
12,3.4809937e-06,x0 * (0.109100185 - (sqrt((x1 + x2) * x2) * 0.0041123563)),0.44563647329093725,x0*(0.109100185 - 0.0041123563*sqrt(x2*(x1 + x2))),PySRFunction(X=>x0*(0.109100185 - 0.0041123563*sqrt(x2*(x1 + x2))))
13,2.5915665e-06,x0 * ((sqrt(sqrt(x2) * (x1 + 5.7329073)) * -0.0049538566) - -0.11654027),0.2950552798703097,x0*(0.11654027 - 0.0049538566*sqrt(sqrt(x2)*(x1 + 5.7329073))),PySRFunction(X=>x0*(0.11654027 - 0.0049538566*sqrt(sqrt(x2)*(x1 + 5.7329073))))
14,1.6003183e-06,(0.11326955 - (sqrt(x1 + 3.5736866) * ((x3 * -7.034611e-6) + 0.004733455))) * x0,0.4820599721722963,x0*(-(0.004733455 - 7.034611e-6*x3)*sqrt(x1 + 3.5736866) + 0.11326955),PySRFunction(X=>x0*(-(0.004733455 - 7.034611e-6*x3)*sqrt(x1 + 3.5736866) + 0.11326955))
16,1.3095994e-06,(x0 * (0.11627585 - (sqrt(x1 + 5.125412) * ((x2 * 0.0023509052) + 0.0027585763)))) + -0.0011365123,0.1002406290203869,x0*(-sqrt(x1 + 5.125412)*(0.0023509052*x2 + 0.0027585763) + 0.11627585) - 0.0011365123,PySRFunction(X=>x0*(-sqrt(x1 + 5.125412)*(0.0023509052*x2 + 0.0027585763) + 0.11627585) - 0.0011365123)
17,1.1772963e-06,(0.115816206 - (sqrt((x1 + 6.103756) - log(x0)) * ((x2 * 0.0023386625) + 0.002772182))) * x0,0.10650075060678278,x0*(-(0.0023386625*x2 + 0.002772182)*sqrt(x1 - log(x0) + 6.103756) + 0.115816206),PySRFunction(X=>x0*(-(0.0023386625*x2 + 0.002772182)*sqrt(x1 - log(x0) + 6.103756) + 0.115816206))
19,1.1175317e-06,(0.11548382 - (sqrt((x1 + cos(x0)) + 5.5234394) * ((x2 * 0.0023570075) + 0.0027122356))) * x0,0.026049062159552026,x0*(-(0.0023570075*x2 + 0.0027122356)*sqrt(x1 + cos(x0) + 5.5234394) + 0.11548382),PySRFunction(X=>x0*(-(0.0023570075*x2 + 0.0027122356)*sqrt(x1 + cos(x0) + 5.5234394) + 0.11548382))
21,1.0780866e-06,x0 * (0.116035655 - (((x2 * 0.0023316052) + 0.0027952632) * sqrt((cos(x0 + -0.29443526) + x1) + 5.921313))),0.01796730539083281,x0*(-(0.0023316052*x2 + 0.0027952632)*sqrt(x1 + cos(x0 - 0.29443526) + 5.921313) + 0.116035655),PySRFunction(X=>x0*(-(0.0023316052*x2 + 0.0027952632)*sqrt(x1 + cos(x0 - 0.29443526) + 5.921313) + 0.116035655))
23,1.0659589e-06,(0.115466826 - (sqrt((5.394968 + x1) + cos(x0 + (-0.6859533 / x0))) * (0.0027137771 + (x2 * 0.0023471727)))) * x0,0.005656516779342197,x0*(-(0.0023471727*x2 + 0.0027137771)*sqrt(x1 + cos(x0 - 0.6859533/x0) + 5.394968) + 0.115466826),PySRFunction(X=>x0*(-(0.0023471727*x2 + 0.0027137771)*sqrt(x1 + cos(x0 - 0.6859533/x0) + 5.394968) + 0.115466826))
26,1.0228817e-06,(0.114910975 - (sqrt((square(sin(x0 + x2)) + x1) + (6.9969907 - x0)) * (0.0026844789 + (x2 * 0.0023343416)))) * (x0 - -0.007139305),0.013750309881450538,(x0 + 0.007139305)*(-(0.0023343416*x2 + 0.0026844789)*sqrt(-x0 + x1 + sin(x0 + x2)**2 + 6.9969907) + 0.114910975),PySRFunction(X=>(x0 + 0.007139305)*(-(0.0023343416*x2 + 0.0026844789)*sqrt(-x0 + x1 + sin(x0 + x2)**2 + 6.9969907) + 0.114910975))
27,1.0221885e-06,(0.114910975 - (sqrt((square(sin(sqrt(x2) + x0)) + x1) + (6.9969907 - x0)) * ((x2 * 0.0023343416) + 0.0026844789))) * (x0 - -0.007139305),0.0006779229647456506,(x0 + 0.007139305)*(-(0.0023343416*x2 + 0.0026844789)*sqrt(-x0 + x1 + sin(x0 + sqrt(x2))**2 + 6.9969907) + 0.114910975),PySRFunction(X=>(x0 + 0.007139305)*(-(0.0023343416*x2 + 0.0026844789)*sqrt(-x0 + x1 + sin(x0 + sqrt(x2))**2 + 6.9969907) + 0.114910975))
28,1.0163616e-06,(0.11483302 - (((x2 * 0.002361546) + 0.0026567862) * sqrt(x1 + ((square(square(sin(sqrt(x2) + x0))) + 6.996989) - x0)))) * (x0 - -0.006847894),0.005716725695429271,(x0 + 0.006847894)*(-(0.002361546*x2 + 0.0026567862)*sqrt(-x0 + x1 + sin(x0 + sqrt(x2))**4 + 6.996989) + 0.11483302),PySRFunction(X=>(x0 + 0.006847894)*(-(0.002361546*x2 + 0.0026567862)*sqrt(-x0 + x1 + sin(x0 + sqrt(x2))**4 + 6.996989) + 0.11483302))
29,1.0131874e-06,(0.114910975 - (sqrt((square(sin(x0 + sqrt(x2 / 1.2887632))) + x1) + (6.9969907 - x0)) * ((x2 * 0.0023343416) + 0.0026844789))) * (x0 - -0.007139305),0.0031279881275224995,(x0 + 0.007139305)*(-(0.0023343416*x2 + 0.0026844789)*sqrt(-x0 + x1 + sin(x0 + 0.880873280485361*sqrt(x2))**2 + 6.9969907) + 0.114910975),PySRFunction(X=>(x0 + 0.007139305)*(-(0.0023343416*x2 + 0.0026844789)*sqrt(-x0 + x1 + sin(x0 + 0.880873280485361*sqrt(x2))**2 + 6.9969907) + 0.114910975))
