complexity,loss,equation,score,sympy_format,lambda_format
1,0.010004441,0.16942313,0.0,0.169423130000000,PySRFunction(X=>0.169423130000000)
3,0.00013210776,x0 * 0.09885413,2.1635832101068893,x0*0.09885413,PySRFunction(X=>x0*0.09885413)
5,0.000118798656,x0 / (x2 + 9.470324),0.053093929722973915,x0/(x2 + 9.470324),PySRFunction(X=>x0/(x2 + 9.470324))
7,1.7276212e-05,x0 / ((x1 * 0.056142766) + 9.470398),0.9640497836754822,x0/(x1*0.056142766 + 9.470398),PySRFunction(X=>x0/(x1*0.056142766 + 9.470398))
9,5.0913595e-06,x0 / (((x2 * 0.08434303) * x1) + 9.490027),0.6108928195723663,x0/(x2*0.08434303*x1 + 9.490027),PySRFunction(X=>x0/(x2*0.08434303*x1 + 9.490027))
11,2.8602801e-06,((0.971224 / ((x2 * x1) + 26.395018)) - -0.06930193) * x0,0.2883126650691816,x0*(-1*(-0.06930193) + 0.971224/(x1*x2 + 26.395018)),PySRFunction(X=>x0*(-1*(-0.06930193) + 0.971224/(x1*x2 + 26.395018)))
13,2.3650198e-06,((0.84949446 / (((x1 + 1.8400074) * x2) + 23.140018)) - -0.071169645) * x0,0.09506658154865172,x0*(-1*(-0.071169645) + 0.84949446/(x2*(x1 + 1.8400074) + 23.140018)),PySRFunction(X=>x0*(-1*(-0.071169645) + 0.84949446/(x2*(x1 + 1.8400074) + 23.140018)))
15,1.9241102e-06,(x0 * ((0.8935005 / (((x2 + x1) * x2) + 24.595442)) - -0.07103572)) + -0.0013599251,0.10316138344565949,x0*(-1*(-0.07103572) + 0.8935005/(x2*(x1 + x2) + 24.595442)) - 0.0013599251,PySRFunction(X=>x0*(-1*(-0.07103572) + 0.8935005/(x2*(x1 + x2) + 24.595442)) - 0.0013599251)
17,1.6554585e-06,(0.062961355 - (-0.4020644 / (((((0.28724566 + x2) * x1) * 0.19180392) + x2) + 8.692631))) * x0,0.07519280868744885,x0*(0.062961355 - (-1)*0.4020644/((x2 + 0.28724566)*x1*0.19180392 + x2 + 8.692631)),PySRFunction(X=>x0*(0.062961355 - (-1)*0.4020644/((x2 + 0.28724566)*x1*0.19180392 + x2 + 8.692631)))
18,1.599424e-06,(0.060035534 - (-0.4219979 / (x2 + (((exp(x2) * x1) * 0.082177155) + 8.539333)))) * x0,0.03443444530547767,x0*(0.060035534 - (-1)*0.4219979/(exp(x2)*x1*0.082177155 + x2 + 8.539333)),PySRFunction(X=>x0*(0.060035534 - (-1)*0.4219979/(exp(x2)*x1*0.082177155 + x2 + 8.539333)))
19,1.1568427e-06,((0.061827563 - (-0.43572745 / ((x2 + ((x2 + 0.29766414) * (x1 * 0.18648359))) + 9.083919))) * x0) - 0.0014138762,0.323949080517546,x0*(0.061827563 - (-1)*0.43572745/((x2 + 0.29766414)*x1*0.18648359 + x2 + 9.083919)) - 1*0.0014138762,PySRFunction(X=>x0*(0.061827563 - (-1)*0.43572745/((x2 + 0.29766414)*x1*0.18648359 + x2 + 9.083919)) - 1*0.0014138762)
20,1.0934674e-06,(x0 * (0.060594883 - (-0.42256954 / ((x2 + 8.539318) + (x1 * (exp(x2) * 0.082089126)))))) + -0.0014181248,0.056340735750928225,x0*(0.060594883 - (-1)*0.42256954/(x1*exp(x2)*0.082089126 + x2 + 8.539318)) - 0.0014181248,PySRFunction(X=>x0*(0.060594883 - (-1)*0.42256954/(x1*exp(x2)*0.082089126 + x2 + 8.539318)) - 0.0014181248)
22,9.71656e-07,(x2 * -0.002230914) + (x0 * (0.060332008 - (-0.5512145 / (((x1 * 0.10524265) * exp(x2)) + (x2 + 11.267972))))),0.05905359739457913,x0*(0.060332008 - (-1)*0.5512145/(x1*0.10524265*exp(x2) + x2 + 11.267972)) + x2*(-0.002230914),PySRFunction(X=>x0*(0.060332008 - (-1)*0.5512145/(x1*0.10524265*exp(x2) + x2 + 11.267972)) + x2*(-0.002230914))
24,9.201588e-07,(x0 * (0.0637114 - (-0.44241223 / ((((-0.31828555 / x0) + exp(x2)) * ((x1 * 0.105694965) + 0.58913356)) + 9.077236)))) + -0.0030387952,0.027227784255556303,x0*(0.0637114 - (-1)*0.44241223/((x1*0.105694965 + 0.58913356)*(exp(x2) - 0.31828555/x0) + 9.077236)) - 0.0030387952,PySRFunction(X=>x0*(0.0637114 - (-1)*0.44241223/((x1*0.105694965 + 0.58913356)*(exp(x2) - 0.31828555/x0) + 9.077236)) - 0.0030387952)
26,7.711709e-07,(x0 * (0.06600331 - (-0.3963741 / ((((x1 * (((x2 - 0.71809757) / x0) + exp(x2))) * 0.10570667) + x2) + 9.080024)))) + -0.0016846734,0.0883181273308239,x0*(0.06600331 - (-1)*0.3963741/(x1*(exp(x2) + (x2 - 1*0.71809757)/x0)*0.10570667 + x2 + 9.080024)) - 0.0016846734,PySRFunction(X=>x0*(0.06600331 - (-1)*0.3963741/(x1*(exp(x2) + (x2 - 1*0.71809757)/x0)*0.10570667 + x2 + 9.080024)) - 0.0016846734)
28,6.497395e-07,(x0 * (0.06374702 - (-0.41868013 / (x2 + (((((x2 - 0.70478433) / square(x0)) + exp(x2)) * (x1 * 0.096507)) + 9.078368))))) + -0.0018395134,0.08566924792623055,x0*(0.06374702 - (-1)*0.41868013/((exp(x2) + (x2 - 1*0.70478433)/(x0**2))*x1*0.096507 + x2 + 9.078368)) - 0.0018395134,PySRFunction(X=>x0*(0.06374702 - (-1)*0.41868013/((exp(x2) + (x2 - 1*0.70478433)/(x0**2))*x1*0.096507 + x2 + 9.078368)) - 0.0018395134)
30,5.544894e-07,((0.06385217 - (-0.4184425 / ((((x1 * 0.097474076) * exp(((x2 - 0.7947678) / (x0 * (x0 / 0.6636933))) + x2)) + 9.078414) + x2))) * x0) + -0.002017984,0.07926191152138486,x0*(0.06385217 - (-1)*0.4184425/(x1*0.097474076*exp(x2 + (x2 - 1*0.7947678)/((x0*x0/0.6636933))) + x2 + 9.078414)) - 0.002017984,PySRFunction(X=>x0*(0.06385217 - (-1)*0.4184425/(x1*0.097474076*exp(x2 + (x2 - 1*0.7947678)/((x0*x0/0.6636933))) + x2 + 9.078414)) - 0.002017984)
