complexity,loss,equation,score,sympy_format,lambda_format
1,0.009704461,0.16602978,0.0,0.166029780000000,PySRFunction(X=>0.166029780000000)
3,0.00012289156,x0 * 0.099671535,2.1845193075915748,x0*0.099671535,PySRFunction(X=>x0*0.099671535)
5,0.00010260243,x0 / (x2 + 9.478425),0.09022036191432112,x0/(x2 + 9.478425),PySRFunction(X=>x0/(x2 + 9.478425))
6,2.4704423e-05,x0 / sqrt(x1 + 89.276855),1.423879320237795,x0/sqrt(x1 + 89.276855),PySRFunction(X=>x0/sqrt(x1 + 89.276855))
7,2.4657716e-05,(x0 / (x1 + 179.54294)) * 19.04284,0.0018924226091244245,x0*19.04284/(x1 + 179.54294),PySRFunction(X=>x0*19.04284/(x1 + 179.54294))
8,6.3348457e-06,x0 / (sqrt(x1 + 78.622986) + x2),1.3590244170915617,x0/(x2 + sqrt(x1 + 78.622986)),PySRFunction(X=>x0/(x2 + sqrt(x1 + 78.622986)))
10,5.7208345e-06,x0 / (sqrt((x1 + 81.3353) - x0) + x2),0.05097538518464776,x0/(x2 + sqrt(-x0 + x1 + 81.3353)),PySRFunction(X=>x0/(x2 + sqrt(-x0 + x1 + 81.3353)))
11,4.3425375e-06,((0.6199041 / ((x1 * x2) + 19.481451)) + 0.07461661) * x0,0.2756558316845321,x0*(0.07461661 + 0.6199041/(x1*x2 + 19.481451)),PySRFunction(X=>x0*(0.07461661 + 0.6199041/(x1*x2 + 19.481451)))
12,3.4808827e-06,x0 * ((sqrt(x2 * (x1 + x2)) * -0.0041104285) + 0.10909754),0.2211729436263267,x0*(0.10909754 - 0.0041104285*sqrt(x2*(x1 + x2))),PySRFunction(X=>x0*(0.10909754 - 0.0041104285*sqrt(x2*(x1 + x2))))
13,3.4170823e-06,((1.3208095 / (((x2 - -0.13612753) * x1) + 33.459538)) + 0.06706023) * x0,0.018498852749911185,x0*(0.06706023 + 1.3208095/(x1*(x2 - 1*(-0.13612753)) + 33.459538)),PySRFunction(X=>x0*(0.06706023 + 1.3208095/(x1*(x2 - 1*(-0.13612753)) + 33.459538)))
14,2.5259237e-06,(x0 / ((exp(x2) * (x1 * 0.08004504)) + (x2 + 25.494081))) * 2.761587,0.302180240685155,x0*2.761587/(exp(x2)*x1*0.08004504 + x2 + 25.494081),PySRFunction(X=>x0*2.761587/(exp(x2)*x1*0.08004504 + x2 + 25.494081))
15,1.7261746e-06,x0 * ((2.512332 / (((x1 + 5.7046165) * (x2 + 0.3779144)) + 50.42287)) + 0.061327774),0.3806990713194408,x0*(0.061327774 + 2.512332/((x1 + 5.7046165)*(x2 + 0.3779144) + 50.42287)),PySRFunction(X=>x0*(0.061327774 + 2.512332/((x1 + 5.7046165)*(x2 + 0.3779144) + 50.42287)))
16,1.6807302e-06,x0 * ((0.45239317 / ((((x1 * 0.08005943) * exp(x2)) + 8.860271) + x2)) + 0.058330324),0.026679404451121713,x0*(0.058330324 + 0.45239317/(x1*0.08005943*exp(x2) + x2 + 8.860271)),PySRFunction(X=>x0*(0.058330324 + 0.45239317/(x1*0.08005943*exp(x2) + x2 + 8.860271)))
17,1.3343968e-06,(x0 - 0.012122087) * ((2.5158584 / (((x1 + 5.8682494) * (x2 + 0.37940174)) + 50.06623)) + 0.061699662),0.23074898730452992,(0.061699662 + 2.5158584/((x1 + 5.8682494)*(x2 + 0.37940174) + 50.06623))*(x0 - 1*0.012122087),PySRFunction(X=>(0.061699662 + 2.5158584/((x1 + 5.8682494)*(x2 + 0.37940174) + 50.06623))*(x0 - 1*0.012122087))
18,1.268478e-06,((1.8913107 / (((x2 + 0.33214247) * (x1 + 5.2652793)) + 41.506104)) + 0.06470828) * (x0 ^ 1.008292),0.05066159795001317,x0**1.008292*(0.06470828 + 1.8913107/((x1 + 5.2652793)*(x2 + 0.33214247) + 41.506104)),PySRFunction(X=>x0**1.008292*(0.06470828 + 1.8913107/((x1 + 5.2652793)*(x2 + 0.33214247) + 41.506104)))
19,1.2315998e-06,(x0 ^ 1.0079848) * ((0.47304294 / ((((exp(x2) * x1) * 0.07873658) + x2) + 9.0708065)) + 0.056457195),0.02950378191011337,x0**1.0079848*(0.056457195 + 0.47304294/(exp(x2)*x1*0.07873658 + x2 + 9.0708065)),PySRFunction(X=>x0**1.0079848*(0.056457195 + 0.47304294/(exp(x2)*x1*0.07873658 + x2 + 9.0708065)))
20,1.2004788e-06,((2.4833715 / ((cos(x0) + 50.362854) + ((x1 + 5.901961) * (x2 + 0.37489715)))) + 0.061464287) * x0,0.025593497463186465,x0*(0.061464287 + 2.4833715/((x1 + 5.901961)*(x2 + 0.37489715) + cos(x0) + 50.362854)),PySRFunction(X=>x0*(0.061464287 + 2.4833715/((x1 + 5.901961)*(x2 + 0.37489715) + cos(x0) + 50.362854)))
