complexity,loss,equation,score,sympy_format,lambda_format
1,1.4105371,1.0391053,0.0,1.03910530000000,PySRFunction(X=>1.03910530000000)
2,0.7305976,exp(C),0.6578630034411387,exp(C),PySRFunction(X=>exp(C))
3,0.0075597903,C * 4.928707,4.571019377673035,C*4.928707,PySRFunction(X=>C*4.928707)
5,0.0027214808,C * (5.3733974 - d),0.5108336538886027,C*(5.3733974 - d),PySRFunction(X=>C*(5.3733974 - d))
7,0.0013378024,C * (5.1793156 - (d * soc)),0.35507393812179777,C*(5.1793156 - d*soc),PySRFunction(X=>C*(5.1793156 - d*soc))
8,0.00091962924,C * (5.2525187 - (d * sqrt(soc))),0.37481295785606916,C*(-d*sqrt(soc) + 5.2525187),PySRFunction(X=>C*(-d*sqrt(soc) + 5.2525187))
10,0.0007794749,(C + 0.0031835202) * (5.2205014 - (d * sqrt(soc))),0.08267505048282689,(C + 0.0031835202)*(-d*sqrt(soc) + 5.2205014),PySRFunction(X=>(C + 0.0031835202)*(-d*sqrt(soc) + 5.2205014))
12,0.00068588887,(5.2647347 - sqrt(soc * cube(sqrt(d)))) * (C - -0.0031490722),0.06395243516635819,(5.2647347 - sqrt(d**(3/2)*soc))*(C + 0.0031490722),PySRFunction(X=>(5.2647347 - sqrt(d**(3/2)*soc))*(C + 0.0031490722))
13,0.0003744059,((C ^ 1.0303718) + 0.007175153) * (5.260101 - (d * sqrt(soc))),0.6053751144921112,(C**1.0303718 + 0.007175153)*(-d*sqrt(soc) + 5.260101),PySRFunction(X=>(C**1.0303718 + 0.007175153)*(-d*sqrt(soc) + 5.260101))
15,0.0002873221,((C ^ 1.0301355) + 0.0071237637) * (5.3038483 - sqrt(soc * cube(sqrt(d)))),0.1323683084612711,(5.3038483 - sqrt(d**(3/2)*soc))*(C**1.0301355 + 0.0071237637),PySRFunction(X=>(5.3038483 - sqrt(d**(3/2)*soc))*(C**1.0301355 + 0.0071237637))
16,0.00027040756,((5.2609334 - sqrt(sqrt(soc) * (d - -0.10144752))) * (C + 0.0088515775)) ^ 1.0354873,0.06067358374588193,((5.2609334 - sqrt(sqrt(soc)*(d + 0.10144752)))*(C + 0.0088515775))**1.0354873,PySRFunction(X=>((5.2609334 - sqrt(sqrt(soc)*(d + 0.10144752)))*(C + 0.0088515775))**1.0354873)
17,0.0001701743,((5.5221534 - sqrt((d + 0.23486002) * (soc + 0.5483307))) * (C + 0.008276815)) ^ 1.0329835,0.4631070964449653,((5.5221534 - sqrt((d + 0.23486002)*(soc + 0.5483307)))*(C + 0.008276815))**1.0329835,PySRFunction(X=>((5.5221534 - sqrt((d + 0.23486002)*(soc + 0.5483307)))*(C + 0.008276815))**1.0329835)
20,0.0001678947,((C + 0.008273845) * (5.4335003 - sqrt((soc + 0.43701953) * ((d ^ 1.0712746) + 0.18276402)))) ^ 1.0328152,0.00449540291206753,((5.4335003 - sqrt((d**1.0712746 + 0.18276402)*(soc + 0.43701953)))*(C + 0.008273845))**1.0328152,PySRFunction(X=>((5.4335003 - sqrt((d**1.0712746 + 0.18276402)*(soc + 0.43701953)))*(C + 0.008273845))**1.0328152)
21,0.00016614038,(((5.673901 - sqrt((soc + 0.7472243) * (d - -0.30318645))) * C) ^ 1.0297765) + (0.093882434 / (soc + 2.183815)),0.010503903540739924,(C*(5.673901 - sqrt((d + 0.30318645)*(soc + 0.7472243))))**1.0297765 + 0.093882434/(soc + 2.183815),PySRFunction(X=>(C*(5.673901 - sqrt((d + 0.30318645)*(soc + 0.7472243))))**1.0297765 + 0.093882434/(soc + 2.183815))
22,0.00015940277,((C * (5.697461 - sqrt((soc + 0.7287835) * (d - -0.34581336)))) ^ 1.0298011) + (0.042584386 / exp(soc * d)),0.041398949764576025,(C*(5.697461 - sqrt((d + 0.34581336)*(soc + 0.7287835))))**1.0298011 + 0.042584386*exp(-d*soc),PySRFunction(X=>(C*(5.697461 - sqrt((d + 0.34581336)*(soc + 0.7287835))))**1.0298011 + 0.042584386*exp(-d*soc))
