complexity,loss,equation,score,sympy_format,lambda_format
1,1.4105371,1.0389093,0.0,1.03890930000000,PySRFunction(X=>1.03890930000000)
2,0.7305976,exp(C),0.6578630034411387,exp(C),PySRFunction(X=>exp(C))
3,0.0075597903,C / 0.20289676,4.571019377673035,C/0.20289676,PySRFunction(X=>C/0.20289676)
5,0.002721481,(5.373371 - d) * C,0.5108336171439024,C*(5.373371 - d),PySRFunction(X=>C*(5.373371 - d))
7,0.0013378029,(5.179359 - (d * soc)) * C,0.3550737879928961,C*(5.179359 - d*soc),PySRFunction(X=>C*(5.179359 - d*soc))
8,0.00091962906,C * (5.252544 - (d * sqrt(soc))),0.37481352733434575,C*(-d*sqrt(soc) + 5.252544),PySRFunction(X=>C*(-d*sqrt(soc) + 5.252544))
10,0.0007794726,(-0.0031787457 - C) * ((d * sqrt(soc)) + -5.2206),0.08267642797165628,(-C - 0.0031787457)*(d*sqrt(soc) - 5.2206),PySRFunction(X=>(-C - 0.0031787457)*(d*sqrt(soc) - 5.2206))
12,0.0004575265,sqrt(square((C * ((sqrt(soc) * d) + -5.3106694)) - -0.028402217)),0.26639136530351726,sqrt((C*(d*sqrt(soc) - 5.3106694) + 0.028402217)**2),PySRFunction(X=>sqrt((C*(d*sqrt(soc) - 5.3106694) + 0.028402217)**2))
13,0.0003744138,(-0.007187331 - (C ^ 1.0304904)) * ((d * sqrt(soc)) + -5.260529),0.20047320363682208,(-C**1.0304904 - 0.007187331)*(d*sqrt(soc) - 5.260529),PySRFunction(X=>(-C**1.0304904 - 0.007187331)*(d*sqrt(soc) - 5.260529))
14,0.00036152863,sqrt(square((C * (sqrt(sqrt(cube(d)) * soc) + -5.35423)) - -0.028374575)),0.035020366648681814,sqrt((C*(sqrt(soc*sqrt(d**3)) - 5.35423) + 0.028374575)**2),PySRFunction(X=>sqrt((C*(sqrt(soc*sqrt(d**3)) - 5.35423) + 0.028374575)**2))
15,0.0002873206,(-0.007139539 - (C ^ 1.0301224)) * (sqrt(cube(sqrt(d)) * soc) + -5.303456),0.2297425707814618,(-C**1.0301224 - 0.007139539)*(sqrt(d**(3/2)*soc) - 5.303456),PySRFunction(X=>(-C**1.0301224 - 0.007139539)*(sqrt(d**(3/2)*soc) - 5.303456))
17,0.00023921671,((C + 0.008336175) / (((-0.15904617 - d) * (sqrt(soc) * -0.04149498)) + 0.19587128)) ^ 1.03349,0.09161439398615766,((C + 0.008336175)/(-0.04149498*sqrt(soc)*(-d - 0.15904617) + 0.19587128))**1.03349,PySRFunction(X=>((C + 0.008336175)/(-0.04149498*sqrt(soc)*(-d - 0.15904617) + 0.19587128))**1.03349)
18,0.00018934201,((C / (((soc + 1.0228466) * (0.009888966 - (d * -0.019648492))) + 0.18383472)) ^ 1.0322126) - -0.036317434,0.23381492102827767,(C/((0.009888966 - (-0.019648492)*d)*(soc + 1.0228466) + 0.18383472))**1.0322126 - 1*(-0.036317434),PySRFunction(X=>(C/((0.009888966 - (-0.019648492)*d)*(soc + 1.0228466) + 0.18383472))**1.0322126 - 1*(-0.036317434))
20,0.00017426012,((C + 0.008733527) / (((d + 0.39224845) * (0.028022237 - (soc * -0.032834355))) + 0.21584056)) + (C ^ 1.1675619),0.04150291551934482,C**1.1675619 + (C + 0.008733527)/((0.028022237 - (-0.032834355)*soc)*(d + 0.39224845) + 0.21584056),PySRFunction(X=>C**1.1675619 + (C + 0.008733527)/((0.028022237 - (-0.032834355)*soc)*(d + 0.39224845) + 0.21584056))
22,0.00016357825,((C / (((soc * 0.010248786) - ((exp(soc / exp(C)) * -0.022853106) * d)) + 0.19150959)) ^ 1.0219849) - -0.03575918,0.031628828154423735,(C/(-(-0.022853106)*d*exp(soc/exp(C)) + soc*0.010248786 + 0.19150959))**1.0219849 - 1*(-0.03575918),PySRFunction(X=>(C/(-(-0.022853106)*d*exp(soc/exp(C)) + soc*0.010248786 + 0.19150959))**1.0219849 - 1*(-0.03575918))
23,0.00015118666,((C / (0.19271314 + ((soc * 0.008733529) - (exp(soc / (0.91312325 + C)) * (-0.021315908 * d))))) ^ 1.0235858) - -0.036025286,0.0787762367803178,(C/(-(-0.021315908)*d*exp(soc/(C + 0.91312325)) + soc*0.008733529 + 0.19271314))**1.0235858 - 1*(-0.036025286),PySRFunction(X=>(C/(-(-0.021315908)*d*exp(soc/(C + 0.91312325)) + soc*0.008733529 + 0.19271314))**1.0235858 - 1*(-0.036025286))
24,0.0001394175,((C / ((0.19265772 - ((d * exp((soc - 0.4308119) / exp(C))) * -0.028914386)) + (soc * 0.0104366895))) ^ 1.0281351) - -0.03537428,0.08104220387265736,(C/(-(-0.028914386)*d*exp((soc - 1*0.4308119)/exp(C)) + soc*0.0104366895 + 0.19265772))**1.0281351 - 1*(-0.03537428),PySRFunction(X=>(C/(-(-0.028914386)*d*exp((soc - 1*0.4308119)/exp(C)) + soc*0.0104366895 + 0.19265772))**1.0281351 - 1*(-0.03537428))
25,0.00012955414,((C / ((soc * 0.009707798) + (0.19284543 - (d * (exp((soc - s) / square(exp(C))) * -0.029086273))))) ^ 1.0263102) - -0.03552673,0.07337416519631308,(C/(-(-0.029086273)*d*exp((-s + soc)/exp(2*C)) + soc*0.009707798 + 0.19284543))**1.0263102 - 1*(-0.03552673),PySRFunction(X=>(C/(-(-0.029086273)*d*exp((-s + soc)/exp(2*C)) + soc*0.009707798 + 0.19284543))**1.0263102 - 1*(-0.03552673))
26,0.00012399514,((C / (((soc * 0.007988165) - ((d * -0.028808203) * exp((soc - s) / square(C + 1.0471396)))) + 0.19410297)) ^ 1.0277663) - -0.036020774,0.04385649198239613,(C/(-(-0.028808203)*d*exp((-s + soc)/((C + 1.0471396)**2)) + soc*0.007988165 + 0.19410297))**1.0277663 - 1*(-0.036020774),PySRFunction(X=>(C/(-(-0.028808203)*d*exp((-s + soc)/((C + 1.0471396)**2)) + soc*0.007988165 + 0.19410297))**1.0277663 - 1*(-0.036020774))
27,0.000117542906,((C / (((soc * 0.010585151) + 0.19150546) - ((d * -0.028802823) * exp((soc - (s * d)) / square(exp(C)))))) ^ 1.0242337) - -0.03555076,0.0534389469112952,(C/(-(-0.028802823)*d*exp((-d*s + soc)/exp(2*C)) + soc*0.010585151 + 0.19150546))**1.0242337 - 1*(-0.03555076),PySRFunction(X=>(C/(-(-0.028802823)*d*exp((-d*s + soc)/exp(2*C)) + soc*0.010585151 + 0.19150546))**1.0242337 - 1*(-0.03555076))
28,0.000109652006,((C / (0.19166885 + ((soc * 0.01083874) - ((d * -0.030277396) * exp((soc - (d * sqrt(s))) / square(exp(C))))))) ^ 1.0261691) - -0.035748124,0.0694916551070704,(C/(0.030277396*d*exp((-d*sqrt(s) + soc)*exp(-2*C)) + 0.01083874*soc + 0.19166885))**1.0261691 + 0.035748124,PySRFunction(X=>(C/(0.030277396*d*exp((-d*sqrt(s) + soc)*exp(-2*C)) + 0.01083874*soc + 0.19166885))**1.0261691 + 0.035748124)
29,0.000106516716,((C / (((soc * 0.010514791) + 0.1921134) - ((d * -0.030671278) * exp((soc - (d * (1.2001121 - soc))) / square(exp(C)))))) ^ 1.0274882) - -0.036336184,0.0290098386908165,(C/(-(-0.030671278)*d*exp((-d*(1.2001121 - soc) + soc)/exp(2*C)) + soc*0.010514791 + 0.1921134))**1.0274882 - 1*(-0.036336184),PySRFunction(X=>(C/(-(-0.030671278)*d*exp((-d*(1.2001121 - soc) + soc)/exp(2*C)) + soc*0.010514791 + 0.1921134))**1.0274882 - 1*(-0.036336184))
30,0.0001056223,((C / (0.19248655 + ((soc * 0.00988739) - ((exp((soc - ((s - -0.24197058) * d)) / exp(C / 0.565652)) * -0.030477557) * d)))) ^ 1.0276136) - -0.036330346,0.008432407358936873,(C/(-(-0.030477557)*d*exp((-d*(s - 1*(-0.24197058)) + soc)/exp(C/0.565652)) + soc*0.00988739 + 0.19248655))**1.0276136 - 1*(-0.036330346),PySRFunction(X=>(C/(-(-0.030477557)*d*exp((-d*(s - 1*(-0.24197058)) + soc)/exp(C/0.565652)) + soc*0.00988739 + 0.19248655))**1.0276136 - 1*(-0.036330346))
