complexity,loss,equation,score,sympy_format,lambda_format
1,0.9395915,C,0.0,C,PySRFunction(X=>C)
2,0.7544802,exp(C),0.21941617102228375,exp(C),PySRFunction(X=>exp(C))
3,0.35166118,C * 3.010997,0.7633608800942187,C*3.010997,PySRFunction(X=>C*3.010997)
4,0.3364357,exp(C) - d,0.04426110909422945,-d + exp(C),PySRFunction(X=>-d + exp(C))
5,0.1611292,square(exp(C - d)),0.7362005184923754,exp(2*C - 2*d),PySRFunction(X=>exp(2*C - 2*d))
6,0.013810157,C / (0.21241245 + cube(d)),2.45680219170793,C/(d**3 + 0.21241245),PySRFunction(X=>C/(d**3 + 0.21241245))
7,0.008443738,((1.0615433 - d) / 0.20402731) * C,0.4919792343742185,C*(1.0615433 - d)/0.20402731,PySRFunction(X=>C*(1.0615433 - d)/0.20402731)
9,0.006757106,(C * (1.0376787 - d)) * (5.4365125 - s),0.11141520483680731,C*(1.0376787 - d)*(5.4365125 - s),PySRFunction(X=>C*(1.0376787 - d)*(5.4365125 - s))
10,0.0062669874,((5.2198997 - square(s)) * (1.0436502 - d)) * C,0.07529893117308074,C*(1.0436502 - d)*(5.2198997 - s**2),PySRFunction(X=>C*(1.0436502 - d)*(5.2198997 - s**2))
11,0.005534392,(5.664928 - s) * (C * exp(cube(-0.3635292 - d))),0.1243140470139212,C*(5.664928 - s)*exp((-d - 0.3635292)**3),PySRFunction(X=>C*(5.664928 - s)*exp((-d - 0.3635292)**3))
12,0.005146783,((exp(cube(-0.35647807 - d)) * 5.4855223) - square(s)) * C,0.07260985439523605,C*(-s**2 + exp((-d - 0.35647807)**3)*5.4855223),PySRFunction(X=>C*(-s**2 + exp((-d - 0.35647807)**3)*5.4855223))
13,0.0049329535,(exp(exp(square(s)) * cube(-0.3348947 - d)) * 5.289286) * C,0.04243396340542084,exp((-d - 0.3348947)**3*exp(s**2))*5.289286*C,PySRFunction(X=>exp((-d - 0.3348947)**3*exp(s**2))*5.289286*C)
14,0.0045758653,(C * 5.3122025) * exp(cube(sqrt(exp(cube(s))) * (-0.34372202 - d))),0.07514207843915206,5.3122025*C*exp((-d - 0.34372202)**3*exp(s**3)**(3/2)),PySRFunction(X=>5.3122025*C*exp((-d - 0.34372202)**3*exp(s**3)**(3/2)))
15,0.0044408212,exp(exp(square(s)) * cube(-0.3347837 - d)) * ((C * 5.191616) - -0.0496599),0.029956503158403015,(C*5.191616 - 1*(-0.0496599))*exp((-d - 0.3347837)**3*exp(s**2)),PySRFunction(X=>(C*5.191616 - 1*(-0.0496599))*exp((-d - 0.3347837)**3*exp(s**2)))
