trajectory,C,u_per,I,u,soc,R1,C1,R0,k
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9999997,0.0044985367,1011.8451,0.008969107,0.028640462
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99984443,0.0044993344,1011.84546,0.008969107,0.02864182
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99968886,0.004500135,1011.8458,0.008969107,0.028643174
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99953336,0.004500935,1011.8462,0.008969107,0.028644528
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9993778,0.0045017353,1011.84656,0.008969107,0.028645888
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9992222,0.004502536,1011.8469,0.008969107,0.028647242
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99906665,0.0045033363,1011.8472,0.008969107,0.028648594
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9989111,0.0045041377,1011.8476,0.008969107,0.028649954
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9987556,0.004504938,1011.8481,0.008969107,0.028651314
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9986,0.0045057386,1011.8483,0.008969107,0.028652675
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99844444,0.004506541,1011.8488,0.008969107,0.02865403
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99828887,0.0045073414,1011.8492,0.008969107,0.02865539
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99813336,0.004508143,1011.84955,0.008969107,0.028656743
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9979778,0.0045089438,1011.84985,0.008969107,0.028658103
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9978222,0.0045097456,1011.85034,0.008969107,0.028659457
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99766666,0.004510547,1011.8507,0.008969107,0.028660819
