trajectory,C,u_per,I,u,soc,R1,C1,R0,k,s
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9999997,0.007837152,1840.3352,0.008969107,0.03082886,17.730625
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99984443,0.007837681,1840.2867,0.008969107,0.03082886,17.73586
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99968886,0.00783821,1840.2382,0.008969107,0.03082886,17.741106
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99953336,0.007838742,1840.1897,0.008969107,0.03082886,17.746355
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9993778,0.007839266,1840.1412,0.008969107,0.03082886,17.751602
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9992222,0.007839792,1840.0928,0.008969107,0.03082886,17.756853
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99906665,0.007840316,1840.0443,0.008969107,0.03082886,17.762106
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9989111,0.007840842,1839.9955,0.008969107,0.03082886,17.767363
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9987556,0.007841363,1839.9473,0.008969107,0.03082886,17.772617
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9986,0.007841881,1839.8989,0.008969107,0.03082886,17.777872
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99844444,0.0078424,1839.8503,0.008969107,0.03082886,17.783133
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99828887,0.007842919,1839.8018,0.008969107,0.03082886,17.788391
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99813336,0.007843434,1839.7533,0.008969107,0.03082886,17.793652
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9979778,0.007843951,1839.7051,0.008969107,0.03082886,17.798918
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9978222,0.007844463,1839.6565,0.008969107,0.03082886,17.804178
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99766666,0.007844979,1839.6079,0.008969107,0.03082886,17.809448
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9975111,0.007845491,1839.5593,0.008969107,0.03082886,17.814714
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9973556,0.007845999,1839.5114,0.008969107,0.03082886,17.819984
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9972,0.007846509,1839.4629,0.008969107,0.03082886,17.825253
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99704444,0.007847018,1839.414,0.008969107,0.03082886,17.830528
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9968889,0.007847521,1839.3658,0.008969107,0.03082886,17.835802
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9967333,0.007848028,1839.3174,0.008969107,0.03082886,17.841076
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9965778,0.007848531,1839.269,0.008969107,0.03082886,17.846352
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99642223,0.007849032,1839.2206,0.008969107,0.03082886,17.851633
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99626666,0.007849535,1839.172,0.008969107,0.03082886,17.856915
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9961111,0.007850033,1839.1238,0.008969107,0.03082886,17.862196
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9959555,0.0078505315,1839.0752,0.008969107,0.03082886,17.86748
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9958,0.00785103,1839.027,0.008969107,0.03082886,17.87276
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99564445,0.007851525,1838.9786,0.008969107,0.03082886,17.878046
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9954889,0.007852022,1838.9302,0.008969107,0.03082886,17.883337
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9953333,0.007852515,1838.8818,0.008969107,0.03082886,17.888624
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9951778,0.007853007,1838.8335,0.008969107,0.03082886,17.893915
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99502224,0.007853498,1838.7848,0.008969107,0.03082886,17.899208
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99486667,0.007853986,1838.7367,0.008969107,0.03082886,17.904503
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9947111,0.007854476,1838.6884,0.008969107,0.03082886,17.909798
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99455553,0.00785496,1838.6398,0.008969107,0.03082886,17.915096
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9944,0.007855446,1838.5913,0.008969107,0.03082886,17.920395
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99424446,0.007855932,1838.5433,0.008969107,0.03082886,17.925694
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9940889,0.007856415,1838.4948,0.008969107,0.03082886,17.930994
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9939333,0.007856896,1838.4463,0.008969107,0.03082886,17.936298
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99377775,0.007857378,1838.398,0.008969107,0.03082886,17.941603
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99362224,0.0078578545,1838.3499,0.008969107,0.03082886,17.946907
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9934667,0.007858333,1838.3015,0.008969107,0.03082886,17.952217
