trajectory,C,u_per,I,u,soc,R1,C1,R0,k,s
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9999997,0.0050000134,2122.5146,0.008446038,0.030706488,21.88376
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99984443,0.0050000134,2122.4624,0.008446038,0.030706488,21.889248
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99968886,0.0050000134,2122.41,0.008446038,0.030706488,21.894747
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99953336,0.0050000134,2122.357,0.008446038,0.030706488,21.900246
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9993778,0.0050000134,2122.3047,0.008446038,0.030706488,21.905746
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9992222,0.005000014,2122.252,0.008446038,0.030706488,21.91125
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99906665,0.005000014,2122.1995,0.008446038,0.030706488,21.916754
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9989111,0.005000014,2122.1467,0.008446038,0.030706488,21.922262
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9987556,0.005000014,2122.0945,0.008446038,0.030706488,21.927765
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9986,0.005000014,2122.0422,0.008446038,0.030706488,21.933275
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99844444,0.005000014,2121.9895,0.008446038,0.030706488,21.938784
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99828887,0.005000014,2121.9373,0.008446038,0.030706488,21.944294
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99813336,0.005000014,2121.8845,0.008446038,0.030706488,21.949804
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9979778,0.005000014,2121.832,0.008446038,0.030706488,21.955317
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9978222,0.005000014,2121.7798,0.008446038,0.030706488,21.960835
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99766666,0.005000014,2121.7273,0.008446038,0.030706488,21.96635
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9975111,0.005000014,2121.6743,0.008446038,0.030706488,21.971865
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9973556,0.005000014,2121.6218,0.008446038,0.030706488,21.97738
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9972,0.005000014,2121.5696,0.008446038,0.030706488,21.982903
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99704444,0.005000014,2121.5173,0.008446038,0.030706488,21.988422
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9968889,0.005000014,2121.4648,0.008446038,0.030706488,21.993946
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9967333,0.005000014,2121.412,0.008446038,0.030706488,21.999472
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9965778,0.005000014,2121.3599,0.008446038,0.030706488,22.004993
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99642223,0.005000014,2121.3071,0.008446038,0.030706488,22.01052
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99626666,0.005000014,2121.2544,0.008446038,0.030706488,22.016048
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9961111,0.005000014,2121.2024,0.008446038,0.030706488,22.021578
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9959555,0.005000014,2121.15,0.008446038,0.030706488,22.027107
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9958,0.005000014,2121.098,0.008446038,0.030706488,22.032639
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99564445,0.005000014,2121.0452,0.008446038,0.030706488,22.038172
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9954889,0.005000014,2120.9927,0.008446038,0.030706488,22.043703
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9953333,0.005000014,2120.9402,0.008446038,0.030706488,22.04924
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9951778,0.005000014,2120.8877,0.008446038,0.030706488,22.054777
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99502224,0.005000014,2120.8354,0.008446038,0.030706488,22.060316
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99486667,0.005000014,2120.783,0.008446038,0.030706488,22.065853
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9947111,0.005000014,2120.7307,0.008446038,0.030706488,22.071398
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99455553,0.005000014,2120.6782,0.008446038,0.030706488,22.076937
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9944,0.005000014,2120.626,0.008446038,0.030706488,22.082478
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99424446,0.005000014,2120.5735,0.008446038,0.030706488,22.088024
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9940889,0.005000014,2120.5212,0.008446038,0.030706488,22.093573
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9939333,0.005000014,2120.4688,0.008446038,0.030706488,22.099115
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99377775,0.005000014,2120.4165,0.008446038,0.030706488,22.104664
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99362224,0.005000014,2120.3638,0.008446038,0.030706488,22.110214
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9934667,0.005000014,2120.3113,0.008446038,0.030706488,22.115765
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9933111,0.005000014,2120.2593,0.008446038,0.030706488,22.121317
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99315554,0.005000014,2120.207,0.008446038,0.030706488,22.126871
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.993,0.005000014,2120.1543,0.008446038,0.030706488,22.132425
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99284446,0.005000014,2120.102,0.008446038,0.030706488,22.137981
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9926889,0.005000014,2120.0498,0.008446038,0.030706488,22.14354
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9925333,0.005000014,2119.9976,0.008446038,0.030706488,22.149097
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99237776,0.005000014,2119.945,0.008446038,0.030706488,22.154657
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99222225,0.005000014,2119.8928,0.008446038,0.030706488,22.160215
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9920667,0.005000014,2119.8406,0.008446038,0.030706488,22.16578
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9919111,0.005000014,2119.7883,0.008446038,0.030706488,22.171345
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99175555,0.005000014,2119.7358,0.008446038,0.030706488,22.17691
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9916,0.005000014,2119.6838,0.008446038,0.030706488,22.182478
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99144447,0.005000014,2119.6313,0.008446038,0.030706488,22.188046
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9912889,0.005000014,2119.5789,0.008446038,0.030706488,22.193613
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99113333,0.005000014,2119.5266,0.008446038,0.030706488,22.199186
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.99097776,0.005000014,2119.474,0.008446038,0.030706488,22.204758
0,0.56,26.5,2.787800681234435,-3.8089113530326593,0.9908222,0.005000014,2119.4219,0.008446038,0.030706488,22.21033
