traj,soc,R1,C1,R0,C,u_per
0,0.9998611,6.5040045,9779.781,13.525735,0.5,28.2
0,0.99972224,6.503986,9779.667,13.524057,0.5,28.2
0,0.9995833,6.5039673,9779.554,13.52238,0.5,28.2
0,0.9994444,6.5039487,9779.439,13.520709,0.5,28.2
0,0.99930555,6.5039296,9779.325,13.519033,0.5,28.2
0,0.99916667,6.5039105,9779.211,13.517363,0.5,28.2
0,0.9990278,6.503892,9779.098,13.515688,0.5,28.2
0,0.9988889,6.5038733,9778.983,13.514013,0.5,28.2
0,0.99875,6.5038548,9778.87,13.512334,0.5,28.2
0,0.9986111,6.5038357,9778.755,13.510661,0.5,28.2
0,0.9984722,6.503817,9778.642,13.508984,0.5,28.2
0,0.99833333,6.5037985,9778.527,13.507309,0.5,28.2
0,0.99819446,6.50378,9778.413,13.505632,0.5,28.2
0,0.9980556,6.5037613,9778.299,13.503963,0.5,28.2
0,0.99791664,6.5037427,9778.186,13.502287,0.5,28.2
0,0.99777776,6.5037236,9778.07,13.50061,0.5,28.2
0,0.9976389,6.503705,9777.958,13.49893,0.5,28.2
0,0.9975,6.5036864,9777.843,13.497256,0.5,28.2
0,0.9973611,6.503668,9777.729,13.4955845,0.5,28.2
0,0.99722224,6.503649,9777.615,13.493902,0.5,28.2
0,0.9970833,6.5036306,9777.502,13.492227,0.5,28.2
0,0.9969444,6.5036116,9777.388,13.49056,0.5,28.2
0,0.99680555,6.5035925,9777.274,13.488878,0.5,28.2
0,0.99666667,6.503574,9777.159,13.487205,0.5,28.2
0,0.9965278,6.5035553,9777.044,13.485529,0.5,28.2
0,0.9963889,6.5035367,9776.932,13.48385,0.5,28.2
0,0.99625,6.503518,9776.817,13.482175,0.5,28.2
0,0.9961111,6.5034995,9776.703,13.480507,0.5,28.2
0,0.9959722,6.5034804,9776.59,13.478825,0.5,28.2
0,0.99583334,6.503462,9776.476,13.47715,0.5,28.2
0,0.99569446,6.5034432,9776.361,13.475474,0.5,28.2
0,0.9955556,6.5034246,9776.247,13.4738,0.5,28.2
0,0.99541664,6.503406,9776.134,13.472119,0.5,28.2
0,0.99527776,6.5033875,9776.02,13.470444,0.5,28.2
0,0.9951389,6.5033684,9775.906,13.468764,0.5,28.2
0,0.995,6.50335,9775.793,13.467093,0.5,28.2
0,0.9948611,6.503331,9775.679,13.465418,0.5,28.2
0,0.99472225,6.5033126,9775.563,13.463743,0.5,28.2
0,0.9945833,6.503294,9775.449,13.462063,0.5,28.2
0,0.99444443,6.503275,9775.336,13.460385,0.5,28.2
0,0.99430555,6.503256,9775.222,13.458711,0.5,28.2
0,0.9941667,6.5032372,9775.108,13.457034,0.5,28.2
0,0.9940278,6.5032187,9774.993,13.455355,0.5,28.2
0,0.9938889,6.5032,9774.881,13.453682,0.5,28.2
0,0.99375,6.5031815,9774.767,13.451999,0.5,28.2
0,0.9936111,6.503163,9774.652,13.450324,0.5,28.2
0,0.9934722,6.503144,9774.538,13.448649,0.5,28.2
0,0.99333334,6.503125,9774.425,13.446972,0.5,28.2
0,0.99319446,6.5031066,9774.311,13.445294,0.5,28.2
0,0.9930556,6.503088,9774.196,13.443616,0.5,28.2
0,0.99291664,6.5030694,9774.083,13.441941,0.5,28.2
0,0.99277776,6.503051,9773.969,13.440265,0.5,28.2
0,0.9926389,6.503032,9773.8545,13.43859,0.5,28.2
0,0.9925,6.503013,9773.74,13.436915,0.5,28.2
0,0.9923611,6.502995,9773.628,13.435235,0.5,28.2
0,0.99222225,6.502976,9773.513,13.433559,0.5,28.2
0,0.9920833,6.502957,9773.4,13.431884,0.5,28.2
0,0.99194443,6.5029383,9773.286,13.430204,0.5,28.2
0,0.99180555,6.5029197,9773.171,13.428525,0.5,28.2
0,0.9916667,6.502901,9773.058,13.426848,0.5,28.2
0,0.9915278,6.502882,9772.944,13.425173,0.5,28.2
0,0.9913889,6.5028634,9772.83,13.423493,0.5,28.2
0,0.99125,6.502845,9772.716,13.421817,0.5,28.2
0,0.9911111,6.5028267,9772.604,13.420139,0.5,28.2
0,0.9909722,6.502808,9772.488,13.4184675,0.5,28.2
0,0.99083334,6.502789,9772.374,13.416781,0.5,28.2
0,0.99069446,6.5027704,9772.261,13.415109,0.5,28.2
0,0.9905556,6.502752,9772.146,13.413427,0.5,28.2
0,0.99041665,6.502733,9772.033,13.411752,0.5,28.2
0,0.99027777,6.5027146,9771.92,13.410075,0.5,28.2
0,0.9901389,6.502696,9771.806,13.408397,0.5,28.2
0,0.99,6.5026774,9771.691,13.40672,0.5,28.2
0,0.98986113,6.5026584,9771.577,13.405041,0.5,28.2
0,0.98972225,6.50264,9771.463,13.403363,0.5,28.2
0,0.9895833,6.5026207,9771.351,13.401688,0.5,28.2
0,0.98944443,6.502602,9771.236,13.400006,0.5,28.2
0,0.98930556,6.5025835,9771.123,13.398326,0.5,28.2
0,0.9891667,6.502565,9771.009,13.39665,0.5,28.2
0,0.9890278,6.5025463,9770.895,13.394976,0.5,28.2
0,0.98888886,6.5025277,9770.781,13.393295,0.5,28.2
0,0.98875,6.502509,9770.668,13.391617,0.5,28.2
0,0.9886111,6.5024905,9770.552,13.389935,0.5,28.2
0,0.9884722,6.502472,9770.439,13.388257,0.5,28.2
0,0.98833334,6.5024533,9770.325,13.386587,0.5,28.2
0,0.98819447,6.5024347,9770.211,13.384907,0.5,28.2
0,0.9880555,6.502416,9770.098,13.383221,0.5,28.2
0,0.98791665,6.5023975,9769.984,13.381542,0.5,28.2
0,0.98777777,6.502379,9769.871,13.37987,0.5,28.2
0,0.9876389,6.50236,9769.756,13.378193,0.5,28.2
0,0.9875,6.502341,9769.644,13.376515,0.5,28.2
0,0.98736113,6.502322,9769.529,13.374832,0.5,28.2
