complexity,loss,equation,score,sympy_format,lambda_format
1,42.0267,11.909512,0.0,11.9095120000000,PySRFunction(X=>11.9095120000000)
3,40.591534,x2 + 11.375859,0.017372803945961725,x2 + 11.375859,PySRFunction(X=>x2 + 11.375859)
4,32.484352,9.713504 / cos(x2),0.22280102623104694,9.713504/cos(x2),PySRFunction(X=>9.713504/cos(x2))
5,17.79125,cube(exp(x2)) / x2,0.6020517330626842,exp(3*x2)/x2,PySRFunction(X=>exp(3*x2)/x2)
7,16.085909,(1.2468498 / x2) + (16.366371 * x2),0.05038154601497332,16.366371*x2 + 1.2468498/x2,PySRFunction(X=>16.366371*x2 + 1.2468498/x2)
8,7.0092134,square(0.9497706 - (cos(log(x2)) * 5.17706)),0.8307181877493537,(0.9497706 - 5.17706*cos(log(x2)))**2,PySRFunction(X=>(0.9497706 - 5.17706*cos(log(x2)))**2)
9,6.538764,square((sin(cos(log(x2))) + -0.15121001) * -5.953838),0.06947732684099502,(0.90027990351838 - 5.953838*sin(cos(log(x2))))**2,PySRFunction(X=>(0.90027990351838 - 5.953838*sin(cos(log(x2))))**2)
10,4.9336834,square(0.9590083 - (cos(log(x2)) * 4.761691)) - -2.7750635,0.281662307738487,(0.9590083 - 4.761691*cos(log(x2)))**2 + 2.7750635,PySRFunction(X=>(0.9590083 - 4.761691*cos(log(x2)))**2 + 2.7750635)
11,3.7272835,square(sqrt(x0) - (5.17706 * cos(log(x2)))) + x0,0.2804061648982527,x0 + (sqrt(x0) - 5.17706*cos(log(x2)))**2,PySRFunction(X=>x0 + (sqrt(x0) - 5.17706*cos(log(x2)))**2)
12,3.4403517,square((cos(log(x2)) * 5.078267) - sqrt(sqrt(x0))) + x0,0.08010597961424909,x0 + (-x0**(1/4) + 5.078267*cos(log(x2)))**2,PySRFunction(X=>x0 + (-x0**(1/4) + 5.078267*cos(log(x2)))**2)
13,2.5091856,square((cos(log(x2)) * 4.989862) - sqrt(x0)) + (x0 * 1.789854),0.31561546618834835,1.789854*x0 + (-sqrt(x0) + 4.989862*cos(log(x2)))**2,PySRFunction(X=>1.789854*x0 + (-sqrt(x0) + 4.989862*cos(log(x2)))**2)
15,2.294549,(log(square(x0)) + square((cos(log(x2)) * 5.100815) - sqrt(x0))) + x0,0.04471096415160745,x0 + (-sqrt(x0) + 5.100815*cos(log(x2)))**2 + log(x0**2),PySRFunction(X=>x0 + (-sqrt(x0) + 5.100815*cos(log(x2)))**2 + log(x0**2))
