complexity,loss,equation,score,julia_expression,lambda_format
2,0.00049006153,R = 0.9876979; C = 1.215465,0.0,R = 0.9876979; C = 1.215465,<pysr.expression_specs.CallableJuliaExpression object at 0x32d69ac30>
4,0.00036027323,R = -0.9970977; C = -27.59187 / #1,0.15383411942560077,R = -0.9970977; C = -27.59187 / #1,<pysr.expression_specs.CallableJuliaExpression object at 0x334fe52e0>
6,0.00033215186,R = 0.9990739; C = square(log(#1 / 64.11173)),0.04063522091173351,R = 0.9990739; C = square(log(#1 / 64.11173)),<pysr.expression_specs.CallableJuliaExpression object at 0x17ff360c0>
7,0.0003254468,R = exp(0.3149334 / #1); C = -28.124544 / #1,0.02039326654464744,R = exp(0.3149334 / #1); C = -28.124544 / #1,<pysr.expression_specs.CallableJuliaExpression object at 0x17ff37230>
8,0.00022958947,R = exp(square(1.6182523 / #1)); C = -28.096416 / #1,0.3489062064061333,R = exp(square(1.6182523 / #1)); C = -28.096416 / #1,<pysr.expression_specs.CallableJuliaExpression object at 0x17ff34ad0>
9,0.00019028064,R = exp(sqrt(2.1505682 / exp(#1))); C = 27.942694 / #1,0.18779276600157022,R = exp(sqrt(2.1505682 / exp(#1))); C = 27.942694 / #1,<pysr.expression_specs.CallableJuliaExpression object at 0x17ff34890>
10,0.00018785393,R = (1.0293 / #1) + 0.92333376; C = square(log(63.645195 / #1)),0.012835342274090023,R = (1.0293 / #1) + 0.92333376; C = square(log(63.645195 / #1)),<pysr.expression_specs.CallableJuliaExpression object at 0x17ff1e5d0>
11,0.0001577413,R = exp(sqrt(2.1809092 / exp(#1))); C = square(log(#1 / 64.297325)),0.17470834340290287,R = exp(sqrt(2.1809092 / exp(#1))); C = square(log(#1 / 64.297325)),<pysr.expression_specs.CallableJuliaExpression object at 0x17ff1e090>
12,0.00013455625,R = (square(#1) / exp(#1)) + 0.98236823; C = square(log(63.653854 / #1)),0.15897402211829767,R = (square(#1) / exp(#1)) + 0.98236823; C = square(log(63.653854 / #1)),<pysr.expression_specs.CallableJuliaExpression object at 0x17ff1dd90>
14,0.00011389385,R = (0.95484567 / #3) + (square(#1) / exp(#1)); C = square(log(#1 / 63.646442)),0.08335772648217743,R = (0.95484567 / #3) + (square(#1) / exp(#1)); C = square(log(#1 / 63.646442)),<pysr.expression_specs.CallableJuliaExpression object at 0x176018860>
15,0.00011295669,R = sqrt(#1 / exp(#1)) + square(0.9611573 / #3); C = square(log(#1 / 63.645195)),0.008262403355471107,R = sqrt(#1 / exp(#1)) + square(0.9611573 / #3); C = square(log(#1 / 63.645195)),<pysr.expression_specs.CallableJuliaExpression object at 0x1760197c0>
