Complexity,Loss,Equation
1,42.026703,"11.911842"
3,40.591534,"x2 + 11.372272"
4,32.4847,"9.703477 / cos(x2)"
5,17.79125,"cube(exp(x2)) / x2"
6,17.520506,"exp(x2 * 3.0580382) / x2"
7,11.650769,"(x2 * 18.977736) - cube(log(x2))"
8,11.464293,"(x2 * 19.0705) - cube(log(tan(x2)))"
9,9.663722,"sqrt(square((x2 * 23.23461) - (1.7632064 / x2)))"
10,8.084275,"sqrt(square((1.8275309 / x2) - (sin(x2) * 25.954609)))"
11,6.5061746,"square(log(sin(square(x2 + -2.0885723)) + 1.1730056)) * 28.78582"
12,5.6849947,"(square(sin(square(x2 + -2.0310285))) * 17.527939) - cube(log(x2))"
13,4.434357,"(square(log(sin(square(x2 + -2.0933042)) + 1.1721855)) * 23.722237) - -2.6426241"
14,3.7347052,"(square(sin(square(-2.031011 + x2))) * 17.4602) - (cube(log(x2)) * x0)"
15,3.1166403,"(square(sin(square(-2.0319915 + x2))) * 17.4602) - (cube(log(x2)) * sqrt(x0))"
