Complexity,Loss,Equation
1,2.8400734e-7,"0.007891641"
3,7.166982e-8,"x2 + -0.99134696"
5,5.8245607e-8,"(x1 * -7.3790296e-5) - -0.008898566"
6,5.8230324e-8,"(-0.4395143 / cube(x2)) - -0.44841188"
7,1.24432145e-8,"((x0 * -0.00019550798) + x2) - 0.9917683"
8,1.17153345e-8,"x2 + ((square(x0) * 4.4253484e-5) - 0.99162096)"
9,3.5653505e-9,"((x0 * -0.00018874956) + 0.0084465705) - (x1 * 7.048756e-5)"
10,1.7712627e-9,"((square(x0) * 4.3021577e-5) + 0.008598327) - (x1 * 7.132037e-5)"
12,1.5494818e-9,"((square(x0 - 0.7430904) * 3.252353e-5) + 0.008537912) - (x1 * 7.10793e-5)"
13,1.5494745e-9,"((x0 * ((x0 * 3.2558273e-5) + -4.818357e-5)) + 0.008555991) - (x1 * 7.10808e-5)"
14,1.3797931e-9,"((0.008717003 - (x1 * 7.619759e-5)) + (-0.00050688075 / x1)) + (square(x0) * 4.2995056e-5)"
15,1.2513992e-9,"(square(x0) * 4.298187e-5) + (0.008485436 - (((sqrt(x1) * 5.7616876e-6) + 3.9918817e-5) * x1))"
17,1.1474497e-9,"(((x0 * ((x0 * 3.2313656e-5) + -4.9166098e-5)) + (-0.000527254 / x1)) + 0.008678695) - (x1 * 7.6155884e-5)"
18,1.0406275e-9,"((-0.0005178379 / x1) + 0.008658765) + ((x0 * ((square(x0) * -5.0642016e-6) + -0.00010375027)) - (x1 * 7.614981e-5))"
19,1.004049e-9,"((-0.0001040559 + (square(x0) * -5.0455824e-6)) * x0) + ((0.008798179 + (-0.0005259387 / sqrt(x1))) - (x1 * 7.8540674e-5))"
21,9.959579e-10,"((-0.00012439987 - (cube(x0 / 1.5833656) * -3.9669767e-6)) * x0) + (((-0.0005312701 / sqrt(x1)) + 0.008789013) - (x1 * 7.8541896e-5))"
22,9.0380853e-10,"((0.008457155 - (x1 * 0.000107518)) / square(cube(cube(cube(x2 * x2))))) + (((square(x0) * -5.0288236e-6) + -0.00010438528) * x0)"
24,8.941473e-10,"(((x0 * ((x0 * (x0 * -4.817264e-6)) + -9.99687e-5)) + (0.09228276 - (x1 * 0.00033363161))) / cube(cube(cube(x2 * x2)))) + -0.08382103"
26,8.8916974e-10,"(((0.012554657 - (x1 * 0.00013034948)) / square(cube(cube(cube(x2 * x2))))) + (x0 * (((square(x0) * 9.927996e-7) * x0) + -0.00012488783))) + -0.004119515"
28,8.861189e-10,"((0.01255568 - (0.00013034778 * x1)) / square(cube(cube(cube(x2 * x2))))) + (((((square(x0) * 8.3073996e-7) * (x0 - x2)) + -0.00012137954) * x0) + -0.004118503)"
29,8.8610386e-10,"((0.01255568 - (x1 * 0.00013034778)) / square(cube(cube(cube(x2 * x2))))) + (((((square(x0) * 8.3073996e-7) * (x0 - sqrt(x2))) + -0.00012137954) * x0) + -0.004118503)"
30,8.840936e-10,"(((((((x0 * x0) * 7.4201813e-7) + 7.196032e-6) * (x0 * x0)) + (0.092357635 - (x1 * 0.0003338657))) + (x0 * -0.000102016464)) / cube(cube(cube(x2 * x2)))) + -0.083899654"
