Complexity,Loss,Equation
1,3.708729,"2.7238464"
2,3.031682,"exp(x2)"
3,0.352508,"x2 * 5.4681077"
4,0.11107513,"tan(x2) * 4.275469"
5,0.038496718,"square(sin(x2)) * 9.090316"
7,0.032954376,"(square(sin(x2)) * 8.814346) - -0.12586749"
8,0.032214735,"square(square(sin(-0.33386114 - x2) * 1.6266392))"
9,0.013567758,"square(sin(x2)) * ((x1 * -0.051636253) - -9.895454)"
10,0.01192375,"(9.623962 - square(x1 * 0.04128418)) * square(sin(x2))"
11,0.007991544,"(9.597029 - (x1 * 0.049943503)) * (square(sin(x2)) - -0.014081365)"
12,0.00638208,"((9.356765 - (square(x1) * 0.0017099894)) * square(sin(x2))) + 0.12439615"
13,0.0063819224,"(square(sin(x2)) * (9.356765 - (square(x1) * 0.0017099894))) + sin(0.12439615)"
14,0.005567168,"((10.113704 - square(x1 * -0.043612797)) * square(sin(x2) + -0.035747964)) - -0.24099182"
15,0.0049048327,"((10.548853 - (square(x1) * 0.0020075554)) * sin(square(sin(x2 + -0.053893276)))) - -0.27991688"
