Complexity,Loss,Equation
2,0.01040961,"R = -0.17095101; C = -0.0038647938"
4,0.005157061,"R = #3 + -0.3173969; C = #2"
5,0.0042956313,"R = square(#3 + -0.5594989); C = 5.4219294e-5"
7,0.004018848,"R = cube(#3 + -0.6308457) + -0.057516314; C = -0.0024173148"
8,0.0016277545,"R = ((#1 * 0.00486257) + 0.26520202) - #3; C = #2"
9,0.0013611234,"R = (square(#1 * -0.014555155) + 0.2883664) - #3; C = -3.083555e-6"
10,0.0012062879,"R = square(square(0.73803717 - #3) + (#1 * 0.005686769)); C = #2"
11,0.0011685188,"R = square(((0.3671177 - #3) + (#1 * 0.005065121)) / -0.67419547); C = #2"
12,0.00058542105,"R = cube(square((((#1 * #3) * 0.025588105) + 0.8461832) - #3)); C = #2"
13,0.0005094241,"R = cube(((0.4107778 - #3) / -0.5659061) + ((#3 * #1) * -0.05045083)); C = #1"
14,0.00045778463,"R = cube((#1 * (#3 * 0.043943442)) + square((#3 - 0.7343592) / -0.854386)); C = #2"
15,0.00040715738,"R = cube(square((0.7350877 - #3) / -0.85402316) + ((#3 * 0.04390474) * #1)); C = square(#2)"
