Complexity,Loss,Equation
1,2.6455595,"-1.89995"
3,2.196186,"x0 * -3.309232"
4,0.92853284,"-8.404649 / sqrt(x1)"
6,0.264201,"(x0 / sqrt(x1)) * -14.656544"
8,0.08277661,"(x0 * -16.78632) / sqrt(x1 - -0.21423636)"
9,0.0070454758,"x0 * ((-26.451883 / (x1 + 0.8800219)) - 2.0670412)"
11,0.0070448075,"x0 * (4.206602 * ((-6.299098 / (x1 + 0.883772)) - 0.49253896))"
13,0.0059200013,"((-26.31195 / (x1 + 0.8169268)) - (2.0761406 - (0.29145634 / x1))) * x0"
15,0.0057609403,"x0 * (4.1653967 * (((-6.2729354 / (x1 + 0.7774013)) - (-0.10561562 / x1)) - 0.50104535))"
17,0.0057569365,"(x0 * 4.1656837) * (((-6.2729354 / (x1 + 0.7774013)) - ((-0.10561562 / x1) / 1.0340742)) - 0.50104535)"
20,0.005724891,"4.1656837 * (x0 * (((-6.2729354 / (x1 + 0.7774013)) - (-0.10561562 / (x1 / exp(-0.025843637 * x1)))) - 0.50104535))"
