Complexity,Loss,Equation
1,1.9112415,"3.4614732"
3,0.095803246,"x2 - x3"
5,0.09366627,"x2 - (x3 * 1.0143538)"
6,0.08710329,"sqrt(x2) + (-0.16667573 - x3)"
7,0.07439876,"(x0 * -5.4736032e-5) + (1.2329171 - x3)"
9,0.071041234,"(((x1 * 4.6752677e-5) - x3) + -1.3890362) - -0.17252664"
10,0.067783654,"((-2.50474 - (684.76654 / sqrt(x1))) - x3) + 6.5938916"
11,0.06596929,"((x2 * 0.3753329) + ((x1 * 4.2053052e-5) - x3)) - 1.2191919"
13,0.06282558,"sqrt(x2 - -0.5861061) + (((sqrt(x0) * x0) * -2.8434593e-7) - x3)"
14,0.06261083,"(sqrt(x0) * (x0 * -2.6748157e-7)) + (sqrt(sqrt(x2 - -0.4803603)) - x3)"
16,0.062610164,"((sqrt(x0) * (x0 + -2.175253)) * -2.6748157e-7) + (sqrt(sqrt(x2 - -0.4803603)) - x3)"
17,0.058439326,"(x0 * ((-705.7022 / sqrt(x1)) + (-1.3032093 - ((-705.6243 / sqrt(x1)) + -1.3036562)))) - x3"
19,0.057775877,"((((-988.0372 / sqrt(x1)) - (6.580506 / x1)) + (0.00027133376 - (-988.0274 / sqrt(x1)))) * x0) - x3"
28,0.05681955,"(((((429.99088 - (-40.529648 / sqrt(x1))) + -429.89825) / sqrt(x1)) - ((sqrt(0.1694404 / x1) / (x3 - 116285.83)) + (56.74185 / x1))) * x0) - x3"
