Complexity,Loss,Equation
1,1.9120036,"3.3910484"
3,0.090781756,"x2 - x3"
4,0.078211315,"square(x1) - x3"
6,0.06965641,"0.79445636 - (x3 + square(x0))"
7,0.06414637,"0.6544624 - (x3 + square(square(x0)))"
8,0.06030494,"0.70728344 - ((square(x0) + x3) * 1.0584091)"
9,0.05713571,"(0.4378375 - (x3 + square(square(x0)))) * 1.06505"
11,0.057135705,"((0.22494759 - (x3 + square(square(x0)))) * 1.0650518) + 0.2267205"
12,0.051258057,"((x1 - square(x0)) * (x0 + x0)) + (-1.0469757 * x3)"
14,0.047036875,"0.6544624 - (x3 + square(square(square((-0.48662463 + x0) - -1.3480799) + -1.7687004)))"
16,0.044051416,"0.81388885 - ((x3 + square(square(square((x0 + (x0 - -1.2865093)) + -1.9113864)))) + 0.19171819)"
21,0.03791458,"(((1.0366112 - x0) * (((((x3 * -0.8604419) + 0.61631083) - x0) + 0.9624612) / (x1 * x1))) + -0.51048845) / x1"
25,0.036413476,"(((((((0.7584629 - x0) / (x1 * x1)) + (x3 * -1.5737724)) + 0.8423397) * (1.2505413 - x0)) / (x1 * x1)) + -0.9658173) + x3"
