time/s;current/A;battery voltage/V
111403.527560852;-0;3.5682554
111403.527760852;1.266715;3.5669317
111404.527760617;179.95625;3.4351418
111405.527760383;180.07164;3.3957989
111406.527760148;180.10217;3.3741982
111407.527759913;180.10217;3.3606162
111408.527759679;180.0445;3.3509934
111409.527759444;180.10217;3.3433754
111410.527759207;180.09877;3.3373613
111411.527758969;180.0445;3.3320489
111412.52775873;180.18023;3.3269367
111413.527758492;180.02413;3.3226266
111414.527758253;180.01056;3.3192186
111415.527758015;180.08522;3.3151088
111416.527757776;180.02073;3.311801
111417.527757538;180.08522;3.3082428
111418.5277573;180.07164;3.3053358
111419.527757061;180.04109;3.3018777
111420.527756823;180.09541;3.2995222
111421.527756584;180.04788;3.2962143
111422.527756346;179.96983;3.2941093
111423.527756108;180.08859;3.2913027
111424.527755869;179.99358;3.2886965
111425.527755631;180.24131;3.2860904
111426.527755392;179.98341;3.2843864
111427.527755154;180.03769;3.2821312
111428.527754915;180.1972;3.2799261
111429.527754677;180.11236;3.277771
111430.527754439;180.16325;3.2755656
111431.5277542;180.03431;3.2736611
111432.527753962;180.12594;3.2722077
111433.527753723;180.06145;3.2699525
111434.527753485;180.12594;3.2679977
111435.527753246;180.15988;3.2663941
111436.52775301;180.09541;3.2650409
111437.527752775;180.13613;3.2631865
111438.527752541;180.0445;3.2616329
111439.527752306;180.08181;3.2598786
111440.527752071;180.1395;3.2585757
111441.527751836;179.97322;3.257473
111442.527751602;180.04788;3.2556689
111443.527751367;180.13613;3.2542655
111444.527751132;180.05128;3.2533634
111445.527750898;179.96305;3.2521605
111446.527750663;180.1463;3.2506068
111447.527750428;180.17345;3.2499554
111448.527750194;180.06823;3.2484016
111449.527749959;179.99358;3.2477
111450.527749724;180.03769;3.2470484
111451.52774949;180.14289;3.2452943
111452.527749255;180.00716;3.2444422
111453.52774902;179.99358;3.2441916
111454.527748785;180.06823;3.2430391
111455.527748551;180.01056;3.2424376
111456.527748316;180.11236;3.241786
111457.527748081;180.11914;3.2410843
111458.527747847;180.15988;3.2403326
111459.527747612;180.05128;3.2396309
111460.527747377;180.05128;3.2391798
111461.527747143;180.14969;3.2384281
111463.52774667;180.10558;3.237977
111464.527746432;180.07841;3.2372253
111465.527746193;180.092;3.2365737
111467.527745716;180.07505;3.2359724
111468.527745478;180.11236;3.2354212
111469.527745239;180.04788;3.2354212
111470.527745001;180.06486;3.2347195
111473.527744286;179.98002;3.2343686
111474.527744047;179.9868;3.2334664
111488.527740709;180.21077;3.2314618
111489.527740473;180.05469;3.2308102
111495.527739065;180.05469;3.2308102
111496.52773883;180.00038;3.230309
111515.527734371;180.12933;3.2292566
111516.527734133;180.04788;3.2298579
111564.527722774;180.02073;3.2294571
111565.527722539;180.08522;3.2289557
111579.527719212;180.10217;3.2287052
111580.527718974;180.07505;3.2292063
111603.527713523;180.092;3.2292063
111604.527713289;180.06823;3.2286551
111639.527705007;180.16325;3.2292063
111640.527704768;180.07841;3.2287052
111656.527700987;180.16325;3.2293067
111657.527700753;180.00716;3.2287555
111678.527695808;180.01394;3.2287052
