time/s;current/A;battery voltage/V
38223.8415595513;-0;2.530159
38224.7435595529;0.065360931;2.5308471
38225.7435595548;-17.90065;2.5454953
38226.7435595566;-17.893863;2.5502064
38227.7435595585;-17.91083;2.5540154
38228.7435595603;-17.93798;2.5572729
38229.7435595622;-17.958344;2.5604806
38230.7435595641;-18.022822;2.5635378
38231.7435595659;-17.951555;2.5656929
38232.7435595678;-17.941373;2.5693514
38233.7435595697;-18.046578;2.5716069
38234.7435595715;-17.90065;2.574213
38235.7435595734;-17.917619;2.5767188
38236.7435595752;-17.93798;2.5790243
38237.7435595771;-17.985492;2.581881
38238.743559579;-17.927801;2.5838356
38239.7435595808;-17.965131;2.5857401
38240.7435595827;-18.009248;2.5881457
38241.7435595846;-17.961734;2.590852
38242.7435595864;-17.968523;2.5924058
38243.7435595883;-17.90065;2.5944607
38244.7435595901;-18.009248;2.596766
38245.743559592;-17.927801;2.5985203
38246.7435595939;-17.907438;2.6009259
38247.7435595957;-17.924406;2.6026299
38248.7435595976;-17.985492;2.604434
38249.7435595995;-17.94816;2.6067395
38250.7435596013;-17.941373;2.6084938
38251.7435596032;-17.907438;2.6101475
38252.743559605;-17.94816;2.6118014
38253.7435596069;-17.941373;2.6136558
38254.7435596088;-17.917619;2.6154602
38255.7435596106;-17.94816;2.6168635
38256.7435596125;-17.890469;2.6189182
38257.7435596144;-17.982098;2.6204219
38258.7435596162;-17.94816;2.6222761
38259.7435596181;-17.859926;2.6240304
38260.7435596199;-17.941373;2.6254337
38261.7435596218;-17.982098;2.6272378
38262.7435596237;-18.009248;2.6285911
38263.7435596255;-18.009248;2.6304955
38264.7435596274;-17.954947;2.6318989
38265.7435596293;-18.114449;2.6337533
38266.7435596311;-17.883682;2.6352067
38267.743559633;-17.965131;2.6368606
38268.7435596349;-17.931193;2.6384141
38269.7435596367;-17.975311;2.640018
38270.7435596386;-17.982098;2.6410704
38271.7435596404;-17.985492;2.6427243
38272.7435596423;-17.93798;2.644228
38273.7435596442;-17.924406;2.6456313
38274.743559646;-17.961734;2.6470847
38275.7435596479;-17.982098;2.6484377
38276.7435596498;-18.009248;2.6498411
38277.7435596516;-17.917619;2.6512945
38278.7435596535;-17.832775;2.6524973
38279.7435596553;-17.978705;2.6542516
38280.7435596572;-17.992277;2.6555545
38281.7435596591;-18.019428;2.6569078
38282.7435596609;-18.070332;2.6582108
38283.7435596628;-18.005854;2.659564
38284.7435596647;-18.026215;2.6607168
38285.7435596665;-18.053363;2.6622202
38286.7435596684;-17.975311;2.6634231
38287.7435596702;-17.880287;2.665127
38288.7435596721;-17.971918;2.6660793
38289.743559674;-17.94816;2.6672823
38290.7435596758;-17.971918;2.6686854
38291.7435596777;-17.914225;2.6698883
38292.7435596796;-17.961734;2.6713419
38293.7435596814;-18.002459;2.6722941
38294.7435596833;-17.968523;2.6733966
38295.7435596851;-17.999066;2.6746998
38296.743559687;-17.958344;2.6761532
38297.7435596889;-17.921012;2.676955
38298.7435596907;-17.880287;2.6784585
38299.7435596926;-17.927801;2.6795111
38300.7435596945;-18.049971;2.6806638
38301.7435596963;-17.93798;2.6816661
38302.7435596982;-17.93798;2.682919
38303.7435597;-18.043182;2.6844728
38304.7435597019;-18.022822;2.685375
38305.7435597038;-18.060152;2.6864274
38306.7435597056;-18.049971;2.6873295
38307.7435597075;-17.951555;2.6889334
38308.7435597094;-17.846352;2.6897852
38309.7435597112;-17.944768;2.6908379
38310.7435597131;-17.94816;2.6920907
38311.7435597149;-18.033002;2.6929426
38312.7435597168;-17.951555;2.6938949
38313.7435597187;-17.893863;2.6953986
38314.7435597205;-17.927801;2.6963508
38315.7435597224;-17.995672;2.6972027
38316.7435597243;-17.822596;2.6979544
38317.7435597261;-17.944768;2.6993077
38318.743559728;-17.924406;2.7004604
38319.7435597298;-17.941373;2.7016633
38320.7435597317;-17.914225;2.7025154
38321.7435597336;-17.944768;2.7033172
38322.7435597354;-17.924406;2.7044199
38323.7435597373;-17.999066;2.7056227
38324.7435597392;-18.036396;2.7065246
38325.743559741;-17.958344;2.7069256
38326.7435597429;-18.019428;2.7082789
38327.7435597447;-17.951555;2.7092812
38328.7435597466;-18.077119;2.7101333
38329.7435597485;-18.002459;2.7114863
38330.7435597503;-17.975311;2.7117872
38331.7435597522;-17.985492;2.7130902
38332.7435597541;-17.988885;2.713892
38333.7435597559;-18.002459;2.7148442
38334.7435597578;-17.992277;2.715997
38335.7435597596;-17.93798;2.7168992
38336.7435597615;-17.961734;2.717701
38337.7435597634;-17.91083;2.7186031
38338.7435597652;-17.934586;2.7195554
38339.7435597671;-17.958344;2.7203574
38340.743559769;-17.951555;2.7214098
38341.7435597708;-17.951555;2.7222116
38342.7435597727;-18.056758;2.7227128
38343.7435597745;-18.039791;2.7239156
38344.7435597764;-17.917619;2.7248678
38345.7435597783;-17.978705;2.7256198
38346.7435597801;-17.951555;2.7264717
38347.743559782;-17.853139;2.727474
38348.7435597839;-17.893863;2.7283762
38349.7435597857;-17.944768;2.7292783
38350.7435597876;-17.961734;2.7298295
38351.7435597894;-18.019428;2.7309823
38352.7435597913;-17.995672;2.7311327
38353.7435597932;-17.94816;2.7323356
38354.743559795;-17.985492;2.733438
38355.7435597969;-17.995672;2.73419
38356.7435597988;-17.971918;2.7349918
38357.7435598006;-17.93798;2.7355933
38358.7435598025;-17.887076;2.7365456
38359.7435598044;-17.8735;2.7369463
38360.7435598062;-17.887076;2.7378986
38361.7435598081;-17.982098;2.7384501
38362.7435598099;-17.988885;2.7397029
38363.7435598118;-17.921012;2.7400036
38364.7435598137;-17.995672;2.741056
38365.7435598155;-17.982098;2.7420585
38366.7435598174;-17.941373;2.7427602
38367.7435598193;-17.904043;2.7433615
38368.7435598211;-18.036396;2.7443137
38369.743559823;-17.978705;2.7450655
38370.7435598248;-17.961734;2.7458675
38371.7435598267;-18.012641;2.7467697
38372.7435598286;-17.93798;2.747421
38373.7435598304;-17.999066;2.7479725
38374.7435598323;-18.046578;2.7493255
38375.7435598342;-18.036396;2.7498267
38376.743559836;-17.927801;2.7502277
38377.7435598379;-17.958344;2.7508793
38378.7435598397;-17.958344;2.751631
38379.7435598416;-17.870107;2.7525332
38380.7435598435;-17.8735;2.7534354
38381.7435598453;-17.978705;2.7539365
38382.7435598472;-17.941373;2.7546382
38383.7435598491;-17.965131;2.7551894
38384.7435598509;-17.927801;2.7561417
38385.7435598528;-17.985492;2.756743
38386.7435598546;-17.914225;2.7574446
38387.7435598565;-17.968523;2.7583969
38388.7435598584;-17.978705;2.7586977
38389.7435598602;-17.921012;2.7599506
38390.7435598621;-17.954947;2.7604518
38391.743559864;-17.924406;2.7610533
38392.7435598658;-17.958344;2.7617047
38393.7435598677;-17.94816;2.7625067
38394.7435598695;-17.971918;2.763108
38395.7435598714;-17.978705;2.7640102
38396.7435598733;-17.866713;2.7645113
38397.7435598751;-17.904043;2.7651629
38398.743559877;-17.883682;2.7659647
38399.7435598789;-17.975311;2.7665663
38400.7435598807;-17.931193;2.7675185
38401.7435598826;-18.060152;2.7684205
38403.7435598863;-18.060152;2.7688215
38404.7435598882;-18.019428;2.7697237
38405.74355989;-18.046578;2.7703753
38406.7435598919;-18.012641;2.7714777
38407.7435598938;-17.934586;2.7718287
38408.7435598956;-18.043182;2.7724299
38409.7435598975;-17.999066;2.773232
38410.7435598993;-18.002459;2.7737331
38411.7435599012;-17.8735;2.7744348
38412.7435599031;-17.927801;2.774936
38413.7435599049;-17.968523;2.7756877
