(r,x,t)             variable
(686,)            	 Time [s]
(686,)            	 Time [min]
(686,)            	 Time [h]
(130, 686)        	 x [m]
(50, 686)         	 x_n [m]
(30, 686)         	 x_s [m]
(50, 686)         	 x_p [m]
(10, 50, 686)     	 r_n [m]
(10, 50, 686)     	 r_p [m]
(686,)            	 Current variable [A]
(686,)            	 Total current density [A.m-2]
(686,)            	 Current [A]
(686,)            	 C-rate
(686,)            	 Discharge capacity [A.h]
(686,)            	 Throughput capacity [A.h]
(686,)            	 Discharge energy [W.h]
(686,)            	 Throughput energy [W.h]
(130, 686)        	 Porosity
(50, 686)         	 Negative electrode porosity
(686,)            	 X-averaged negative electrode porosity
(30, 686)         	 Separator porosity
(686,)            	 X-averaged separator porosity
(50, 686)         	 Positive electrode porosity
(686,)            	 X-averaged positive electrode porosity
(130, 686)        	 Porosity change
(50, 686)         	 Negative electrode porosity change [s-1]
(686,)            	 X-averaged negative electrode porosity change [s-1]
(30, 686)         	 Separator porosity change [s-1]
(686,)            	 X-averaged separator porosity change [s-1]
(50, 686)         	 Positive electrode porosity change [s-1]
(686,)            	 X-averaged positive electrode porosity change [s-1]
(50, 686)         	 Negative electrode interface utilisation variable
(686,)            	 X-averaged negative electrode interface utilisation variable
(50, 686)         	 Negative electrode interface utilisation
(686,)            	 X-averaged negative electrode interface utilisation
(50, 686)         	 Positive electrode interface utilisation variable
(686,)            	 X-averaged positive electrode interface utilisation variable
(50, 686)         	 Positive electrode interface utilisation
(686,)            	 X-averaged positive electrode interface utilisation
(50, 686)         	 Negative particle crack length [m]
(686,)            	 X-averaged negative particle crack length [m]
(50, 686)         	 Negative particle cracking rate [m.s-1]
(686,)            	 X-averaged negative particle cracking rate [m.s-1]
(50, 686)         	 Positive particle crack length [m]
(686,)            	 X-averaged positive particle crack length [m]
(50, 686)         	 Positive particle cracking rate [m.s-1]
(686,)            	 X-averaged positive particle cracking rate [m.s-1]
(50, 686)         	 Negative electrode active material volume fraction
(686,)            	 X-averaged negative electrode active material volume fraction
(686,)            	 Negative electrode capacity [A.h]
(50, 686)         	 Negative particle radius
(50, 686)         	 Negative particle radius [m]
(686,)            	 X-averaged negative particle radius [m]
(50, 686)         	 Negative electrode surface area to volume ratio [m-1]
(686,)            	 X-averaged negative electrode surface area to volume ratio [m-1]
(50, 686)         	 Negative electrode active material volume fraction change [s-1]
(686,)            	 X-averaged negative electrode active material volume fraction change [s-1]
(686,)            	 Loss of lithium due to loss of active material in negative electrode [mol]
(50, 686)         	 Positive electrode active material volume fraction
(686,)            	 X-averaged positive electrode active material volume fraction
(686,)            	 Positive electrode capacity [A.h]
(50, 686)         	 Positive particle radius
(50, 686)         	 Positive particle radius [m]
(686,)            	 X-averaged positive particle radius [m]
(50, 686)         	 Positive electrode surface area to volume ratio [m-1]
(686,)            	 X-averaged positive electrode surface area to volume ratio [m-1]
(50, 686)         	 Positive electrode active material volume fraction change [s-1]
(686,)            	 X-averaged positive electrode active material volume fraction change [s-1]
(686,)            	 Loss of lithium due to loss of active material in positive electrode [mol]
(30, 686)         	 Separator pressure [Pa]
(686,)            	 X-averaged separator pressure [Pa]
(50, 686)         	 negative electrode transverse volume-averaged velocity [m.s-1]
(686,)            	 X-averaged negative electrode transverse volume-averaged velocity [m.s-1]
(30, 686)         	 separator transverse volume-averaged velocity [m.s-1]
(686,)            	 X-averaged separator transverse volume-averaged velocity [m.s-1]
(50, 686)         	 positive electrode transverse volume-averaged velocity [m.s-1]
(686,)            	 X-averaged positive electrode transverse volume-averaged velocity [m.s-1]
(130, 686)        	 Transverse volume-averaged velocity [m.s-1]
(50, 686)         	 negative electrode transverse volume-averaged acceleration [m.s-2]
(686,)            	 X-averaged negative electrode transverse volume-averaged acceleration [m.s-2]
(30, 686)         	 separator transverse volume-averaged acceleration [m.s-2]
(686,)            	 X-averaged separator transverse volume-averaged acceleration [m.s-2]
(50, 686)         	 positive electrode transverse volume-averaged acceleration [m.s-2]
(686,)            	 X-averaged positive electrode transverse volume-averaged acceleration [m.s-2]
(130, 686)        	 Transverse volume-averaged acceleration [m.s-2]
(50, 686)         	 Negative electrode volume-averaged velocity [m.s-1]
