case_id,u_par,C_rate,SOC
1,2.14,4.904,0.351
2,24.306,4.876,0.944
3,24.97,3.933,0.994
4,9.545,3.414,0.386
5,27.971,2.594,0.754
6,2.651,4.03,0.165
7,29.112,4.312,0.419
8,16.172,3.997,0.387
9,0.987,4.613,0.243
10,3.411,4.819,0.555
11,17.264,0.364,0.159
12,9.872,3.809,0.74
13,10.037,0.247,0.787
14,6.601,0.951,0.558
15,4.0,4.701,0.231
16,10.879,0.173,0.246
17,8.066,4.051,0.099
18,16.56,4.303,0.843
19,27.219,1.57,0.391
20,9.216,4.812,0.529
21,27.338,4.304,0.955
22,25.355,2.574,0.719
23,7.008,3.772,0.196
24,24.049,3.879,0.927
25,5.217,0.695,0.358
26,3.174,3.714,0.385
27,16.672,1.314,0.07
28,29.066,1.373,0.682
29,8.497,3.189,0.266
30,25.348,3.341,0.988
31,27.165,4.708,0.413
32,11.218,1.796,0.562
33,7.929,3.212,0.496
34,9.599,0.994,0.972
35,6.962,0.471,0.614
36,2.669,1.743,0.088
37,2.678,0.794,0.169
38,22.32,1.817,0.821
39,1.313,3.78,0.357
40,8.288,2.932,0.103
41,7.318,0.643,0.77
42,27.027,1.681,0.555
43,13.591,0.921,0.473
44,18.222,4.504,0.209
45,28.345,2.598,0.615
46,11.54,1.593,0.764
47,4.544,0.984,0.966
48,0.126,1.442,0.269
49,15.126,4.934,0.423
50,14.405,4.56,0.442
51,12.305,3.51,0.307
52,19.142,2.694,0.057
53,26.858,0.709,0.449
54,28.304,4.875,0.505
55,15.42,2.667,0.529
56,21.223,4.498,0.881
57,25.572,3.078,0.214
58,14.677,0.548,0.142
59,21.767,2.411,0.274
60,27.419,3.816,0.242
61,27.641,2.442,0.822
62,5.461,4.199,0.368
63,10.281,2.059,0.856
64,13.001,4.174,0.968
65,13.518,0.161,0.52
66,24.534,3.989,0.217
67,16.994,4.556,0.867
68,22.316,1.3,0.224
69,1.586,4.086,0.312
70,5.758,4.364,0.723
71,19.812,4.521,0.474
72,6.476,3.189,0.349
73,1.295,2.562,0.918
74,5.246,2.105,0.737
75,15.394,0.323,0.118
76,2.542,1.64,0.84
77,16.156,3.765,0.892
78,5.905,4.173,0.12
79,19.399,1.653,0.396
80,25.376,0.388,0.465
81,21.261,2.597,0.944
82,0.395,0.634,0.987
83,2.759,0.26,0.919
84,11.048,1.837,0.225
85,7.024,2.93,0.371
86,14.344,4.203,0.893
87,0.428,4.263,0.68
88,23.824,2.979,0.387
89,29.529,3.252,0.686
90,3.37,1.446,0.719
91,28.62,2.044,0.285
92,26.556,0.982,0.922
93,12.219,0.828,0.716
94,5.969,4.23,0.886
95,28.617,4.376,0.656
96,29.852,0.61,0.571
97,20.221,1.779,0.637
98,28.355,2.074,0.243
99,9.329,1.315,0.423
100,8.368,1.625,0.014
101,19.654,0.285,0.247
102,19.426,4.187,0.805
103,8.282,4.097,0.306
104,4.469,4.27,0.797
105,0.859,4.488,0.254
106,5.142,3.403,0.089
107,24.523,2.064,0.515
108,13.007,1.415,0.226
109,3.044,3.584,0.919
110,11.42,4.703,0.807
111,22.618,4.218,0.138
112,27.663,3.277,0.612
113,29.441,1.331,0.122
114,2.633,2.665,0.353
115,5.471,3.431,0.452
116,26.88,4.398,0.621
117,6.847,4.289,0.175
118,8.931,3.172,0.769
119,12.005,1.776,0.899
120,5.413,4.067,0.377
121,2.101,3.688,0.956
122,21.815,0.258,0.391
123,17.573,4.993,0.19
124,18.945,2.461,0.058
125,3.306,3.53,0.991
126,27.442,4.397,0.968
