Complexity,Loss,Equation
1,1.0071614,"C"
2,0.7823736,"exp(C)"
3,0.38232505,"C * 3.0265594"
4,0.36027333,"exp(C) - d"
5,0.1774261,"square(exp(C - d))"
6,0.17001274,"square(d - (C - -1.0237983))"
7,0.008724615,"((d * -4.897797) - -5.2016172) * C"
9,0.008328712,"(C * ((d * -4.8488045) - -5.1181397)) + 0.028001383"
13,0.007887019,"sqrt(square(((-0.017450258 - ((d - 1.0708077) * -4.906846)) * C) - -0.040527456))"
16,0.007541926,"((((0.23242296 ^ d) + -0.14936776) ^ d) * (C ^ 1.0191045)) * 5.0110254"
24,0.007519641,"(C * ((((0.90348023 ^ d) + (((0.5773269 ^ d) ^ d) ^ 1.0583217)) + -0.5735484) ^ 4.5483584)) - -0.02660838"
