complexity,loss,equation,score,sympy_format,lambda_format
1,0.022296842,0.8237515,0.0,0.823751500000000,PySRFunction(X=>0.823751500000000)
3,0.015022518,soc ^ soc,0.19744738933005723,soc**soc,PySRFunction(X=>soc**soc)
5,0.009109654,sqrt(cube(soc) + 0.46453422),0.2501077725594088,sqrt(soc**3 + 0.46453422),PySRFunction(X=>sqrt(soc**3 + 0.46453422))
6,0.0065636653,sqrt(square(cube(soc)) + 0.55223167),0.32778554863115655,sqrt(soc**6 + 0.55223167),PySRFunction(X=>sqrt(soc**6 + 0.55223167))
7,0.006509341,sqrt(exp(square(square(soc)) + -0.6049562)),0.008310959460108933,0.738984671846047*sqrt(exp(soc**4)),PySRFunction(X=>0.738984671846047*sqrt(exp(soc**4)))
8,0.0042226575,sqrt(exp(cube(soc)) / (C + 1.4775823)),0.43277355303603715,sqrt(exp(soc**3)/(C + 1.4775823)),PySRFunction(X=>sqrt(exp(soc**3)/(C + 1.4775823)))
9,0.0039122715,sqrt(exp(square(square(soc))) / (C + 1.3796201)),0.07634651757693829,sqrt(exp(soc**4)/(C + 1.3796201)),PySRFunction(X=>sqrt(exp(soc**4)/(C + 1.3796201)))
10,0.0030774781,sqrt(exp(cube(soc)) / ((C * d) + 1.688498)),0.2400076887194328,sqrt(exp(soc**3)/(C*d + 1.688498)),PySRFunction(X=>sqrt(exp(soc**3)/(C*d + 1.688498)))
11,0.0019959803,sqrt((0.6975919 / (exp(d) ^ C)) + square(cube(soc))),0.43297515478434534,sqrt(soc**6 + 0.6975919/exp(d)**C),PySRFunction(X=>sqrt(soc**6 + 0.6975919/exp(d)**C))
12,0.0019069865,sqrt(0.8268519 - (((C + d) * 0.270134) - cube(square(soc)))),0.04561106068982392,sqrt(-0.270134*C - 0.270134*d + soc**6 + 0.8268519),PySRFunction(X=>sqrt(-0.270134*C - 0.270134*d + soc**6 + 0.8268519))
13,0.0018801125,sqrt((0.7283206 / ((0.14776266 + exp(d)) ^ C)) + cube(square(soc))),0.014192631934240417,sqrt(soc**6 + 0.7283206/(exp(d) + 0.14776266)**C),PySRFunction(X=>sqrt(soc**6 + 0.7283206/(exp(d) + 0.14776266)**C))
