complexity,loss,equation,score,sympy_format,lambda_format
1,0.11742749,3.753417,0.0,3.75341700000000,PySRFunction(X=>3.75341700000000)
3,0.0184571,soc - -3.253433,0.9251859582018255,soc - 1*(-3.253433),PySRFunction(X=>soc - 1*(-3.253433))
4,0.0154842315,sqrt(soc) - -3.0900552,0.17562693678835467,sqrt(soc) + 3.0900552,PySRFunction(X=>sqrt(soc) + 3.0900552)
6,0.0056911125,exp(sqrt(sqrt(soc))) - -1.5074642,0.5004582180201445,exp(soc**(1/4)) + 1.5074642,PySRFunction(X=>exp(soc**(1/4)) + 1.5074642)
7,0.0043588285,sqrt(sqrt(soc * 11.871907)) - -2.279442,0.26670241888437257,1.85622287971779*soc**(1/4) + 2.279442,PySRFunction(X=>1.85622287971779*soc**(1/4) + 2.279442)
8,0.0018361225,soc - (exp(soc * -51.671333) + -3.2822292),0.8645473174906116,soc - (exp(soc*(-51.671333)) - 3.2822292),PySRFunction(X=>soc - (exp(soc*(-51.671333)) - 3.2822292))
10,0.0008952648,((soc * 0.878247) - exp(soc * -39.460556)) - -3.349046,0.3591458748253127,soc*0.878247 - exp(soc*(-39.460556)) - 1*(-3.349046),PySRFunction(X=>soc*0.878247 - exp(soc*(-39.460556)) - 1*(-3.349046))
11,0.00056687003,((0.48772275 - exp(soc * -28.983704)) * exp(soc)) - -2.9589064,0.45698948697092406,(0.48772275 - exp(soc*(-28.983704)))*exp(soc) - 1*(-2.9589064),PySRFunction(X=>(0.48772275 - exp(soc*(-28.983704)))*exp(soc) - 1*(-2.9589064))
12,0.00048611307,(exp(soc) * log(1.5946015 - exp(soc * -19.949188))) - -2.9996262,0.15368880230436632,exp(soc)*log(1.5946015 - exp(-19.949188*soc)) + 2.9996262,PySRFunction(X=>exp(soc)*log(1.5946015 - exp(-19.949188*soc)) + 2.9996262)
13,0.0002263374,(square(soc + -0.25309715) - -3.7358704) - square(square(sqrt(soc) + -1.0996741)),0.7644144448330799,-(sqrt(soc) - 1.0996741)**4 + (soc - 0.25309715)**2 + 3.7358704,PySRFunction(X=>-(sqrt(soc) - 1.0996741)**4 + (soc - 0.25309715)**2 + 3.7358704)
14,0.00017973034,square(0.22043109 - soc) + (3.6987348 - cube(cube(sqrt(1.0892433 - sqrt(soc))))),0.23056918983994945,(0.22043109 - soc)**2 - (1.0892433 - sqrt(soc))**(9/2) + 3.6987348,PySRFunction(X=>(0.22043109 - soc)**2 - (1.0892433 - sqrt(soc))**(9/2) + 3.6987348)
15,0.000114689065,square(soc + -0.34515345) + (3.9265995 - cube(1.405381 - sqrt(sqrt(soc + 0.0017250017)))),0.44923293255627916,-(1.405381 - (soc + 0.0017250017)**(1/4))**3 + (soc - 0.34515345)**2 + 3.9265995,PySRFunction(X=>-(1.405381 - (soc + 0.0017250017)**(1/4))**3 + (soc - 0.34515345)**2 + 3.9265995)
17,7.771947e-05,3.7935104 + (square(0.2837772 - soc) - cube(1.4472188 - sqrt(sqrt((2.24704 * soc) + 0.006966278)))),0.19455943939894213,(0.2837772 - soc)**2 - (1.4472188 - (2.24704*soc + 0.006966278)**(1/4))**3 + 3.7935104,PySRFunction(X=>(0.2837772 - soc)**2 - (1.4472188 - (2.24704*soc + 0.006966278)**(1/4))**3 + 3.7935104)
