,I,co,cn,c-dot,dt
0,0.25,29267.398036720482,29268.660736432164,0.6626651572055442,2.0007611428628636
1,0.25,29268.660736432164,29269.98774610412,0.6964150421081005,2.0007611428628636
2,0.25,29269.98774610412,29271.36609847394,0.723359704117473,2.0007611428628636
3,0.25,29271.36609847394,29272.788675293774,0.7465687076950606,2.0007611428628636
4,0.25,29272.788675293774,29274.256370756942,0.7702469841613058,2.0007611428628636
5,0.25,29274.256370756942,29275.75894565818,0.7885517228960414,2.0007611428628636
6,0.25,29275.75894565818,29277.298736481385,0.8080826490081249,2.0007611428628636
7,0.25,29277.298736481385,29278.87860545421,0.829115672998725,2.0007611428628636
8,0.25,29278.87860545421,29280.515735529152,0.8591663151894358,2.0007611428628636
9,0.25,29280.515735529152,29282.270644207525,0.9209765587733841,2.0007611428628636
10,0.25,29282.270644207525,29284.128131180274,0.9748096759832069,2.0007611428628636
11,0.25,29284.128131180274,29286.063005208962,1.0154224242980134,2.0007611428628636
12,0.25,29286.063005208962,29288.050075055133,1.0428148037145304,2.0007611428628636
13,0.25,29288.050075055133,29290.064149480313,1.0569868142363037,2.0007611428628636
14,0.25,29290.064149480313,29292.080037246058,1.0579384558622422,2.0007611428628636
15,0.25,29292.080037246058,29294.0725471139,1.0456697285915282,2.0007611428628636
16,0.25,29294.0725471139,29296.01783130732,1.0208856816222018,2.0007611428628636
17,0.25,29296.01783130732,29298.015895412696,1.0485845939806264,2.0007611428628636
18,0.25,29298.015895412696,29300.12401920633,1.1063439487578757,2.0007611428628636
19,0.25,29300.12401920633,29302.31782716736,1.1513110234565096,2.0007611428628636
20,0.25,29302.31782716736,29304.57294377491,1.1834858180728913,2.0007611428628636
21,0.25,29304.57294377491,29306.864993508112,1.2028683326089304,2.0007611428628636
22,0.25,29306.864993508112,29309.169600846097,1.2094585670639901,2.0007611428628636
23,0.25,29309.169600846097,29311.462390267996,1.2032565214390711,2.0007611428628636
24,0.25,29311.462390267996,29313.718986252934,1.184262195732809,2.0007611428628636
25,0.25,29313.718986252934,29315.955062534395,1.1734934496828688,2.0007611428628636
26,0.25,29315.955062534395,29318.281666360486,1.2210023300961645,2.0007611428628636
27,0.25,29318.281666360486,29320.698765957928,1.2684945358745063,2.0007611428628636
28,0.25,29320.698765957928,29323.196922054674,1.3110330090822202,2.0007611428628636
29,0.25,29323.196922054674,29325.766695378687,1.3486177497179417,2.0007611428628636
30,0.25,29325.766695378687,29328.398646657915,1.3812487577791261,2.0007611428628636
31,0.25,29328.398646657915,29331.083336620326,1.4089260332692275,2.0007611428628636
32,0.25,29331.083336620326,29333.811325993884,1.4316495761869732,2.0007611428628636
33,0.25,29333.811325993884,29336.573175506528,1.4494193865310907,2.0007611428628636
34,0.25,29336.573175506528,29339.35944588624,1.4622354643039432,2.0007611428628636
35,0.25,29339.35944588624,29342.16069786097,1.4700978095041677,2.0007611428628636
36,0.25,29342.16069786097,29344.96749215867,1.4730064221320365,2.0007611428628636
37,0.25,29344.96749215867,29347.77038950731,1.4709613021867314,2.0007611428628636
38,0.25,29347.77038950731,29350.559950634844,1.4639624496696162,2.0007611428628636
39,0.25,29350.559950634844,29353.32673626923,1.4520098645807822,2.0007611428628636
40,0.25,29353.32673626923,29356.061307138432,1.435103546918592,2.0007611428628636
41,0.25,29356.061307138432,29358.754223970398,1.4132434966835008,2.0007611428628636
42,0.25,29358.754223970398,29361.435126696924,1.406938490831347,2.0007611428628636
43,0.25,29361.435126696924,29364.181229662783,1.441155594428607,2.0007611428628636
44,0.25,29364.181229662783,29366.98896851165,1.4735021228407708,2.0007611428628636
45,0.25,29366.98896851165,29369.8518371314,1.5024342418231362,2.0007611428628636
46,0.25,29369.8518371314,29372.763329409954,1.5279519513774307,2.0007611428628636
47,0.25,29372.763329409954,29375.71693923519,1.5500552515010178,2.0007611428628636
48,0.25,29375.71693923519,29378.706160495003,1.5687441421975339,2.0007611428628636
49,0.25,29378.706160495003,29381.724487077285,1.5840186234640699,2.0007611428628636
50,0.25,29381.724487077285,29384.76541286993,1.5958786952997166,2.0007611428628636
51,0.25,29384.76541286993,29387.822431760833,1.6043243577084743,2.0007611428628636
52,0.25,29387.822431760833,29390.889037637895,1.6093556106879792,2.0007611428628636
53,0.25,29390.889037637895,29393.958724389,1.610972454235958,2.0007611428628636
54,0.25,29393.958724389,29397.02498590204,1.609174888357957,2.0007611428628636
55,0.25,29397.02498590204,29400.08131606492,1.6039629130483397,2.0007611428628636
56,0.25,29400.08131606492,29403.121208765522,1.5953365283107421,2.0007611428628636
57,0.25,29403.121208765522,29406.138157891746,1.5832957341432554,2.0007611428628636
58,0.25,29406.138157891746,29409.125657331486,1.5678405305472431,2.0007611428628636
59,0.25,29409.125657331486,29412.11130470938,1.566868567982365,2.0007611428628636
