(969,) 	 Time [s]
(969,) 	 Time [min]
(969,) 	 Time [h]
(60, 969) 	 x [m]
(20, 969) 	 x_n [m]
(20, 969) 	 x_s [m]
(20, 969) 	 x_p [m]
(20, 20, 969) 	 r_n [m]
(20, 20, 969) 	 r_p [m]
(969,) 	 Current variable [A]
(969,) 	 Total current density [A.m-2]
(969,) 	 Current [A]
(969,) 	 C-rate
(969,) 	 Discharge capacity [A.h]
(969,) 	 Throughput capacity [A.h]
(969,) 	 Discharge energy [W.h]
(969,) 	 Throughput energy [W.h]
(60, 969) 	 Porosity
(20, 969) 	 Negative electrode porosity
(969,) 	 X-averaged negative electrode porosity
(20, 969) 	 Separator porosity
(969,) 	 X-averaged separator porosity
(20, 969) 	 Positive electrode porosity
(969,) 	 X-averaged positive electrode porosity
(60, 969) 	 Porosity change
(20, 969) 	 Negative electrode porosity change [s-1]
(969,) 	 X-averaged negative electrode porosity change [s-1]
(20, 969) 	 Separator porosity change [s-1]
(969,) 	 X-averaged separator porosity change [s-1]
(20, 969) 	 Positive electrode porosity change [s-1]
(969,) 	 X-averaged positive electrode porosity change [s-1]
(20, 969) 	 Negative electrode interface utilisation variable
(969,) 	 X-averaged negative electrode interface utilisation variable
(20, 969) 	 Negative electrode interface utilisation
(969,) 	 X-averaged negative electrode interface utilisation
(20, 969) 	 Positive electrode interface utilisation variable
(969,) 	 X-averaged positive electrode interface utilisation variable
(20, 969) 	 Positive electrode interface utilisation
(969,) 	 X-averaged positive electrode interface utilisation
(20, 969) 	 Negative particle crack length [m]
(969,) 	 X-averaged negative particle crack length [m]
(20, 969) 	 Negative particle cracking rate [m.s-1]
(969,) 	 X-averaged negative particle cracking rate [m.s-1]
(20, 969) 	 Positive particle crack length [m]
(969,) 	 X-averaged positive particle crack length [m]
(20, 969) 	 Positive particle cracking rate [m.s-1]
(969,) 	 X-averaged positive particle cracking rate [m.s-1]
(20, 969) 	 Negative electrode active material volume fraction
(969,) 	 X-averaged negative electrode active material volume fraction
(969,) 	 Negative electrode capacity [A.h]
(20, 969) 	 Negative particle radius
(20, 969) 	 Negative particle radius [m]
