Complexity,Loss,Equation
1,0.019658348,"0.20643456"
4,0.012213789,"0.316998 / exp(x0)"
5,0.005190496,"0.16257486 / sqrt(sqrt(x0))"
7,0.0051904954,"(-0.514608 / sqrt(sqrt(x0))) * -0.31591982"
8,0.0050899386,"(x0 * (-0.34306243 / exp(x0))) - -0.29695073"
10,0.0050883717,"(((-0.532608 / exp(x0)) * x0) - -0.45971155) / 1.5446185"
11,0.004940063,"(x0 * (-0.50209445 / exp(exp(x0 - 0.58904934)))) - -0.29256245"
14,0.00486456,"exp((x0 * ((x0 - 0.60066164) * x0)) - (x0 / 1.3392)) * 0.28489712"
15,0.004850816,"exp(exp((((x0 + x0) * x0) * x0) * -4.687255) * 0.31385997) * 0.1751071"
16,0.0046905023,"exp(exp(x0 * ((x0 * (exp(x0) * -5.6473126)) * x0)) * 0.28873613) * 0.17641574"
18,0.004548705,"exp(exp((x0 * ((x0 * exp(x0 + x0)) * -3.3562205)) * x0) * 0.27710944) * 0.17690141"
19,0.0045156097,"exp(0.267318 * exp((x0 * (x0 * exp(exp(x0 + x0) * x0))) * -1.2048012)) * 0.17654395"
21,0.004431917,"exp(0.267318 * exp((exp(exp(x0 + (x0 * 0.6742004)) * x0) * -1.2048012) * (x0 * x0))) * 0.17654395"
22,0.0043647774,"exp(0.23407765 * exp((exp((x0 + x0) * (1.2415587 + x0)) * (x0 * -1.2556244)) * (x0 * x0))) * 0.17769668"
24,0.0041202926,"exp(exp(x0 * (x0 * ((x0 * (x0 * exp((x0 + x0) * (x0 + 1.2415587)))) * -2.5497034))) * 0.23407765) * 0.17769668"
25,0.0034941663,"(exp(exp(x0 * (exp(x0 * exp(log(x0) + (x0 * exp(x0 + x0)))) * -0.8107806)) * 0.08611617) * 0.64090544) - 0.46304667"
27,0.003471871,"(exp(exp(x0 * (exp(x0 * exp(log(x0) + (x0 * exp((x0 + x0) + 0.030145038)))) * -0.8107806)) * 0.08611617) * 0.64090544) - 0.46304667"
