Complexity,Loss,Equation
1,0.019658348,"0.20652795"
4,0.012213801,"exp(-1.1488168 - x0)"
5,0.005190496,"0.16257486 / sqrt(sqrt(x0))"
7,0.0051904903,"0.16257486 / sqrt(sqrt(x0 + 3.8118684e-5))"
9,0.005058635,"(-0.22181156 / (x0 - (-0.955885 / x0))) + 0.28504437"
10,0.0049657575,"exp((0.19212899 * x0) * (x0 + -1.6369696)) + -0.7040991"
12,0.004699869,"exp((x0 * 0.4194647) * ((x0 + -1.0806578) * x0)) + -0.7479026"
14,0.004673302,"exp((1.0416642 - (x0 * x0)) * (-0.264986 * (x0 * x0))) + -0.7545815"
15,0.004658631,"sqrt((exp((0.1502936 * (x0 + -1.0575343)) * (x0 * x0)) / 0.8413733) + -1.1263644)"
17,0.0046516913,"sqrt((exp((x0 * x0) * (0.10949295 * ((x0 * 1.382731) + -1.4920529))) / 0.9058961) + -1.0421321)"
18,0.004618572,"exp(((-0.4148706 - (x0 * x0)) * (0.9988434 - (x0 * x0))) * (x0 * 0.26603734)) + -0.7413583"
29,0.0046056425,"exp((((1.016906 - ((x0 * x0) * x0)) * 0.2525274) * x0) * (-0.4142245 - ((x0 * x0) * sqrt(x0 - ((x0 * x0) * x0))))) + -0.7432397"
