Complexity,Loss,Equation
1,0.019658348,"0.2064059"
4,0.018338187,"0.13487503 / sqrt(x0)"
5,0.005190496,"0.16257486 / sqrt(sqrt(x0))"
8,0.0051903124,"sqrt(exp(log(x0) * -0.49866918)) * 0.1626682"
9,0.0050241486,"(((x0 * 0.2301641) + -0.34197512) * x0) + 0.3037373"
10,0.0048074466,"(x0 * -0.20811066) + (0.28111959 + cube(x0 * 0.49492857))"
11,0.004705717,"(((x0 - 0.09929725) - square(cube(x0))) * -0.16285454) - -0.2553201"
13,0.004645099,"(((x0 - 0.16484755) - (square(cube(x0)) * x0)) * -0.14521775) - -0.24224158"
15,0.0046327575,"(((x0 - 0.117382556) - square((0.366872 * -0.14587304) + cube(x0))) * -0.14587304) - -0.24941795"
20,0.0043483456,"(((x0 - 0.24445705) - cube(cube(x0 - cube((x0 - (0.6934969 - x0)) - 0.55085737)))) * -0.109700136) - -0.22345935"
27,0.0041294293,"((x0 - (sqrt(sqrt((0.12691656 / x0) * exp(exp(cube(((-0.3651876 - x0) / cube(x0)) * 0.53354317) * 0.1974917)))) * x0)) * -0.3375475) - -0.2433616"
30,0.0027647498,"(((x0 - 0.030119894) - square((0.547826 - ((x0 - x0) + cube((x0 + 1.0657214) - (square(x0 + x0) - 0.5632211)))) * (0.2831638 - x0))) * -0.114391066) - -0.24776481"
