Complexity,Loss,Equation
1,0.019658348,"0.20647454"
4,0.01221379,"0.31699914 / exp(x0)"
5,0.0053865206,"0.3468804 / (x0 + 1.2644246)"
7,0.0052723284,"0.33744428 / exp(sqrt(x0) * 0.7710188)"
8,0.0051277387,"exp((x0 + -1.5477407) * x0) * 0.32165745"
9,0.004932637,"((x0 - 1.6113139) * (x0 * 0.17914362)) + 0.29178414"
10,0.004803222,"(cube(x0 * 0.4952901) + 0.28161263) + (x0 * -0.20876627)"
12,0.004641612,"(cube((x0 * x0) * 0.5154578) + 0.2696828) + (x0 * -0.15585701)"
14,0.004569074,"x0 + (0.26909134 - ((x0 + (log(x0) * cube(cube(x0)))) * 1.1554766))"
16,0.004562107,"((x0 * 0.8985496) + 0.26829156) - (((log(x0) * cube(cube(x0))) + x0) * 1.0506343)"
21,0.004543204,"(((((cube(log(x0)) * cube(cube(x0) + (x0 * x0))) + 0.22366968) - x0) * 1.0518041) + x0) * 1.0278406"
22,0.0044923946,"(1.1423626 * (0.23265687 - (x0 + cube(cube(x0 * sqrt(x0 + cube(x0))) * (log(x0) * 1.6213803))))) + x0"
27,0.004465027,"x0 + (0.26921389 - ((x0 + (cube(log(x0) * 1.5573475) * cube(((cube(x0) + sqrt(cube(cube(x0)))) + x0) * cube(x0)))) * 1.154188))"
