Complexity,Loss,Equation
1,0.019658348,"0.2064116"
4,0.012213788,"exp(-1.1488668 - x0)"
5,0.0051905056,"0.16258517 / sqrt(sqrt(x0))"
7,0.005190407,"(0.16241424 / sqrt(sqrt(x0))) - -0.00021799565"
9,0.0051733423,"0.15896204 - (-0.48117447 / cube(exp(x0 - -0.38474536)))"
10,0.004658476,"(0.070871025 / exp(square(cube(x0 + 0.55861574)))) - -0.1759093"
11,0.004477774,"(0.114103064 / (cube(cube(x0 / 0.43714494)) - -2.5263286)) - -0.17568971"
12,0.004053855,"cube(0.88236153 / (cube(cube(x0 / 0.50840926)) - -2.5344133)) - -0.1775526"
15,0.0037453787,"square(-0.4216445 - (-0.20107181 / (-4.578805 - (x0 / cube(cube(0.19362648 / square(x0)))))))"
16,0.0035576455,"cube(square((-0.14103028 / (exp(x0 + cube(cube(x0 / 0.52345467))) * -3.714328)) - -0.7498863))"
17,0.003463307,"cube(square((-0.19100651 / ((sqrt(x0) + exp(cube(cube(x0 / 0.49641436)))) * -4.4717765)) - -0.7500876))"
18,0.0031299384,"square((-0.301915 / (-21.309555 * (x0 + (-0.7848405 / cube(cube(-0.08905679 / square(square(x0)))))))) - -0.42283455)"
19,0.0031128686,"square((-0.30056393 / ((x0 + cube(-0.78457487 / ((-0.10765793 / square(square(x0))) + 0.48580852))) * -21.309574)) - -0.42278665)"
20,0.002388105,"square((-0.301915 / (-21.309555 * (x0 + cube(-0.7848405 / (cube(-0.08905679 / square(square(x0))) * 0.4864938))))) - -0.42283455)"
22,0.0023481315,"square((-0.301915 / (-21.309555 * (x0 + ((-1.8379539 + x0) / cube(0.4864938 + cube(-0.08905679 / square(square(x0)))))))) - -0.42283455)"
26,0.0021866017,"(-0.13642326 / (x0 * ((square((x0 / cube((square(x0) * (-0.28990698 / square(square(x0)))) + x0)) + 0.3866659) + 4.020358) * -2.5118945))) - -0.17844336"
27,0.002116276,"(-0.14791296 / ((square((sqrt(x0) / cube(((square(x0) * -0.32905796) / square(square(x0))) + x0)) + 0.38086838) + (x0 * 4.0163608)) * -2.5059946)) - -0.17725149"
