Complexity,Loss,Equation
1,0.019658348,"0.2065375"
4,0.012213788,"0.31699774 / exp(x0)"
5,0.0051904954,"sqrt(0.026430577 / sqrt(x0))"
7,0.0051902314,"0.16270359 / sqrt(sqrt(x0 - -0.00117818))"
8,0.0045802924,"square(square(cube(x0) + -0.4917553)) + 0.17656219"
10,0.004540047,"square(square(cube(x0 * 1.0338386) + -0.4947792)) + 0.17709516"
12,0.0043886863,"square(square(((x0 * cube(x0)) * 1.7869774) + -0.47752553)) + 0.1772263"
15,0.0029122091,"square((sqrt(square(sqrt(x0) + -0.5030844)) + 0.4531192) * (x0 + -0.7173355)) + 0.17582048"
18,0.0017831983,"(square(x0 + -0.69756234) * ((x0 * (sqrt(square(x0 + -0.46970144)) * -6.414036)) + 0.5823386)) + 0.17826684"
20,0.0012755675,"square((x0 + -0.7759387) * (((x0 + -0.09984915) * (sqrt(square(x0 + -0.4523272)) * -6.2200427)) + 0.6074725)) + 0.17733003"
22,0.0012589418,"square(((x0 * 1.0072305) + -0.7759387) * ((((x0 + -0.09984915) * sqrt(square(x0 + -0.4523272))) * -6.2200427) + 0.6074725)) + 0.17733003"
24,0.0009624238,"square(((x0 + x0) + -1.3133196) * (((sqrt(square((0.21370533 / x0) + -0.44838783)) * (x0 + -0.124958396)) * -4.2185354) + 0.47341362)) + 0.17751111"
27,0.0006496779,"0.17257948 + square((square((1.9932524 * (-0.12244459 - sqrt(square(0.5451301 - x0)))) + x0) * ((x0 + x0) - 0.34563473)) + ((-0.93606323 + x0) * 0.40337113))"
29,0.0005867188,"square((((x0 + (x0 - 0.34777743)) * (2.3726234 * square(x0 + ((-0.12050963 - sqrt(square(x0 - 0.5464172))) * 1.9927492)))) + (-0.92546415 + x0)) * 0.40371847) + 0.17324466"
