Complexity,Loss,Equation
1,0.033168655,"3.9151764"
4,0.022943662,"sqrt(16.14263 - x0)"
5,0.014972938,"3.8968694 - cube(log(x0))"
7,0.012062381,"cube(2.3114386 - exp(x0)) + 3.9107103"
8,0.011895805,"cube(1.9212756 - exp(square(x0))) + 3.914735"
9,0.011141052,"cube(2.4304514 - exp(x0 * 1.0997925)) + 3.914914"
10,0.009347764,"cube(1.8753603 - exp(square(x0 * 0.9643812))) + 3.9128428"
12,0.00577511,"cube(2.3075373 - (exp(x0) + cube(cube(cube(x0))))) + 3.9128656"
14,0.002115173,"cube((2.3077781 - exp(x0)) * cube(exp(cube(cube(cube(x0)))))) + 3.9127164"
15,0.0017986377,"cube(2.3089597 - exp(square(cube(cube(cube(x0 - -0.010197694)))) + x0)) + 3.91208"
17,0.0017022502,"cube(2.3090215 - (exp(x0) * exp(square(square(cube(square(square(x0))))) * 1.3226187))) + 3.9120994"
18,0.0017003653,"cube(2.3089173 - (exp(square(square(cube(square(x0 * x0)))) * 1.3243011) * exp(x0))) + 3.912149"
19,0.0016196948,"cube(2.2964313 - (exp((square(square(square(square(cube(x0))))) * 1.3531196) - 0.0069225677) * exp(x0))) + 3.9118996"
23,0.0016043851,"cube(2.296477 - (exp(x0) * exp((square(square(square(cube(square(x0))))) - 0.0071106935) * sqrt(square(x0) + x0)))) + 3.9116335"
25,0.001565778,"cube(2.2965436 - (exp((cube(square(square(square(square(x0))))) - 0.007299709) * sqrt((x0 * 1.0890186) + cube(x0))) * exp(x0))) + 3.9116216"
26,0.0015618626,"3.9114068 + cube(2.2967997 - (exp(x0) * exp(sqrt((sqrt(cube(x0)) + 1.089071) * x0) * (square(square(square(square(cube(x0))))) - 0.007294352))))"
27,0.0007501695,"cube(2.312694 - (exp(square(square(square(square(cube(x0))))) * (1.3496716 - cube(square(square(log(cube(square(0.062027898 - x0)))))))) * exp(x0))) + 3.9090283"
30,0.0007401144,"cube(2.31321 - (exp(x0) * exp(square(square(square(square(cube(x0))))) * ((square(x0) - -0.44070765) - cube(square(square(log(square(cube(0.062442496 - x0)))))))))) + 3.908851"
