Complexity,Loss,Equation
1,0.019658348,"0.20642693"
4,0.012261891,"exp(-1.1550213 - x0)"
5,0.0051904963,"0.16257516 / sqrt(sqrt(x0))"
7,0.0051902663,"0.16300361 / (sqrt(sqrt(x0)) + 0.002075553)"
9,0.0051902244,"(-0.60026 / sqrt(sqrt(x0) + 0.0016573977)) / -3.6873724"
10,0.0048593814,"(-1.1026983 / log((x0 / 4.8600073) / 0.50650114)) - x0"
12,0.0048570475,"(-1.1047205 / (log((x0 / 4.859264) / 0.5070133) + -0.0014814604)) - x0"
14,0.0047113546,"(0.78599167 / log(0.06698177 / ((x0 / cube(cube(x0))) + 59.082745))) + 0.2877913"
16,0.004365331,"(0.64467394 / log(0.250314 / ((x0 / cube(cube(x0))) + (x0 * 141.09953)))) + 0.28239027"
17,0.004303636,"(0.76212347 / log(0.06582952 / ((x0 / cube(cube(x0))) + cube(5.640399 * x0)))) + 0.28494778"
18,0.004294514,"(0.43774396 / log(x0 / ((x0 / cube(cube(x0))) + square(cube(x0 + 1.4728056))))) + 0.26231036"
19,0.0042943405,"(0.76212347 / log(0.06582952 / ((x0 / cube(cube(x0))) + square((x0 / 0.51420516) * 5.640399)))) + 0.28494778"
21,0.004219759,"(0.43496594 / log(x0 / ((x0 / cube(cube(x0))) + square(exp((x0 + sqrt(x0)) * 1.4733367))))) + 0.2628941"
22,0.004218316,"(0.43496594 / log(x0 / ((x0 / cube(cube(x0))) + square(exp(x0 + (x0 + 0.47110817)) * -1.4811538)))) + 0.2628941"
23,0.004214335,"(0.43496594 / log(x0 / (square(exp(x0 + sqrt(x0 + x0)) * 1.4733367) + (x0 / cube(cube(x0)))))) + 0.2628941"
26,0.0042132367,"(0.43912858 / log(x0 / (cube((x0 + ((x0 + x0) + square(-0.95048636 - x0))) - 0.21720013) + (x0 / cube(cube(x0)))))) + 0.263732"
28,0.004195326,"(0.43912858 / log(x0 / (cube(((x0 + square(x0)) + (square(x0 - -0.95048636) + x0)) - square(0.21720013)) + (x0 / cube(cube(x0)))))) + 0.263732"
30,0.004192458,"(0.43917146 / log(x0 / (cube(sqrt(x0 * sqrt(x0)) + (x0 + square((x0 + (x0 * 0.1545854)) - -0.95048344))) + (x0 / cube(cube(x0)))))) + 0.26356447"
