Complexity,Loss,Equation
1,0.019444885,"0.20599371"
4,0.01805648,"0.13496214 / sqrt(x0)"
5,0.0056531676,"(x0 * -0.11216829) - -0.25467837"
6,0.0051620416,"0.15908824 - (log(x0) * 0.05108641)"
7,0.0051457263,"(0.14583902 / square(exp(x0))) - -0.14127296"
8,0.005126871,"((x0 + -0.8897903) * cube(x0)) - -0.24169463"
9,0.00484672,"0.23552129 - cube(x0 - (square(x0) * 0.6374763))"
11,0.004766158,"square(cube(0.7925873 - cube(x0 - square(x0 * 0.8437078))))"
12,0.0046614422,"square(sqrt((0.17023103 / ((-0.9836405 / x0) - cube(x0))) - -0.27452323))"
13,0.0038994001,"sqrt(0.047881454 - (0.047224853 / (square(cube(-0.14284363 / cube(x0))) - -2.941024)))"
15,0.0035881316,"sqrt(0.04713302 - (0.03658286 / (square(cube(0.1342497 / sqrt(square(cube(x0))))) - -2.3719711)))"
16,0.0034515979,"sqrt(square(0.21626501 - (0.11525456 / (square(cube((0.17231567 / cube(x0)) - 0.20765142)) - -3.014854))))"
19,0.003448001,"sqrt(square((0.11525456 / (square(cube((0.17231567 / square(cube(sqrt(x0)))) - square(-0.43972224))) - -3.014854)) - 0.21626501))"
20,0.0034435734,"sqrt(square((0.11525354 / (cube(square((0.17231253 / cube(square(0.000930162 - sqrt(x0)))) - 0.207652)) - -3.014854)) - 0.2162239))"
25,0.0034434749,"sqrt(square((0.11525354 / (cube(square((0.17231253 / sqrt(cube(square(x0 - cube((x0 - -0.81111014) / 12.579093))))) - 0.207652)) - -3.014854)) - 0.2162239))"
28,0.0034432544,"sqrt(square(0.2162239 - (0.11525354 / (square(cube((0.17231253 / cube(square(sqrt(x0 - (0.26014808 / cube(cube(1.5417405 - x0) * 5.408783)))))) - 0.207652)) - -3.014854))))"
