Complexity,Loss,Equation
1,0.019658348,"0.20652413"
4,0.012096917,"exp(-1.1530322 - x0)"
5,0.005771584,"(x0 * -0.11356183) + 0.2556283"
6,0.00520456,"(log(x0) * -0.05154356) + 0.15909573"
7,0.0051907906,"exp(log(x0) * -0.2519159) * 0.1626185"
9,0.005187609,"(exp(log(x0) * -0.19813201) * 0.21789129) + -0.056116533"
10,0.004667536,"((x0 * -0.2770718) * (x0 - cube(x0))) + 0.24588531"
15,0.0046400586,"(x0 * ((exp(x0) * ((cube(x0) * -0.3453565) + 0.3451926)) * -0.2560767)) + 0.25865138"
19,0.004532852,"(exp((x0 * -0.38479036) + (log(x0) * -0.09771451)) * 0.21906583) + (cube(x0) * square(0.60592294 - x0))"
22,0.0044472977,"((exp(log(x0) * -0.1566693) + -0.01600713) * ((cube(cube(sqrt(sqrt(x0)))) * square(0.67227614 - x0)) + 0.24069196)) - 0.07506767"
25,0.0041168435,"((x0 * -0.19206767) + exp(log(x0) * -0.20546228)) * (0.17886217 + (sqrt((log(x0) * -0.16594587) * square(x0 - 0.59340394)) * cube(x0)))"
