Complexity,Loss,Equation
1,0.004010345,"3.917795"
4,0.0020487164,"4.799367 - sqrt(x0)"
5,0.0018911498,"(x0 * -0.4551857) + 4.2730565"
6,0.0012451647,"3.946352 - cube(cube(cube(x0)))"
8,0.0011589001,"((6.9533186 / log(x0)) / 557.24384) + 3.9891312"
9,0.00087983685,"3.9363048 - cube(cube(square(cube(x0) / 0.92169905)))"
12,0.0008317248,"3.9337664 - (1.2342187 / square(0.3306776 / cube(square(cube(square(x0))))))"
13,0.00082744675,"4.9330893 - exp(x0 / square(0.31009412 / cube(square(square(cube(x0))))))"
14,0.0008267095,"4.9331775 - exp(sqrt(x0) / square(0.3139363 / cube(square(square(cube(x0))))))"
15,0.00031333335,"4.00367 - (cube(exp(x0) + cube(cube(cube(cube(x0) / 0.85485315)))) / 145.90602)"
17,0.00027051638,"4.07852 - (cube(exp(sqrt(x0)) + square(cube(square(cube(square(x0)) / 0.7517306)))) / 95.935295)"
19,0.0002510149,"4.0784335 - (cube(square(cube(square(square(cube(x0)) / -0.7330047) * x0)) + exp(sqrt(x0))) / 95.93529)"
20,0.00022219706,"4.1027336 - (cube(square(square(square(square(square(cube(x0)) / 0.7537115)))) + (exp(sqrt(x0)) * 1.0615772)) / 97.59989)"
21,0.00019694655,"4.2198067 - (cube((exp(sqrt(sqrt(x0))) * 1.1928358) + square(square(square(square(cube(square(x0)) / 0.76205856))))) / 97.402016)"
